player,tm,pos,g,mp,g_2,mp_2,per,tspercent,efgpercent,x3par,ftr,orbpercent,trbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,ortg,drtg,ows,dws,ws,ws_40,link,season
Anna DeForge,PHO,G,34,1152,34,1152,20.5,0.553,0.505,0.457,0.258,2.8,7.5,20.1,2.6,0.6,13.4,22.8,108,98,3.9,1.2,5.1,0.177,/wnba/players/d/deforan01w.html,2004
Jennifer Derevjanik,CON,G,23,140,23,140,3.7,0.353,0.327,0.462,0.077,0.9,4.2,17.1,3.3,0,27.1,13.1,71,99,-0.3,0.1,-0.1,-0.04,/wnba/players/d/derevje01w.html,2004
Tai Dillard,SAS,G,23,205,23,205,3.1,0.34,0.343,0.333,0.019,1.3,4.6,18.1,1.1,0.4,20.5,16.8,70,106,-0.5,0,-0.6,-0.113,/wnba/players/d/dillata01w.html,2004
Tamecka Dixon,LAS,G,32,913,32,913,14.4,0.506,0.452,0.041,0.323,4.7,7.7,23.7,2.2,0.1,18.8,19.8,99,97,1.4,1.2,2.6,0.114,/wnba/players/d/dixonta01w.html,2004
Bethany Donaphin,NYL,F-C,26,479,26,479,11.3,0.493,0.462,0,0.575,8.7,9.7,6.8,1.4,1.4,13.7,16.6,98,101,0.6,0.3,0.8,0.07,/wnba/players/d/donapbe01w.html,2004
Katie Douglas,CON,G-F,34,1120,34,1120,15.9,0.513,0.472,0.477,0.24,3.8,7.7,15.4,2.6,1,12.8,18.1,104,98,2.3,1.2,3.5,0.125,/wnba/players/d/douglka01w.html,2004
Margo Dydek,SAS,C,34,682,34,682,17,0.482,0.435,0.01,0.279,6,16.6,19.2,1.7,6.3,21.5,22,88,95,-0.1,1.1,1,0.057,/wnba/players/d/dydekma01w.html,2004
Simone Edwards,SEA,C,23,257,23,257,7.8,0.379,0.364,0,0.345,12.9,14.6,3.5,1.8,1,17,14.4,83,97,-0.2,0.3,0.2,0.025,/wnba/players/e/edwarsi01w.html,2004
Teresa Edwards*,MIN,G-F,34,697,34,697,10.9,0.455,0.433,0.425,0.15,5.5,8.5,25,3.9,1,30.4,21.5,77,91,-1.5,1.6,0.1,0.004,NA,2004
Barbara Farris,DET,F-C,26,422,26,422,10.3,0.569,0.513,0,0.675,8.1,8.9,3.1,1.1,0.4,20,14.2,101,103,0.6,0.2,0.7,0.07,/wnba/players/f/farriba01w.html,2004
Allison Feaster,CHA,F,33,1052,33,1052,15.1,0.521,0.465,0.431,0.274,3.3,5.9,13.8,1.6,0.5,15.5,23.3,100,105,2,0.1,2,0.077,/wnba/players/f/feastal01w.html,2004
Marie Ferdinand-Harris,SAS,G,17,509,17,509,17.5,0.523,0.444,0.167,0.395,4.8,7.2,12.4,3.7,0.4,15.5,22.3,100,100,0.9,0.4,1.3,0.103,/wnba/players/f/ferdima01w.html,2004
Cheryl Ford,DET,F,31,912,31,912,17.6,0.461,0.411,0,0.551,13.9,20.1,7.3,2.5,2.4,13.2,20.8,98,92,1.2,1.9,3.1,0.136,/wnba/players/f/fordch01w.html,2004
Trina Frierson,SEA,F,5,22,5,22,2.3,0.339,0.222,0.111,0.333,18.1,15.2,0,0,0,8.8,24.9,86,102,0,0,0,-0.006,/wnba/players/f/friertr01w.html,2004
Candace Futrell,CON,G,20,144,20,144,11.4,0.466,0.382,0.447,0.421,6.2,8.7,12.4,2,0.6,13.5,18,100,100,0.2,0.1,0.3,0.091,/wnba/players/f/futreca01w.html,2004
Adrienne Goodson,SAS,F,34,1068,34,1068,17,0.514,0.454,0.05,0.322,11.3,14.9,12.3,1.5,0.2,15.6,20.2,102,102,2.2,0.5,2.7,0.1,/wnba/players/g/goodsad01w.html,2004
Shaunzinski Gortman,WAS,G,4,24,4,24,3.4,NA,NA,NA,NA,0,10.5,13.1,0,3.6,100,4.1,36,101,-0.1,0,0,-0.073,/wnba/players/g/gortmsh01w.html,2004
Michelle Greco,SEA,G,13,73,13,73,18.1,0.611,0.556,0.111,0.722,5.5,9.2,21.8,2.4,0,25.2,21,104,97,0.2,0.1,0.3,0.15,/wnba/players/g/grecomi01w.html,2004
Yolanda Griffith*,SAC,C-F,34,1031,34,1031,28.8,0.584,0.519,0.003,0.545,15.3,16.4,8.8,4.3,3.9,12.2,22.8,119,90,5.6,2.4,8,0.309,NA,2004
Lady Grooms,SAC,F,28,235,28,235,8,0.344,0.288,0,0.182,5.5,5.3,8.5,1.8,0.8,2.7,15.2,93,102,0.1,0.1,0.2,0.037,/wnba/players/g/groomla01w.html,2004
Gordana Grubin,HOU,G,5,24,5,24,-9.1,0.258,0,0,0.667,0,2.7,0,0,0,43.6,14.6,32,105,-0.2,0,-0.2,-0.263,/wnba/players/g/grubigo01w.html,2004
Becky Hammon,NYL,G,34,1130,34,1130,18.7,0.568,0.513,0.48,0.328,2.1,6.8,29,3,0.1,22.6,23.9,100,98,2.4,1.2,3.6,0.126,/wnba/players/h/hammobe01w.html,2004
Vanessa Hayden,MIN,C,29,350,29,350,12.7,0.435,0.415,0,0.239,8.6,15.7,5.4,1.2,6.9,16.2,29.4,80,88,-0.7,0.9,0.2,0.022,/wnba/players/h/haydeva01w.html,2004
Jessie Hicks,SAS,C-F,27,371,27,371,13.2,0.497,0.468,0,0.342,8.4,10.4,10.8,2.7,3.1,21,22,88,100,-0.1,0.3,0.2,0.025,/wnba/players/h/hicksje01w.html,2004
Doneeka Lewis,LAS,G,24,245,24,245,5.5,0.381,0.346,0.327,0.192,1.6,5.7,11.2,2.3,0.7,23.2,14.3,73,97,-0.5,0.3,-0.1,-0.022,/wnba/players/h/hodgedo01w.html,2004
Ebony Hoffman,IND,F,30,334,30,334,7.9,0.354,0.343,0.205,0.048,12.9,17.3,12.6,2.7,1.4,24.2,16.7,76,96,-0.6,0.5,-0.1,-0.013,/wnba/players/h/hoffmeb01w.html,2004
Chamique Holdsclaw,WAS,F,23,801,23,801,24,0.474,0.411,0.042,0.328,7.9,15.1,16.1,2.8,1.9,11,31.6,99,95,1.8,1.2,3,0.151,/wnba/players/h/holdsch01w.html,2004
Kedra Holland-Corn,HOU,G,27,703,27,703,12.2,0.5,0.469,0.61,0.258,3.6,6.2,15.1,3.4,0.4,20.6,16.2,93,97,0.4,0.9,1.3,0.074,/wnba/players/h/hollake01w.html,2004
Niele Ivey,IND,G,15,179,15,179,7.9,0.429,0.405,0.649,0.162,1.4,3.7,19.5,1.3,1.5,13.1,12.7,100,104,0.2,0,0.2,0.049,/wnba/players/i/iveyni01w.html,2004
Deanna Jackson,IND,F,34,804,34,804,10.7,0.417,0.367,0.048,0.291,9,9.3,14.2,2.2,0.7,15.5,20.7,90,101,0,0.5,0.5,0.025,/wnba/players/j/jacksde01w.html,2004
Lauren Jackson*,SEA,F-C,31,1070,31,1070,28,0.59,0.535,0.25,0.38,7.9,12.9,11,1.7,4.9,11.1,27.3,117,94,6.1,1.9,7.9,0.297,NA,2004
Tamicha Jackson,WAS,G,25,405,25,405,15,0.475,0.459,0.185,0.119,2.1,5.8,22.4,2.8,0.2,16.5,20.5,94,101,0.3,0.3,0.5,0.052,/wnba/players/j/jacksta02w.html,2004
Amber Jacobs,MIN,G,32,391,32,391,7.1,0.46,0.405,0.6,0.22,1,6,25,1.9,0,29.1,19.4,81,95,-0.6,0.6,0,0.003,/wnba/players/j/jacobam01w.html,2004
LaTonya Johnson,HOU,F,6,36,6,36,2.7,0.381,0.429,0.857,0.286,0,1.8,5.3,3.3,0,20.2,14,67,99,-0.1,0,-0.1,-0.058,/wnba/players/j/johnsla01w.html,2004
Pollyanna Johns Kimbrough,HOU,C,19,157,19,157,6.4,0.419,0.176,0,1.235,13.5,12.1,1.1,1.5,1.7,23.4,11.1,89,99,0,0.2,0.1,0.038,/wnba/players/j/johnspo01w.html,2004
Shannon Johnson,SAS,G,31,954,31,954,13.7,0.511,0.438,0.325,0.457,2,5.8,28.7,3,0.4,26,20.1,91,102,0.2,0.5,0.7,0.03,/wnba/players/j/johnssh01w.html,2004
Tiffani Johnson,HOU,C,33,660,33,660,11.3,0.538,0.5,0,0.271,6,12.1,8.3,0.8,2.2,19,12.6,100,97,0.7,0.8,1.5,0.094,/wnba/players/j/johnsti01w.html,2004
Vickie Johnson,NYL,G-F,34,1119,34,1119,13.2,0.496,0.442,0.205,0.239,4.6,7.1,22.8,1.3,0.3,18,18.2,99,103,1.7,0.4,2.1,0.075,/wnba/players/j/johnsvi01w.html,2004
Asjha Jones,CON,F,34,699,34,699,12.4,0.452,0.406,0.025,0.201,9.4,11.1,11.2,1.7,2.2,16.9,22.3,89,99,0,0.7,0.7,0.038,/wnba/players/j/jonesas01w.html,2004
Chandi Jones,DET,G,31,397,31,397,9.2,0.459,0.398,0.311,0.301,2.5,5.3,20.8,2.5,1.1,25.5,18.3,84,100,-0.3,0.3,0,0.003,/wnba/players/j/jonesch01w.html,2004
Merlakia Jones,DET,G,33,517,33,517,10.5,0.411,0.38,0.073,0.156,5.4,8.2,8.3,2.1,0.3,10.6,22,88,100,-0.1,0.4,0.3,0.022,/wnba/players/j/jonesme01w.html,2004
Sheila Lambert,HOU,G,34,788,34,788,10.2,0.494,0.444,0.153,0.288,3.2,5.7,22.9,2,0.4,29.1,18.2,85,100,-0.6,0.6,0.1,0.004,/wnba/players/l/lambesh01w.html,2004
Amanda Lassiter,MIN,F,33,563,33,563,8.8,0.457,0.448,0.659,0.067,3.5,9.3,13.8,2.2,3.3,22.4,15.6,84,91,-0.4,1.2,0.8,0.057,/wnba/players/l/lassiam01w.html,2004
Kara Lawson,SAC,G,34,827,34,827,15.6,0.556,0.524,0.547,0.18,1.9,6.4,16.2,1.5,0.9,16.7,18.8,107,100,2.1,0.7,2.7,0.132,/wnba/players/l/lawsoka01w.html,2004
Betty Lennox,SEA,G,32,920,32,920,15.1,0.497,0.455,0.252,0.206,4,11.6,17.6,2.1,0.3,17.6,23,96,95,1.1,1.4,2.5,0.109,/wnba/players/l/lennobe01w.html,2004
Lisa Leslie*,LAS,C,34,1150,34,1150,25.3,0.552,0.501,0.049,0.455,7,18.6,16.9,2.4,7.5,16.9,27.1,102,85,3,3.7,6.8,0.236,NA,2004
Tynesha Lewis,CHA,G,34,617,34,617,18.3,0.522,0.481,0.238,0.276,5.8,6.8,18.2,2.8,1,15.7,25.2,100,102,1.3,0.3,1.6,0.103,/wnba/players/l/lewisty01w.html,2004
Stacey Lovelace,MIN,C,34,388,34,388,9.7,0.456,0.414,0.139,0.197,8.5,11.2,11.9,2.7,1.9,25.3,22.4,79,92,-0.7,0.8,0.1,0.01,/wnba/players/l/lovelst01w.html,2004
Mwadi Mabika,LAS,G,31,965,31,965,18.2,0.517,0.465,0.245,0.282,5.4,8.1,16.1,2.1,0.3,10,23.7,107,97,3,1.3,4.3,0.176,/wnba/players/m/mabikmw01w.html,2004
Laura Macchi,LAS,F,25,410,25,410,15.2,0.584,0.524,0.245,0.519,7.5,9.5,6.6,2.8,1.3,18.2,18.6,104,94,0.9,0.7,1.6,0.156,/wnba/players/m/macchla01w.html,2004
Hamchetou Maiga-Ba,SAC,F,34,480,34,480,11.3,0.484,0.47,0,0.22,9.4,10.2,10.3,3.6,1.2,25.3,19.7,85,95,-0.4,0.7,0.4,0.032,/wnba/players/m/maigaha01w.html,2004
Raffaella Masciadri,LAS,F,17,116,17,116,4.2,0.476,0.48,0.44,0.4,1.2,2.7,12.3,0.5,0,14.5,14.2,93,102,0,0,0.1,0.033,/wnba/players/m/mascira01w.html,2004
Kelly Mazzante,CHA,G,34,339,34,339,6.2,0.417,0.408,0.565,0.065,4.2,7.2,5.9,1.3,0.5,17.4,18.8,79,105,-0.5,0,-0.5,-0.056,/wnba/players/m/mazzake01w.html,2004
Stephanie White,IND,G-F,22,450,22,450,11.8,0.523,0.465,0.542,0.472,2.2,4.1,22.3,3.2,1,25.6,12.9,98,100,0.4,0.3,0.8,0.069,/wnba/players/m/mccarst01w.html,2004
Nikki McCray,PHO,G,27,371,27,371,5.8,0.492,0.485,0.164,0.104,3.8,5.5,6.7,1.1,0,20.4,12.2,88,103,0,0.1,0.1,0.006,/wnba/players/m/mccrani01w.html,2004
Teana Miller,CHA,C,9,77,9,77,20.1,0.528,0.519,0,0.519,18.3,17.3,0,1.7,6.8,13.1,27.5,100,97,0.2,0.1,0.3,0.139,/wnba/players/m/mckivte01w.html,2004
Taj McWilliams-Franklin,CON,F-C,34,1133,34,1133,18.7,0.506,0.477,0.034,0.364,9.4,14.1,11.4,2.5,3.4,15.2,21.1,99,95,1.8,1.9,3.6,0.129,/wnba/players/m/mcwilta01w.html,2004
Chasity Melvin,WAS,C-F,34,825,34,825,14.1,0.481,0.406,0,0.434,9.5,10,8.8,1,1.9,14.6,21.1,98,103,1.2,0.2,1.4,0.067,/wnba/players/m/melvich01w.html,2004
Giuliana Mendiola,SAC,G,6,39,6,39,11.4,0.625,0.625,0.625,0,6.6,8.8,14.5,0,0,27.3,13.8,103,104,0.1,0,0.1,0.071,/wnba/players/m/mendigi01w.html,2004
Coco Miller,WAS,G,33,637,33,637,11,0.462,0.446,0.114,0.084,6.8,6.2,12.9,1.6,0.4,13.5,15.4,98,105,0.6,0,0.7,0.042,/wnba/players/m/milleco01w.html,2004
Kelly Miller,IND,G,34,1096,34,1096,13.2,0.496,0.457,0.344,0.175,3.2,6.5,20.9,2,0.4,17.4,19.3,99,102,1.6,0.6,2.1,0.077,/wnba/players/m/milleke01w.html,2004
DeLisha Milton-Jones,LAS,F,19,604,19,604,11.2,0.494,0.438,0.23,0.385,7.8,9.5,9.5,2.1,1.5,20.3,18.7,92,96,0.2,0.9,1.1,0.072,/wnba/players/m/miltode01w.html,2004
Tamara Moore,PHO,G,32,387,32,387,13.1,0.556,0.467,0.164,0.475,2.5,5.1,25.6,4,2.1,31.6,14.3,96,96,0.3,0.6,0.9,0.093,/wnba/players/m/mooreta01w.html,2004
Astou Ndiaye-Diatta,IND,F,10,74,10,74,-0.2,0.289,0.263,0,0.211,3.4,9.9,10.6,0.8,3.7,27.8,19.3,55,100,-0.4,0.1,-0.3,-0.179,/wnba/players/n/ndiayas01w.html,2004
Deanna Nolan,DET,G-F,34,1138,34,1138,16.2,0.474,0.42,0.262,0.285,3.1,7.3,20,3.2,0.9,15.5,23.6,96,97,1.3,1.4,2.7,0.095,/wnba/players/n/nolande01w.html,2004
Nicole Ohlde,MIN,F-C,34,1018,34,1018,17.1,0.514,0.442,0.006,0.575,10.7,12.5,13.8,0.9,3.7,16.1,22.2,101,94,2.1,1.7,3.9,0.152,/wnba/players/o/ohldeni01w.html,2004
Murriel Page,WAS,F,33,809,33,809,11.8,0.478,0.463,0.017,0.229,6.1,10.9,8.3,1.8,1.7,13.5,13.4,98,100,0.7,0.6,1.4,0.069,/wnba/players/p/pagemu01w.html,2004
Wendy Palmer,CON,F,33,786,33,786,16.8,0.511,0.453,0.162,0.336,7.7,15.2,7.7,1.7,0.5,12.1,20.9,103,97,1.7,1,2.7,0.137,/wnba/players/p/palmewe01w.html,2004
Ticha Penicheiro,SAC,G,33,970,33,970,14.2,0.477,0.419,0.382,0.393,1.9,7.2,29.6,3.9,0.2,25.6,14.2,97,95,0.9,1.6,2.5,0.105,/wnba/players/p/penicti01w.html,2004
Jocelyn Penn,SAS,F,1,3,1,3,78.9,1,1,0,0,0,22.5,0,0,0,0,33.6,200,97,0.1,0,0.1,1.337,/wnba/players/p/pennjo01w.html,2004
Jia Perkins,CHA,G,4,17,4,17,9.6,0.222,0,0,0.8,9.2,13.1,10.9,11.3,0,12.9,25.4,60,80,-0.1,0.1,0,-0.074,/wnba/players/p/perkiji01w.html,2004
Tari Phillips,NYL,F-C,13,311,13,311,8.6,0.377,0.347,0,0.484,12.5,14.8,10.6,2.7,2.6,22.3,24.6,73,95,-1,0.5,-0.5,-0.066,/wnba/players/p/phillta01w.html,2004
Plenette Pierson,PHO,F,31,803,31,803,13.8,0.482,0.443,0.012,0.431,8,11.5,7,1.9,1.9,14,22.5,94,98,0.6,0.9,1.6,0.077,/wnba/players/p/pierspl01w.html,2004
Elaine Powell,DET,G,30,760,30,760,10.9,0.416,0.377,0,0.362,5,6.8,31,2.6,0.9,27.6,13.5,87,99,-0.2,0.7,0.5,0.026,/wnba/players/p/powelel01w.html,2004
Nicole Powell,CHA,F,31,384,31,384,16.3,0.526,0.512,0.479,0.083,4.1,13.7,10.2,2.5,0.9,14.9,21.3,98,96,0.5,0.5,1.1,0.11,/wnba/players/p/powelni01w.html,2004
Felicia Ragland,HOU,G,34,517,34,517,11,0.469,0.446,0.408,0.108,4.9,8.5,14.8,2.9,0.5,20.3,15.6,91,96,0.1,0.7,0.8,0.062,/wnba/players/r/raglafe01w.html,2004
Semeka Randall,SAS,G,29,462,29,462,10.6,0.414,0.371,0.035,0.336,7.7,8.8,9.1,2.8,0.8,14.6,20.9,85,102,-0.4,0.2,-0.1,-0.011,/wnba/players/r/randase01w.html,2004
Kristen Rasmussen,IND,F,33,692,33,692,12.8,0.501,0.452,0.2,0.281,7.5,10.8,13.7,1.8,1.8,18.7,13.4,102,100,0.9,0.6,1.5,0.085,/wnba/players/r/rasmukr01w.html,2004
Ruth Riley,DET,C,34,1037,34,1037,15,0.496,0.448,0.006,0.254,8,11.8,9.8,1.7,4.5,17.7,20.7,95,97,0.9,1.4,2.2,0.087,/wnba/players/r/rileyru01w.html,2004
Ashley Robinson,PHO,C,19,130,19,130,9.2,0.498,0.5,0.071,0.5,4.3,7.1,2.8,3.6,7,19,8.4,92,93,0,0.2,0.3,0.082,/wnba/players/r/robinas01w.html,2004
Crystal Robinson,NYL,F,28,890,28,890,17,0.569,0.536,0.516,0.154,3,6.1,14.3,1.6,0.7,10,19.2,112,102,2.9,0.4,3.3,0.15,/wnba/players/r/robincr01w.html,2004
Nykesha Sales,CON,F-G,34,1096,34,1096,20,0.497,0.474,0.265,0.158,3.9,8.1,20,4,0.6,12.8,27.1,98,95,1.9,1.7,3.6,0.131,/wnba/players/s/salesny01w.html,2004
Sheri Sam,SEA,G-F,34,1018,34,1018,13.8,0.488,0.431,0.148,0.268,5.5,9.1,15.4,3,0.5,16.6,18.1,100,96,1.5,1.5,3,0.119,/wnba/players/s/samsh01w.html,2004
Isabel Sanchez,DET,G,10,62,10,62,6.9,0.584,0.5,0.357,0.786,5.9,5,8.9,1.8,0,36.9,22.3,80,103,-0.1,0,-0.1,-0.06,/wnba/players/s/sanchis01w.html,2004
Nakia Sanford,WAS,C-F,31,653,31,653,12.9,0.531,0.5,0,0.595,10,14.9,5.1,1.6,2.1,18.9,14.7,100,99,0.8,0.7,1.5,0.093,/wnba/players/s/sanfona01w.html,2004
Kelly Schumacher,IND,C,32,601,32,601,14.7,0.519,0.482,0.066,0.23,7.6,11.5,9.8,1,4.7,19.4,22.2,94,99,0.4,0.5,1,0.065,/wnba/players/s/schumke01w.html,2004
Olympia Scott,CHA,C,34,398,34,398,4.6,0.45,0.403,0.015,0.478,11,12.1,5.3,1.5,2.8,30.7,16.4,76,101,-0.7,0.2,-0.5,-0.048,/wnba/players/s/scottol01w.html,2004
K.B. Sharp,NYL,G,30,240,30,240,5.9,0.343,0.243,0.324,0.324,2.9,5.7,24.7,1.5,0.3,32.1,13.4,75,103,-0.4,0.1,-0.3,-0.056,/wnba/players/s/sharpkb01w.html,2004
Gwen Slaughter,MIN,F,3,7,3,7,19.1,0.532,0,0,2,0,9.4,0,0,11.9,0,13.2,133,90,0,0,0,0.255,/wnba/players/s/slauggw01w.html,2004
Aiysha Smith,WAS,F,29,403,29,403,14.1,0.487,0.451,0.155,0.33,8,10.8,7,2.4,2.6,15.1,16.9,97,99,0.4,0.4,0.8,0.081,/wnba/players/s/smithai01w.html,2004
Charlotte Smith,CHA,F,34,977,34,977,13.9,0.588,0.551,0.282,0.354,8,10.5,9.3,1.2,1.2,18.8,16.7,107,103,2.3,0.3,2.6,0.106,/wnba/players/s/smithch02w.html,2004
Katie Smith*,MIN,G,23,800,23,800,21.8,0.59,0.525,0.437,0.343,2.8,6.9,16.7,1.7,0.6,12.2,25.6,114,96,3.6,1.2,4.8,0.24,NA,2004
Tangela Smith,SAC,C,34,908,34,908,16.5,0.446,0.418,0.072,0.14,6.6,10.4,12.2,2.5,2.7,11.1,25.8,96,96,1.1,1.3,2.4,0.106,/wnba/players/s/smithta01w.html,2004
Michelle Snow,HOU,C,31,893,31,893,15.5,0.495,0.454,0,0.493,9.2,17.5,7.4,1.9,3.4,20.3,20,91,91,0.2,1.9,2.1,0.095,/wnba/players/s/snowmi01w.html,2004
Dawn Staley*,CHA,G,34,1143,34,1143,15.3,0.531,0.48,0.24,0.354,1.6,3.8,33.5,2.4,0.2,20.7,17.4,106,104,2.8,0.1,2.9,0.101,NA,2004
Kate Starbird,IND,F-G,12,117,12,117,7.3,0.39,0.326,0.435,0.261,6.5,5.1,17.9,3.1,0,26,14.7,82,102,-0.1,0.1,-0.1,-0.018,/wnba/players/s/starbka01w.html,2004
Stacy Stephens,DET,C,7,36,7,36,2.1,0.291,0.333,0,0.333,6.8,15.4,14.3,0,0,22.5,11.4,68,100,-0.1,0,0,-0.049,/wnba/players/s/stephst01w.html,2004
Mandisa Stevenson,SAS,F-C,29,259,29,259,4.4,0.392,0.344,0.022,0.178,5.8,9.1,3.6,1.4,1.4,18.5,11.6,79,104,-0.2,0.1,-0.2,-0.03,/wnba/players/s/stevema01w.html,2004
Andrea Stinson,CHA,G,34,777,34,777,13.5,0.483,0.442,0.194,0.23,5,11.3,14.4,2.2,0.8,16.3,18,96,99,0.7,0.7,1.4,0.073,/wnba/players/s/stinsan01w.html,2004
Tammy Sutton-Brown,CHA,C,34,970,34,970,18.7,0.55,0.473,0,0.723,10.2,16.1,3.6,2.1,6.4,19.4,21,99,95,1.6,1.6,3.2,0.132,/wnba/players/s/suttota01w.html,2004
Sheryl Swoopes*,HOU,F-G,31,1070,31,1070,20.6,0.49,0.445,0.152,0.21,4.7,9.4,20.6,2.6,1.3,11.2,25.1,102,96,2.6,1.6,4.1,0.155,NA,2004
Diana Taurasi,PHO,G,34,1130,34,1130,21.8,0.516,0.477,0.374,0.256,3.5,9.3,27.8,2.3,2,13.9,29.6,102,97,3.3,1.4,4.7,0.166,/wnba/players/t/tauradi01w.html,2004
Lindsay Taylor,PHO,C,5,26,5,26,1.8,0.3,0.3,0.6,0,0,8.1,13.6,2.3,3.5,16.7,11.9,70,95,0,0,0,-0.011,/wnba/players/t/tayloli01w.html,2004
Penny Taylor,PHO,F,33,1076,33,1076,20.4,0.607,0.55,0.31,0.348,6.6,10.5,16.4,2.9,1.2,18.5,21,110,96,3.8,1.5,5.2,0.194,/wnba/players/t/taylope01w.html,2004
Nikki Teasley,LAS,G,34,1105,34,1105,15.3,0.546,0.511,0.594,0.245,3.5,6.7,34,2.1,0.6,25.1,17.8,102,97,2.1,1.4,3.5,0.126,/wnba/players/t/teaslni01w.html,2004
Christi Thomas,LAS,F-C,31,547,31,547,13.8,0.512,0.479,0.077,0.287,10.6,14,8,1.8,2.3,14.4,16.4,102,93,0.9,1,1.9,0.141,/wnba/players/t/thomach01w.html,2004
LaToya Thomas,SAS,F,31,964,31,964,19.2,0.55,0.493,0.023,0.323,6.8,9.7,10.5,1.5,1,12.3,23.8,107,103,3,0.2,3.3,0.136,/wnba/players/t/thomala01w.html,2004
Stacey Thomas,DET,F,1,1,1,1,0,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,109,0,0,0,-0.026,/wnba/players/t/thomast01w.html,2004
Alicia Thompson,SEA,F,23,182,23,182,12.5,0.474,0.472,0.296,0.037,5.8,8.8,9.7,1.9,0,11.3,16.4,99,99,0.2,0.2,0.4,0.087,/wnba/players/t/thompal01w.html,2004
Tina Thompson*,HOU,F,26,943,26,943,22,0.507,0.451,0.241,0.328,6.2,10.9,13,1.4,2.1,11.9,31.5,101,97,2.6,1.2,3.7,0.159,NA,2004
Erin Thorn,NYL,G,17,156,17,156,4.2,0.371,0.367,0.689,0.044,0,3.4,9.9,1.5,0.5,16.4,18.2,71,103,-0.4,0,-0.3,-0.089,/wnba/players/t/thorner01w.html,2004
Iciss Tillis,DET,F-C,31,287,31,287,11.2,0.523,0.514,0.243,0.162,5.5,8.4,8.8,1.7,2.4,22.5,16.5,90,99,0,0.3,0.3,0.037,/wnba/players/t/tilliic01w.html,2004
Slobodanka Tuvic,PHO,C,33,691,33,691,6.9,0.415,0.374,0.01,0.242,5.1,12.6,8.4,2.1,4.9,27.2,11.2,78,94,-0.8,1.2,0.5,0.027,/wnba/players/t/tuvicsl01w.html,2004
Mfon Udoka,LAS,F,3,19,3,19,-7.8,0.133,0,0,2,14.1,10.1,0,0,0,21,12,45,102,-0.1,0,-0.1,-0.163,/wnba/players/u/udokamf01w.html,2004
Michele Van Gorp,MIN,C,8,66,8,66,8.1,0.488,0.474,0.053,0.421,11.9,12.9,3.6,0,1.3,23.7,21.9,81,98,-0.1,0.1,0,-0.008,/wnba/players/v/vangomi01w.html,2004
Kamila Vodichkova,SEA,F-C,34,873,34,873,12.5,0.473,0.392,0.008,0.448,9.9,12.9,11.8,2.1,1.2,20.2,20,94,96,0.6,1.3,1.9,0.086,/wnba/players/v/vodicka01w.html,2004
Ayana Walker,DET,F,18,148,18,148,4.4,0.294,0.286,0,0.214,8.2,10.8,6.9,0.4,2.4,14,11.2,74,102,-0.2,0.1,-0.1,-0.032,/wnba/players/w/walkeay01w.html,2004
DeMya Walker,SAC,F,34,884,34,884,12.5,0.455,0.416,0.037,0.386,10.6,11.1,19.2,1.7,1.4,21.6,22,90,99,0.1,0.8,1,0.045,/wnba/players/w/walkede01w.html,2004
Ann Wauters,NYL,C,13,271,13,271,12.8,0.521,0.447,0.045,0.439,5.1,9.7,15.9,0.9,2.4,21.1,19,96,100,0.3,0.2,0.5,0.067,/wnba/players/w/wautean01w.html,2004
Teresa Weatherspoon*,LAS,G,34,292,34,292,2.9,0.34,0.34,0.12,0,2.8,6.3,17.7,2.3,0.3,51,8.4,62,97,-0.6,0.4,-0.2,-0.033,NA,2004
Lindsay Whalen*,CON,G,31,946,31,946,15,0.581,0.508,0.311,0.667,2.8,6.2,28.6,2.4,0,28.4,17.4,100,100,1.5,0.7,2.3,0.096,NA,2004
DeTrina White,NYL,F,31,420,31,420,11.2,0.543,0.544,0,0.25,16.9,18.4,4.2,1.1,2,32.3,13.7,89,98,0,0.5,0.5,0.045,/wnba/players/w/whitede01w.html,2004
Tamika Whitmore,LAS,F,34,595,34,595,12.4,0.513,0.465,0.092,0.416,8.6,11.4,5.5,1.1,0.7,14.2,19.2,99,97,0.9,0.8,1.6,0.109,/wnba/players/w/whitmta01w.html,2004
Le'coe Willingham,CON,F,23,175,23,175,23.6,0.688,0.632,0.026,0.684,16.1,16.1,8,2.7,1,19.5,17.5,122,97,0.8,0.2,1.1,0.243,/wnba/players/w/willile01w.html,2004
Natalie Williams,IND,C,34,956,34,956,18.7,0.505,0.454,0.014,0.406,12.3,16.3,14.8,2.5,2.2,15.8,21.4,103,96,2.1,1.3,3.5,0.146,/wnba/players/w/willina01w.html,2004
Tamika Williams,MIN,F,34,978,34,978,13.9,0.559,0.542,0.021,0.46,11,13.8,8.5,2.3,0.4,22.5,14.7,98,93,1,1.9,3,0.121,/wnba/players/w/willita02w.html,2004
Toccara Williams,SAS,G,26,417,26,417,10,0.468,0.359,0.043,0.63,2.3,6.3,18.7,4.9,1.1,34.5,10.8,82,97,-0.3,0.5,0.2,0.021,/wnba/players/w/willito01w.html,2004
Shereka Wright,PHO,F,24,243,24,243,8.6,0.508,0.381,0.31,0.762,9.8,7.8,6,0.7,0.4,21.1,15.1,98,104,0.3,0,0.3,0.047,/wnba/players/w/wrighsh01w.html,2004
