player,tm,pos,g,mp,g_2,mp_2,per,tspercent,efgpercent,x3par,ftr,orbpercent,trbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,ortg,drtg,ows,dws,ws,ws_40,link,season
Tiffany Woosley,HOU,G,26,397,26,397,7.3,0.415,0.42,0.568,0.091,2.6,4.7,13.4,2.5,0.2,24.7,14.3,80,95,-0.2,0.3,0.1,0.007,/wnba/players/w/wooslti01w.html,1997
Lynette Woodard*,CLE,G,28,712,28,712,14.4,0.443,0.401,0.032,0.295,7.1,10.4,18.2,3.4,1.2,22,20.6,85,90,0,1.1,1.1,0.061,NA,1997
Sophia Witherspoon,NYL,G,28,867,28,867,18.3,0.517,0.47,0.365,0.322,4.3,5.9,16,3,0.7,16.4,24.5,98,90,2.3,1.4,3.6,0.168,/wnba/players/w/witheso01w.html,1997
Tara Williams,PHO,G,12,84,12,84,13.8,0.474,0.474,0.282,0,1.4,5.9,9.1,1.9,0,9.3,23,92,91,0.1,0.1,0.2,0.11,/wnba/players/w/willita01w.html,1997
Kim Williams,UTA,G,28,608,28,608,14.2,0.448,0.404,0.148,0.231,6.2,7.7,22.2,3.3,0.9,18.4,22.7,88,99,0.4,0,0.4,0.026,/wnba/players/w/williki01w.html,1997
Debra Williams,CHA,G,10,116,10,116,4.4,0.308,0.302,0.419,0.047,3.3,7,14.2,1,0,12,20.4,71,96,-0.2,0.1,-0.2,-0.062,/wnba/players/w/willide01w.html,1997
Jamila Wideman,LAS,G,28,633,28,633,7.3,0.347,0.269,0.34,0.321,3.3,5.4,24.9,2,0.1,29.7,12,79,96,-0.4,0.4,0,-0.001,/wnba/players/w/widemja01w.html,1997
Sue Wicks,NYL,F,28,332,28,332,12.3,0.411,0.364,0.065,0.308,13.3,17.4,17.2,2.8,4.5,27.5,22.7,76,83,-0.6,0.9,0.4,0.046,/wnba/players/w/wickssu01w.html,1997
Umeki Webb,PHO,G-F,28,775,28,775,10.2,0.376,0.301,0.095,0.424,6.3,9.3,16.8,4.7,0.9,22.7,14.1,80,84,-0.5,2.1,1.6,0.083,/wnba/players/w/webbum01w.html,1997
Teresa Weatherspoon*,NYL,G,28,924,28,924,16.3,0.541,0.478,0.255,0.73,3.3,7.7,33.8,5,0.2,34.2,13.4,94,84,1.1,2.4,3.5,0.149,NA,1997
Tia Jackson,PHO,F,26,320,26,320,11.2,0.44,0.363,0.11,0.342,9.5,11,16.1,3.8,2.2,30.6,17,79,85,-0.3,0.8,0.5,0.063,/wnba/players/j/jacksti01w.html,1997
Danielle Viglione,SAC,G,7,30,7,30,5.7,0.318,0.318,0.364,0,4.1,8.4,6.4,1.8,0,0,16.4,86,102,0,0,0,-0.01,/wnba/players/v/viglida01w.html,1997
Molly Tuter,PHO,G,3,3,3,3,-25,0,0,0,0,0,0,0,0,0,0,30,0,99,0,0,0,-0.648,/wnba/players/t/tutermo01w.html,1997
