player,tm,pos,g,mp,mp2,oncourt,on_off,badpass,lostball,shoot_fouls_committed,off_fouls_committed,shoot_fouls_drawn,off_fouls_drawn,pga,and1,blkd,link,season
Chloe Jackson,CHI,G,8,32,32,-22,-23.7,4,2,1,0,2,NA,9,0,4,/wnba/players/j/jacksch01w.html,2019
Jantel Lavender,CHI,F,23,619,619,0.1,-1.8,14,9,19,5,9,NA,62,3,11,/wnba/players/l/lavenja01w.html,2019
Victoria Macaulay,CHI,C,5,22,22,17.2,16.4,0,0,3,0,0,NA,0,0,1,/wnba/players/m/macauvi01w.html,2019
Astou Ndour,CHI,C-F,21,368,368,2,1.2,5,4,19,2,9,NA,35,2,9,/wnba/players/n/ndouras01w.html,2019
Cheyenne Parker,CHI,F,34,670,670,-2.8,-7.7,12,10,44,15,39,NA,70,9,25,/wnba/players/p/parkech01w.html,2019
Allie Quigley,CHI,G,34,972,972,3.1,7,17,16,22,10,17,NA,193,4,7,/wnba/players/q/quiglal01w.html,2019
Katie Lou Samuelson,CHI,F,20,153,153,-4,-5.8,4,1,5,0,6,NA,15,0,3,/wnba/players/s/samueka02w.html,2019
Courtney Vandersloot,CHI,G,33,991,991,4.4,12.7,66,19,21,1,25,NA,691,7,17,/wnba/players/v/vandeco01w.html,2019
Gabby Williams,CHI,F,33,527,527,-3.5,-7.4,36,12,18,6,16,NA,157,3,7,/wnba/players/w/williga01w.html,2019
Rachel Banham,CON,G,29,353,353,1.3,-5.2,13,7,17,2,4,NA,59,0,4,/wnba/players/b/banhara01w.html,2019
Layshia Clarendon,CON,G,9,138,138,5,-0.1,2,5,2,1,10,NA,44,1,2,/wnba/players/c/clarela01w.html,2019
Natisha Hiedeman,CON,G,20,205,205,-5.4,-12.4,7,4,13,0,13,NA,91,3,4,/wnba/players/h/hiedena01w.html,2019
Bria Holmes,CON,G,34,529,529,-5.1,-16.6,13,10,16,5,29,NA,72,2,17,/wnba/players/h/holmebr01w.html,2019
Brionna Jones,CON,F,27,227,227,-12.1,-20.6,4,6,12,5,16,NA,26,2,13,/wnba/players/j/jonesbr01w.html,2019
Jonquel Jones,CON,F,34,980,980,11.7,23.5,17,20,43,17,49,NA,121,8,31,/wnba/players/j/jonesjo01w.html,2019
Shekinna Stricklen,CON,F,34,804,804,11.7,16.2,19,2,25,4,9,NA,88,4,1,/wnba/players/s/stricsh01w.html,2019
Alyssa Thomas,CON,F,34,1026,1026,9.5,17.8,33,10,34,18,56,NA,248,21,30,/wnba/players/t/thomaal01w.html,2019
Jasmine Thomas,CON,G,34,1009,1009,8.2,11.9,69,19,30,1,30,NA,405,2,15,/wnba/players/t/thomaja01w.html,2019
Morgan Tuck,CON,F,33,352,352,-5.7,-14.6,13,4,18,7,14,NA,63,4,11,/wnba/players/t/tuckmo01w.html,2019
Courtney Williams,CON,G,34,988,988,6.3,4.3,31,18,23,2,23,NA,317,1,13,/wnba/players/w/willico01w.html,2019
Imani McGee-Stafford,DAL,C,29,346,346,-2.3,8.8,14,6,24,7,4,NA,44,2,5,/wnba/players/b/boyetim01w.html,2019
Kaela Davis,DAL,F,33,634,634,-13.6,-8.9,32,21,33,9,16,NA,163,5,17,/wnba/players/d/daviska01w.html,2019
Allisha Gray,DAL,G,34,1035,1035,-6.1,11.7,21,12,33,7,54,NA,189,14,12,/wnba/players/g/grayal01w.html,2019
Megan Gustafson,DAL,C,25,238,238,-3.1,7,4,5,18,1,9,NA,18,4,4,/wnba/players/g/gustame01w.html,2019
Isabelle Harrison,DAL,F,31,794,794,-7.6,2.9,13,16,39,9,32,NA,97,7,20,/wnba/players/h/harriis01w.html,2019
Tayler Hill,DAL,G,4,49,49,-21,-12.6,0,0,1,0,1,NA,7,0,1,/wnba/players/h/hillta01w.html,2019
Glory Johnson,DAL,F,28,676,676,-10.8,-3.9,12,7,23,7,8,NA,93,2,11,/wnba/players/j/johnsgl01w.html,2019
Brooke McCarty-Williams,DAL,G,34,447,447,-9,-0.3,21,3,18,2,3,NA,155,2,3,/wnba/players/m/mccarbr01w.html,2019
Arike Ogunbowale,DAL,G,33,1059,1059,-10.6,-8.2,30,16,21,17,76,NA,244,12,23,/wnba/players/o/ogunbar01w.html,2019
Azura Stevens,DAL,F-C,9,144,144,-26,-19.2,3,3,6,1,3,NA,12,1,12,/wnba/players/s/steveaz01w.html,2019
Kayla Thornton,DAL,F,27,822,822,-9,-0.5,18,10,13,6,24,NA,113,4,15,/wnba/players/t/thornka01w.html,2019
Natalie Achonwa,IND,F,30,636,636,-5.8,-4.7,12,6,36,8,33,NA,108,12,15,/wnba/players/a/achonna01w.html,2019
Kennedy Burke,IND,G-F,31,423,423,-6.6,-4.8,11,7,18,2,22,NA,49,4,11,/wnba/players/b/burkeke01w.html,2019
Candice Dupree,IND,F,34,1043,1043,-4.2,-3.5,34,9,15,5,23,NA,195,5,7,/wnba/players/d/dupreca01w.html,2019
Shenise Johnson,IND,G,17,219,219,4.9,9.8,7,4,9,1,6,NA,38,0,2,/wnba/players/j/johnssh02w.html,2019
Paris Kea,IND,G,11,60,60,-20.2,-17.6,7,2,4,0,2,NA,13,0,1,/wnba/players/k/keapa01w.html,2019
Betnijah Laney,IND,G-F,34,877,877,-4.5,-3.1,22,12,15,6,7,NA,137,3,5,/wnba/players/l/laneybe01w.html,2019
Stephanie Mavunga,IND,F,24,204,204,2.3,6.6,2,2,16,3,6,NA,11,1,3,/wnba/players/m/mavunst01w.html,2019
Erica McCall,IND,F,15,104,104,-13.7,-11.2,2,1,4,0,2,NA,15,0,5,/wnba/players/m/mccaler01w.html,2019
Teaira McCowan,IND,C,34,752,752,0,7.2,3,11,51,18,69,NA,17,14,18,/wnba/players/m/mccowte01w.html,2019
Kelsey Mitchell,IND,G,34,852,852,-2.6,2.2,33,11,23,6,23,NA,201,6,22,/wnba/players/m/mitchke01w.html,2019
Tiffany Mitchell,IND,G,33,831,831,-5.6,-5.9,26,13,35,4,41,NA,164,5,15,/wnba/players/m/mitchti01w.html,2019
Erica Wheeler,IND,G,34,850,850,0,8.7,55,26,21,6,14,NA,368,3,18,/wnba/players/w/wheeler01w.html,2019
Alana Beard,LAS,G-F,16,235,235,4.5,1.7,6,3,5,0,4,NA,51,1,0,/wnba/players/b/beardal01w.html,2019
Kalani Brown,LAS,C,28,377,377,-6.5,-13.3,6,12,23,4,23,NA,39,6,16,/wnba/players/b/brownka01w.html,2019
Chelsea Gray,LAS,G,34,1108,1108,4.7,8.2,82,19,17,3,28,NA,457,12,19,/wnba/players/g/graych01w.html,2019
Alexis Jones,LAS,G,20,243,243,-1.9,-6.1,18,4,9,3,7,NA,83,1,5,/wnba/players/j/jonesal01w.html,2019
Marina Mabrey,LAS,G,31,355,355,-1.7,-6.6,15,4,13,1,6,NA,68,1,11,/wnba/players/m/mabrema01w.html,2019
Chiney Ogwumike,LAS,F-C,32,697,697,-0.1,-6.5,13,10,40,11,33,NA,63,10,32,/wnba/players/o/ogwumch01w.html,2019
Nneka Ogwumike,LAS,F,32,892,892,7.1,11.5,26,14,35,13,42,NA,147,5,23,/wnba/players/o/ogwumnn01w.html,2019
Candace Parker,LAS,F-C,22,571,571,5.9,4.8,36,12,21,3,34,NA,183,8,13,/wnba/players/p/parkeca01w.html,2019
Tierra Ruffin-Pratt,LAS,G,34,856,856,4.6,4,16,5,33,7,22,NA,134,5,9,/wnba/players/r/ruffiti01w.html,2019
Maria Vadeeva,LAS,C,15,180,180,1.7,-1.6,3,6,10,5,8,NA,21,3,6,/wnba/players/v/vadeema01w.html,2019
Ashley Walker,LAS,F-C,3,22,22,-22.9,-26.4,0,0,4,0,0,NA,6,0,3,/wnba/players/w/walkeas01w.html,2019
Sydney Wiese,LAS,G,32,659,659,5.4,4.4,23,8,19,0,3,NA,127,1,10,/wnba/players/w/wiesesy01w.html,2019
Riquna Williams,LAS,G,23,593,593,2.1,-1.7,12,5,30,8,21,NA,83,5,6,/wnba/players/w/williri02w.html,2019
Liz Cambage,LVA,C,32,807,807,8.5,4.4,22,18,34,22,78,NA,158,26,32,/wnba/players/c/cambael01w.html,2019
Sydney Colson,LVA,G,33,379,379,8.8,2.8,18,8,14,1,12,NA,137,0,4,/wnba/players/c/colsosy01w.html,2019
Dearica Hamby,LVA,F,34,842,842,10.7,10,18,20,32,9,41,NA,143,11,34,/wnba/players/h/hambyde01w.html,2019
Kayla McBride,LVA,G,34,990,990,7.1,1.2,31,16,13,6,33,NA,180,11,13,/wnba/players/m/mcbrika01w.html,2019
Jaime Nared,LVA,G-F,1,1,1,0,-6.8,0,0,1,0,0,NA,0,0,0,/wnba/players/n/naredja01w.html,2019
JiSu Park,LVA,C,25,163,163,3.9,-3.3,3,2,11,2,5,NA,22,1,5,/wnba/players/p/parkji01w.html,2019
Kelsey Plum,LVA,G,34,868,868,7.5,1.9,24,15,24,5,11,NA,214,2,18,/wnba/players/p/plumke01w.html,2019
Epiphanny Prince,LVA,G,3,28,28,10.5,3.8,0,0,4,0,0,NA,6,0,0,/wnba/players/p/princep01w.html,2019
Sugar Rodgers,LVA,G,33,382,382,3.8,-4,13,6,23,0,1,NA,88,0,5,/wnba/players/r/rodgesu01w.html,2019
Carolyn Swords,LVA,C,29,257,257,-7.8,-17.6,6,3,8,5,5,NA,18,1,11,/wnba/players/s/swordca01w.html,2019
A'ja Wilson,LVA,F,26,740,740,6.6,-0.5,23,18,31,8,65,NA,102,12,33,/wnba/players/w/wilsoa01w.html,2019
Jackie Young,LVA,G,34,767,767,4.3,-5.7,42,5,23,1,34,NA,334,3,28,/wnba/players/y/youngja01w.html,2019
Tamera Young,LVA,F,34,628,628,7.8,1.8,33,7,23,4,27,NA,137,5,13,/wnba/players/y/youngta01w.html,2019
Jillian Alleyne,MIN,C-F,5,14,14,-50.7,-55,0,0,0,0,0,NA,3,0,3,/wnba/players/a/alleyji01w.html,2019
Seimone Augustus,MIN,G-F,12,156,156,-7,-12.1,8,3,2,1,0,NA,31,0,1,/wnba/players/a/augusse01w.html,2019
Kenisha Bell,MIN,G,3,11,11,-29.1,-33.1,0,0,0,0,0,NA,2,0,0,/wnba/players/b/bellke01w.html,2019
Lexie Brown,MIN,G,33,605,605,3.1,-1.2,21,15,18,2,12,NA,107,2,7,/wnba/players/b/brownle02w.html,2019
Karima Christmas-Kelly,MIN,F-G,6,72,72,-4.9,-9.2,2,1,2,1,3,NA,13,1,1,/wnba/players/c/chriska02w.html,2019
Napheesa Collier,MIN,F,34,1131,1131,6.7,17.3,28,21,36,10,36,NA,203,14,23,/wnba/players/c/collina01w.html,2019
Damiris Dantas,MIN,F,26,667,667,5.9,4.2,26,6,29,8,13,NA,183,6,10,/wnba/players/d/dantada01w.html,2019
Temi Fagbenle,MIN,C,18,271,271,4,0.4,8,4,8,12,8,NA,35,4,5,/wnba/players/f/fagbete01w.html,2019
Sylvia Fowles,MIN,C,34,1003,1003,3.4,-1.3,16,19,37,16,47,NA,115,8,25,/wnba/players/f/fowlesy01w.html,2019
Danielle Robinson,MIN,G,34,919,919,7,10,43,18,17,3,25,NA,288,7,27,/wnba/players/r/robinda01w.html,2019
Jessica Shepard,MIN,F,6,112,112,16.8,14.2,11,1,3,1,4,NA,46,0,1,/wnba/players/s/shepaje01w.html,2019
Odyssey Sims,MIN,G,34,1083,1083,4.3,2.8,67,31,22,12,47,NA,429,12,28,/wnba/players/s/simsod01w.html,2019
Stephanie Talbot,MIN,F,33,561,561,-0.9,-8,29,7,23,2,11,NA,90,1,3,/wnba/players/t/talbost01w.html,2019
Shao Ting,MIN,F,5,27,27,-31,-35.4,0,0,3,0,2,NA,4,1,1,/wnba/players/t/tingsh01w.html,2019
Rebecca Allen,NYL,G,24,412,412,-2.7,11.8,8,2,28,3,6,NA,38,1,4,/wnba/players/a/allenre01w.html,2019
Tiffany Bias,NYL,G,12,105,105,-3.6,7.9,6,0,4,0,3,NA,25,0,2,/wnba/players/b/biasti01w.html,2019
Brittany Boyd,NYL,G,33,649,649,-14.5,-7,54,12,24,7,15,NA,355,4,14,/wnba/players/b/boydbr01w.html,2019
Tina Charles,NYL,C,33,1028,1028,-15.1,-17.2,44,19,42,12,60,NA,185,10,22,/wnba/players/c/charlti01w.html,2019
AD Durr,NYL,G,18,480,480,-9.3,2.6,9,11,21,0,7,NA,69,1,4,/wnba/players/d/durras01w.html,2019
Reshanda Gray,NYL,F,34,519,519,-10.8,0.2,7,6,39,18,30,NA,43,8,21,/wnba/players/g/grayre01w.html,2019
Bria Hartley,NYL,G,24,545,545,-15.9,-8.3,34,11,10,2,28,NA,173,4,16,/wnba/players/h/hartlbr01w.html,2019
Marine Johannes,NYL,G,19,345,345,-5.8,6.9,15,3,16,0,7,NA,101,2,1,/wnba/players/j/johanma01w.html,2019
Kia Nurse,NYL,G,34,1001,1001,-14.7,-14.3,28,10,12,10,54,NA,172,7,26,/wnba/players/n/nurseki01w.html,2019
Nayo Raincock-Ekunwe,NYL,F,28,367,367,-1.2,13.2,6,6,17,4,14,NA,28,4,11,/wnba/players/r/raincna01w.html,2019
Avery Warley-Talbert,NYL,C,3,35,35,-7.5,3.6,2,1,6,0,1,NA,0,0,3,/wnba/players/w/warleav01w.html,2019
Tanisha Wright,NYL,G,31,613,613,-8.3,4.8,34,12,15,5,12,NA,284,2,15,/wnba/players/w/wrighta01w.html,2019
Han Xu,NYL,C,18,143,143,6.1,19,0,0,5,0,0,NA,5,0,1,/wnba/players/x/xuha01w.html,2019
Amanda Zahui B.,NYL,C,24,558,558,-13.3,-4,12,4,35,7,14,NA,48,4,8,/wnba/players/z/zahuiam01w.html,2019
DeWanna Bonner,PHO,F-G,34,1120,1120,-3.1,-6.9,25,18,23,5,68,NA,218,14,32,/wnba/players/b/bonnede01w.html,2019
Essence Carson,PHO,G,23,425,425,1.3,4.5,10,4,8,1,15,NA,84,5,8,/wnba/players/c/carsoes01w.html,2019
Arica Carter,PHO,G,6,24,24,-39.1,-37.9,2,0,3,0,0,NA,2,0,0,/wnba/players/c/cartear01w.html,2019
Sophie Cunningham,PHO,G,32,389,389,-1.9,0,7,3,23,3,12,NA,61,1,5,/wnba/players/c/cunniso01w.html,2019
Brittney Griner,PHO,C,31,1018,1018,-3,-4.6,21,13,30,28,56,NA,185,21,14,/wnba/players/g/grinebr01w.html,2019
Briann January,PHO,G,32,852,852,-1.3,1.4,35,8,24,4,12,NA,231,1,12,/wnba/players/j/januabr01w.html,2019
Camille Little,PHO,F,29,425,425,6.4,11.9,13,4,22,5,10,NA,55,3,5,/wnba/players/l/littlca01w.html,2019
Sancho Lyttle,PHO,F,20,250,250,-0.7,1.5,7,1,16,2,2,NA,13,0,1,/wnba/players/l/lyttlsa01w.html,2019
Leilani Mitchell,PHO,G,32,971,971,-2.6,-2.4,34,8,26,7,19,NA,278,3,17,/wnba/players/m/mitchle01w.html,2019
Alanna Smith,PHO,F,18,134,134,0.2,2.3,4,2,7,1,0,NA,10,0,4,/wnba/players/s/smithal01w.html,2019
Diana Taurasi,PHO,G,6,129,129,-18.5,-18.5,8,3,4,2,6,NA,70,0,1,/wnba/players/t/tauradi01w.html,2019
Brianna Turner,PHO,F,29,462,462,-1.7,0.2,6,5,21,8,15,NA,34,2,11,/wnba/players/t/turnebr01w.html,2019
Yvonne Turner,PHO,G,29,595,595,-2.3,-0.7,29,15,19,6,17,NA,151,1,7,/wnba/players/t/turneyv01w.html,2019
Jordin Canada,SEA,G,30,865,865,3.9,12.7,59,17,10,1,36,NA,379,8,14,/wnba/players/c/canadjo01w.html,2019
Alysha Clark,SEA,F,31,881,881,6.8,21,26,13,29,5,9,NA,179,3,8,/wnba/players/c/clarkal01w.html,2019
Blake Dietrick,SEA,G,17,106,106,-11.1,-11.3,7,3,7,0,1,NA,37,0,0,/wnba/players/d/dietrbl01w.html,2019
Anriel Howard,SEA,F,3,20,20,-15.7,-15.2,0,1,0,1,0,NA,0,0,1,/wnba/players/h/howaran01w.html,2019
Natasha Howard,SEA,F,34,1066,1066,6.9,36,40,26,43,15,74,NA,171,15,31,/wnba/players/h/howarna01w.html,2019
Crystal Langhorne,SEA,F-C,34,577,577,-10.5,-17,15,13,17,4,18,NA,80,6,15,/wnba/players/l/langhcr01w.html,2019
Jewell Loyd,SEA,G,27,686,686,3.1,7.6,28,21,16,2,22,NA,117,4,7,/wnba/players/l/loydje01w.html,2019
Kaleena Mosqueda-Lewis,SEA,F,31,435,435,-14.1,-19.8,20,5,15,8,3,NA,42,1,10,/wnba/players/m/mosquka01w.html,2019
Courtney Paris,SEA,C,30,190,190,-22.2,-24.9,4,1,6,2,4,NA,34,1,4,/wnba/players/p/parisco01w.html,2019
Mercedes Russell,SEA,C,34,870,870,1.8,6.8,9,11,27,10,30,NA,80,9,24,/wnba/players/r/russeme01w.html,2019
Sami Whitcomb,SEA,G,33,674,674,-2.8,-4.2,43,3,26,3,2,NA,174,0,4,/wnba/players/w/whitcsa01w.html,2019
Shavonte Zellous,SEA,G,31,432,432,-12.7,-17.5,16,8,15,5,19,NA,121,4,11,/wnba/players/z/zellosh01w.html,2019
Ariel Atkins,WAS,G,33,804,804,21.6,15.4,18,10,26,1,23,NA,146,5,15,/wnba/players/a/atkinar01w.html,2019
Natasha Cloud,WAS,G,34,1093,1093,12.5,-13,39,21,26,3,27,NA,428,6,7,/wnba/players/c/cloudna01w.html,2019
Elena Delle Donne,WAS,F-G,31,901,901,21.4,18.1,10,8,17,3,45,NA,160,6,22,/wnba/players/d/delleel01w.html,2019
Tianna Hawkins,WAS,F,31,477,477,4.2,-16.9,14,4,29,9,15,NA,52,6,11,/wnba/players/h/hawkiti01w.html,2019
Myisha Hines-Allen,WAS,F,27,211,211,-0.4,-18.3,9,3,19,2,5,NA,59,0,6,/wnba/players/h/hinesmy01w.html,2019
Emma Meesseman,WAS,F,23,543,543,16.2,1.9,9,6,21,3,13,NA,168,2,9,/wnba/players/m/meessem01w.html,2019
Kim Mestdagh,WAS,G,15,71,71,-1.2,-17.2,3,1,1,1,0,NA,15,0,0,/wnba/players/m/mestdki01w.html,2019
Shey Peddy,WAS,G,15,71,71,11.6,-3.7,1,1,3,0,1,NA,20,0,1,/wnba/players/p/peddysh01w.html,2019
Aerial Powers,WAS,F-G,30,593,593,15.4,0.6,15,15,23,7,48,NA,99,12,12,/wnba/players/p/powerae01w.html,2019
LaToya Sanders,WAS,F-C,34,804,804,20.6,13.1,6,7,31,9,12,NA,162,1,8,/wnba/players/p/pringla01w.html,2019
Kristi Toliver,WAS,G,23,678,678,14,-2,28,14,9,1,13,NA,300,1,3,/wnba/players/t/tolivkr01w.html,2019
Shatori Walker-Kimbrough,WAS,G,34,580,580,11.2,-6.9,16,13,15,1,26,NA,96,4,5,/wnba/players/w/walkesh01w.html,2019
Kristine Anigwe,TOT,F-C,27,250,250,-5.5,-4.1,5,4,16,4,13,NA,13,2,9,/wnba/players/a/anigwkr01w.html,2019
Bridget Carleton,TOT,F,8,40,40,-24.3,-29.1,0,1,2,0,0,NA,2,0,0,/wnba/players/c/carlebr01w.html,2019
Alaina Coates,TOT,C,23,167,167,0,3,1,2,19,5,9,NA,4,3,8,/wnba/players/c/coateal01w.html,2019
Theresa Plaisance,TOT,F,31,442,442,-8.8,-8.5,20,9,41,0,9,NA,79,1,5,/wnba/players/p/plaisth01w.html,2019
Karlie Samuelson,TOT,F,7,84,84,1.5,4.3,0,0,2,0,0,NA,11,0,1,/wnba/players/s/samueka01w.html,2019
Asia Taylor,TOT,F,12,96,96,3.8,2.9,3,2,5,1,4,NA,17,0,4,/wnba/players/t/tayloas01w.html,2019
Kristine Anigwe,CON,F-C,17,121,121,-7.6,-13.9,3,1,4,4,7,NA,6,1,2,/wnba/players/a/anigwkr01w.html,2019
Bridget Carleton,CON,F,4,29,29,-13.3,-18.7,0,1,2,0,0,NA,2,0,0,/wnba/players/c/carlebr01w.html,2019
Theresa Plaisance,DAL,F,22,378,378,-5.7,4.3,19,9,35,0,8,NA,79,1,4,/wnba/players/p/plaisth01w.html,2019
Karlie Samuelson,LAS,F,3,36,36,8.7,5.7,0,0,0,0,0,NA,6,0,1,/wnba/players/s/samueka01w.html,2019
Alaina Coates,MIN,C,14,92,92,-6.4,-10.9,0,2,9,2,4,NA,2,2,5,/wnba/players/c/coateal01w.html,2019
Asia Taylor,MIN,F,8,65,65,-5,-9.2,3,2,3,0,3,NA,15,0,4,/wnba/players/t/tayloas01w.html,2019
Alaina Coates,ATL,C,9,75,75,7.9,18.3,1,0,10,3,5,NA,2,1,3,/wnba/players/c/coateal01w.html,2019
Theresa Plaisance,CON,F,9,64,64,-26.3,-32.9,1,0,6,0,1,NA,0,0,1,/wnba/players/p/plaisth01w.html,2019
Kristine Anigwe,DAL,F-C,10,129,129,-4.3,5.1,2,3,12,0,6,NA,7,1,7,/wnba/players/a/anigwkr01w.html,2019
Karlie Samuelson,DAL,F,4,48,48,-3.6,5.4,0,0,2,0,0,NA,5,0,0,/wnba/players/s/samueka01w.html,2019
Bridget Carleton,MIN,F,4,11,11,-57.8,-62,0,0,0,0,0,NA,0,0,0,/wnba/players/c/carlebr01w.html,2019
Asia Taylor,PHO,F,4,31,31,23.5,26,0,0,2,1,1,NA,2,0,0,/wnba/players/t/tayloas01w.html,2019
Jaylyn Agnew,ATL,F,12,71,71,-21.4,-13.7,3,1,4,0,3,NA,8,1,0,/wnba/players/a/agnewja01w.html,2020
Monique Billings,ATL,F,22,596,596,-6.3,7.4,13,11,30,13,24,NA,62,7,11,/wnba/players/b/billimo01w.html,2020
Brittany Brewer,ATL,F,5,33,33,-18.7,-10.3,0,2,3,0,0,NA,0,0,0,/wnba/players/b/brewebr01w.html,2020
Kalani Brown,ATL,C,10,61,61,-14.6,-6.3,2,1,8,1,4,NA,0,2,2,/wnba/players/b/brownka01w.html,2020
Chennedy Carter,ATL,G,16,406,406,-9.3,-1,18,16,30,4,36,NA,123,8,16,/wnba/players/c/cartech01w.html,2020
Kaela Davis,ATL,F,2,2,2,-70,-61.4,0,0,0,0,0,NA,0,0,0,/wnba/players/d/daviska01w.html,2020
Blake Dietrick,ATL,G,22,463,463,-8.3,1.1,29,6,22,0,2,NA,164,0,3,/wnba/players/d/dietrbl01w.html,2020
Glory Johnson,ATL,F,18,277,277,-10.6,-2.7,7,1,15,2,8,NA,29,2,3,/wnba/players/j/johnsgl01w.html,2020
Alexis Jones,ATL,G,6,53,53,-14.2,-5.8,4,1,2,0,1,NA,12,0,1,/wnba/players/j/jonesal01w.html,2020
Betnijah Laney,ATL,G-F,22,738,738,-6.9,11.2,29,24,15,6,28,NA,195,8,10,/wnba/players/l/laneybe01w.html,2020
Shekinna Stricklen,ATL,F,22,482,482,-10.2,-3,8,6,17,1,1,NA,32,0,7,/wnba/players/s/stricsh01w.html,2020
Courtney Williams,ATL,G,20,615,615,-9.3,-1.7,31,17,16,1,12,NA,147,5,10,/wnba/players/w/willico01w.html,2020
Elizabeth Williams,ATL,C-F,22,647,647,-7.8,3.7,9,5,28,7,28,NA,76,4,21,/wnba/players/w/williel01w.html,2020
Sydney Colson,CHI,G,17,110,110,-13.8,-20.1,10,3,2,0,4,NA,30,0,1,/wnba/players/c/colsosy01w.html,2020
Kahleah Copper,CHI,G-F,22,688,688,4.8,4.5,18,24,16,6,25,NA,109,6,17,/wnba/players/c/coppeka01w.html,2020
Diamond DeShields,CHI,G,13,224,224,-0.2,-5.4,16,11,9,2,8,NA,46,2,5,/wnba/players/d/deshidi01w.html,2020
Stefanie Dolson,CHI,C,15,273,273,2.8,-1.5,5,3,28,5,7,NA,58,2,1,/wnba/players/d/dolsost01w.html,2020
Ruthy Hebard,CHI,F,22,320,320,5.7,3,2,5,17,4,6,NA,16,4,4,/wnba/players/h/hebarru01w.html,2020
Cheyenne Parker,CHI,F,20,497,497,5.1,3,12,22,27,13,33,NA,74,8,19,/wnba/players/p/parkech01w.html,2020
Alexis Prince,CHI,F,2,16,16,-24.1,-28.4,0,0,1,0,0,NA,0,0,0,/wnba/players/p/princal01w.html,2020
Allie Quigley,CHI,G,22,631,631,2.8,-3.6,15,10,15,1,17,NA,117,5,7,/wnba/players/q/quiglal01w.html,2020
Azura Stevens,CHI,F-C,13,355,355,6.9,5.3,6,9,18,3,11,NA,50,3,5,/wnba/players/s/steveaz01w.html,2020
Courtney Vandersloot,CHI,G,22,693,693,9.2,26.7,35,14,20,1,31,NA,508,6,7,/wnba/players/v/vandeco01w.html,2020
Gabby Williams,CHI,F,22,546,546,0.1,-9.6,23,10,17,4,12,NA,97,3,6,/wnba/players/w/williga01w.html,2020
DeWanna Bonner,CON,F-G,22,732,732,4.8,24.9,22,19,16,6,61,NA,148,16,12,/wnba/players/b/bonnede01w.html,2020
Kaila Charles,CON,G-F,21,376,376,0.3,-0.5,8,8,18,0,14,NA,41,1,5,/wnba/players/c/charlka01w.html,2020
Natisha Hiedeman,CON,G,22,408,408,-8.8,-17.3,15,5,25,1,11,NA,95,3,9,/wnba/players/h/hiedena01w.html,2020
Bria Holmes,CON,G,18,291,291,-13,-20.2,12,5,10,0,6,NA,48,2,6,/wnba/players/h/holmebr01w.html,2020
Briann January,CON,G,13,303,303,13.9,20.1,9,4,8,1,5,NA,98,0,1,/wnba/players/j/januabr01w.html,2020
Brionna Jones,CON,F,21,549,549,6.3,15.2,8,12,25,11,29,NA,50,9,11,/wnba/players/j/jonesbr01w.html,2020
Beatrice Mompremier,CON,F,21,187,187,-6.8,-9.3,3,6,14,1,9,NA,8,2,8,/wnba/players/m/momprbe01w.html,2020
Kaleena Mosqueda-Lewis,CON,F,16,164,164,-23.5,-29.8,2,2,8,2,2,NA,10,0,4,/wnba/players/m/mosquka01w.html,2020
Theresa Plaisance,CON,F,13,90,90,-24.7,-28.1,1,0,10,1,2,NA,2,1,1,/wnba/players/p/plaisth01w.html,2020
Alyssa Thomas,CON,F,21,689,689,4.6,18.6,28,11,18,8,49,NA,233,8,15,/wnba/players/t/thomaal01w.html,2020
Jasmine Thomas,CON,G,19,485,485,6.8,13.9,27,15,16,2,12,NA,162,3,7,/wnba/players/t/thomaja01w.html,2020
Bella Alarie,DAL,C-F,22,309,309,-3.6,1.2,2,4,21,3,3,NA,30,0,4,/wnba/players/a/alaribe01w.html,2020
Allisha Gray,DAL,G,20,524,524,1.8,15.2,7,8,23,2,31,NA,63,10,11,/wnba/players/g/grayal01w.html,2020
Megan Gustafson,DAL,C,10,48,48,-15.9,-12.1,1,0,4,1,2,NA,3,0,4,/wnba/players/g/gustame01w.html,2020
Isabelle Harrison,DAL,F,13,258,258,0.1,6.4,8,3,13,3,10,NA,45,4,6,/wnba/players/h/harriis01w.html,2020
Tyasha Harris,DAL,G,21,412,412,-6.4,-3.6,8,5,18,2,10,NA,145,4,4,/wnba/players/h/harrity01w.html,2020
Moriah Jefferson,DAL,G,9,148,148,-22.1,-21.3,4,6,7,1,4,NA,43,1,1,/wnba/players/j/jeffemo01w.html,2020
Marina Mabrey,DAL,G,19,405,405,-2,4.5,21,4,15,4,10,NA,96,2,8,/wnba/players/m/mabrema01w.html,2020
Astou Ndour,DAL,C-F,13,151,151,-27.2,-27.4,3,0,17,1,0,NA,13,0,3,/wnba/players/n/ndouras01w.html,2020
Arike Ogunbowale,DAL,G,22,748,748,-2.4,13,16,12,9,15,59,NA,193,16,17,/wnba/players/o/ogunbar01w.html,2020
Satou Sabally,DAL,F,16,450,450,-6.8,-4.9,12,15,26,5,41,NA,100,10,12,/wnba/players/s/sabalsa01w.html,2020
Katie Lou Samuelson,DAL,F,22,439,439,-3.1,2.7,9,1,16,0,4,NA,73,0,1,/wnba/players/s/samueka02w.html,2020
Kayla Thornton,DAL,F,22,557,557,-3.2,3.4,8,3,25,4,11,NA,43,0,3,/wnba/players/t/thornka01w.html,2020
