player,tm,pos,g,mp,mp2,oncourt,on_off,badpass,lostball,shoot_fouls_committed,off_fouls_committed,shoot_fouls_drawn,off_fouls_drawn,pga,and1,blkd,link,season
Glory Johnson,DAL,F,29,652,652,5.1,2.9,23,7,28,6,21,NA,91,4,16,/wnba/players/j/johnsgl01w.html,2018
Breanna Lewis,DAL,C,6,26,26,-22,-25.9,1,0,4,1,1,NA,0,1,3,/wnba/players/l/lewisbr01w.html,2018
Theresa Plaisance,DAL,F,7,81,81,5,1.6,5,1,6,1,1,NA,11,0,3,/wnba/players/p/plaisth01w.html,2018
Leticia Romero,DAL,G,21,146,146,-13.8,-19.4,3,8,12,2,1,NA,55,0,1,/wnba/players/r/romerle01w.html,2018
Azura Stevens,DAL,F-C,34,700,700,4,1,24,12,39,0,26,NA,103,5,17,/wnba/players/s/steveaz01w.html,2018
Kayla Thornton,DAL,F,34,971,971,4.2,2.5,22,5,40,5,20,NA,145,7,10,/wnba/players/t/thornka01w.html,2018
Natalie Achonwa,IND,F,34,883,883,-11,5.6,13,10,41,13,40,NA,109,9,23,/wnba/players/a/achonna01w.html,2018
Kayla Alexander,IND,C,30,257,257,-31,-22.2,1,4,16,9,8,NA,12,1,4,/wnba/players/a/alexaka01w.html,2018
Hind Ben Abdelkader,IND,G,14,142,142,0.8,15.3,0,5,6,2,0,NA,26,0,3,/wnba/players/b/benahi01w.html,2018
Candice Dupree,IND,F,32,1006,1006,-12.6,1.3,24,21,29,3,31,NA,128,8,15,/wnba/players/d/dupreca01w.html,2018
Jazmon Gwathmey,IND,G,10,116,116,-23.6,-11.6,3,3,5,1,4,NA,20,0,3,/wnba/players/g/gwathja01w.html,2018
Stephanie Mavunga,IND,F,25,194,194,-6.6,7.5,1,2,18,5,5,NA,10,1,7,/wnba/players/m/mavunst01w.html,2018
Erica McCall,IND,F,34,418,418,-10,4.2,4,1,18,4,9,NA,32,4,12,/wnba/players/m/mccaler01w.html,2018
Kelsey Mitchell,IND,G,34,829,829,-16.3,-8.4,32,19,39,3,33,NA,207,8,19,/wnba/players/m/mitchke01w.html,2018
Tiffany Mitchell,IND,G,34,871,871,-12.4,1.5,23,12,29,0,38,NA,175,9,14,/wnba/players/m/mitchti01w.html,2018
Asia Taylor,IND,F,14,116,116,-13.6,-0.7,1,5,2,2,4,NA,16,1,5,/wnba/players/t/tayloas01w.html,2018
Victoria Vivians,IND,G,34,920,920,-11.1,5.6,10,9,26,2,8,NA,97,0,8,/wnba/players/v/viviavi01w.html,2018
Erica Wheeler,IND,G,34,737,737,-9.8,6.6,24,12,27,3,23,NA,301,7,13,/wnba/players/w/wheeler01w.html,2018
Alana Beard,LAS,G-F,30,766,766,4.5,6.2,15,2,21,3,9,NA,121,0,8,/wnba/players/b/beardal01w.html,2018
Essence Carson,LAS,G,34,786,786,-1.6,-8.2,10,5,23,4,5,NA,72,2,5,/wnba/players/c/carsoes01w.html,2018
Chelsea Gray,LAS,G,34,1111,1111,3.2,7.6,50,17,26,7,37,NA,401,9,11,/wnba/players/g/graych01w.html,2018
Jantel Lavender,LAS,F,30,511,511,-12.5,-23,14,8,27,1,8,NA,54,3,6,/wnba/players/l/lavenja01w.html,2018
Nneka Ogwumike,LAS,F,27,831,831,6.5,12,17,10,36,7,42,NA,121,13,21,/wnba/players/o/ogwumnn01w.html,2018
