player,team,pos,g,mp,g_2,gs,mp_2,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,trb,ast,stl,blk,tov,pf,pts,link,season
Natasha Cloud,WAS,G,27,715,27,22,26.5,3.3,7.6,0.436,1.2,3.1,0.386,2.1,4.5,0.471,0.8,1,0.778,0.2,3.2,4.6,0.7,0.1,1.7,2,8.6,/wnba/players/c/cloudna01w.html,2018
Alaina Coates,CHI,C,32,364,32,0,11.4,1.3,2.3,0.568,0,0,NA,1.3,2.3,0.568,0.8,1.3,0.625,1.2,3.2,0.4,0.2,0.2,0.5,1.8,3.4,/wnba/players/c/coateal01w.html,2018
Nia Coffey,LVA,F,28,386,28,10,13.8,1.9,4.9,0.38,0.1,0.2,0.4,1.8,4.7,0.379,1.5,2.4,0.618,0.8,2.4,0.6,0.3,0.2,1.4,1.7,5.3,/wnba/players/c/coffeni01w.html,2018
Marissa Coleman,NYL,G-F,21,384,21,18,18.3,1.9,5.5,0.348,0.6,2,0.279,1.3,3.4,0.389,0.3,0.3,1,0.6,2.4,1,0.5,0.2,0.6,1,4.7,/wnba/players/c/colemma01w.html,2018
Sydney Colson,MIN,G,2,17,2,0,8.5,1.5,3.5,0.429,0,1,0,1.5,2.5,0.6,0.5,1,0.5,0.5,1,2,0,0.5,2,1,3.5,/wnba/players/c/colsosy01w.html,2018
Kahleah Copper,CHI,G-F,33,524,33,2,15.9,2.5,6.2,0.397,0.7,1.9,0.375,1.7,4.2,0.407,1.5,1.7,0.875,0.5,2.2,0.6,0.3,0.2,1,1.4,7.1,/wnba/players/c/coppeka01w.html,2018
Monique Currie,WAS,F,32,508,32,9,15.9,2.1,5.4,0.395,0.5,1.8,0.293,1.6,3.6,0.447,1.8,2.2,0.831,0.6,3,0.8,0.4,0.2,1.2,2.3,6.6,/wnba/players/c/currimo01w.html,2018
Damiris Dantas,ATL,F,19,255,19,0,13.4,2.2,5.1,0.433,0.3,1.1,0.238,1.9,4,0.487,0.7,0.9,0.722,0.9,2.4,0.8,0.4,0,0.5,1.7,5.4,/wnba/players/d/dantada01w.html,2018
Kaela Davis,DAL,F,27,453,27,6,16.8,1.9,5.3,0.347,0.4,1.5,0.244,1.5,3.8,0.388,0.9,1.4,0.641,0.5,2,1.4,0.3,0,1.3,2.1,5,/wnba/players/d/daviska01w.html,2018
Elena Delle Donne,WAS,F-G,29,933,29,29,32.2,7.6,15.6,0.488,1.7,4.2,0.405,5.9,11.4,0.518,3.8,4.3,0.887,1.5,7.2,2.3,0.9,1.4,0.9,1.7,20.7,/wnba/players/d/delleel01w.html,2018
Diamond DeShields,CHI,G,34,967,34,33,28.4,4.9,11.5,0.425,1.2,3.6,0.328,3.7,7.9,0.468,3.4,4.1,0.836,1.1,4.9,2.2,1.1,0.3,2.1,2.2,14.4,/wnba/players/d/deshidi01w.html,2018
Blake Dietrick,ATL,G,26,186,26,0,7.2,0.5,1.3,0.343,0.3,0.9,0.391,0.1,0.5,0.25,0.2,0.2,0.667,0.1,0.5,0.4,0.3,0,0.5,0.8,1.4,/wnba/players/d/dietrbl01w.html,2018
Skylar Diggins-Smith,DAL,G,32,1092,32,32,34.1,5.8,14.4,0.403,1.6,5.4,0.297,4.2,9,0.467,4.7,5.6,0.839,0.7,3.3,6.2,1.4,0.5,2.5,2.3,17.9,/wnba/players/d/diggisk01w.html,2018
Stefanie Dolson,CHI,C,27,745,27,25,27.6,4,8.5,0.467,0.7,1.9,0.346,3.3,6.6,0.503,1.1,1.2,0.938,0.7,4.6,3,0.6,0.9,1.8,3,9.7,/wnba/players/d/dolsost01w.html,2018
Candice Dupree,IND,F,32,1006,32,32,31.4,6.2,12.7,0.488,0,0,0,6.2,12.7,0.489,1.8,2.3,0.819,1.2,6.4,1.7,0.9,0.3,1.6,1.7,14.2,/wnba/players/d/dupreca01w.html,2018
Adaora Elonu,ATL,F,1,1,1,0,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,/wnba/players/e/elonuad01w.html,2018
Temi Fagbenle,MIN,C,30,283,30,2,9.4,1.3,2.6,0.506,0,0,NA,1.3,2.6,0.506,0.5,0.8,0.696,0.9,2,0.6,0.3,0.3,0.7,1.2,3.1,/wnba/players/f/fagbete01w.html,2018
Jamierra Faulkner,CHI,G,17,360,17,0,21.2,2.7,7.9,0.343,1.1,3.7,0.302,1.6,4.2,0.38,1.1,1.4,0.75,0.3,1.4,3.9,0.5,0.1,2.1,1.6,7.6,/wnba/players/f/faulkja01w.html,2018
Sylvia Fowles,MIN,C,34,1087,34,34,32,7,11.3,0.619,0,0,NA,7,11.3,0.619,3.8,5,0.757,3.6,11.9,2.2,1.4,1.2,3,3,17.7,/wnba/players/f/fowlesy01w.html,2018
Cayla George,DAL,C,23,245,23,1,10.7,1.5,3.4,0.436,0.5,1.7,0.308,1,1.7,0.564,0.1,0.3,0.5,0.7,2.8,0.7,0.1,0.2,0.6,1.3,3.6,/wnba/players/f/francca01w.html,2018
Allisha Gray,DAL,G,34,907,34,34,26.7,2.9,7.3,0.403,0.9,3.3,0.27,2.1,4,0.511,2.4,2.8,0.863,1.2,3.4,2.4,1.3,0.2,1.4,2.2,9.2,/wnba/players/g/grayal01w.html,2018
