player,tm,season,pos,g,mp,gs,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,trb,ast,stl,blk,tov,pf,pts,per,tspercent,efgpercent,x3par,ftr,orbpercent,trbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,ortg,drtg,ows,dws,ws,ws_40,distance,fga_2p,fga_0_3,fga_3_10,fga_10_16,fga_16_3p,fga_3p,fg_2p,fg_0_3,fg_3_10,fg_10_16,fg_16_3p,fg_3p,fg_2p_asst,fg_3p_asst,corner_3s_attempt,corner_3s_percent,oncourt,on_off,badpass,lostball,shoot_fouls_committed,off_fouls_committed,shoot_fouls_drawn,off_fouls_drawn,pga,and1,blkd,fg_tot,fga_tot,x3p_tot,x3pa_tot,x2p_tot,x2pa_tot,ft_tot,fta_tot,orb_tot,trb_tot,ast_tot,stl_tot,blk_tot,tov_tot,pf_tot,pts_tot,link,mpg
Kennedy Burke,WAS,2022,G-F,16,222,4,7.7,17.4,0.446,2.6,7.5,0.344,5.2,9.9,0.524,2.3,4,0.588,1.9,8.2,1.6,3.8,0.9,1.9,4,20.4,15.9,0.534,0.52,0.432,0.23,4.2,9.3,5.5,3.8,1.7,8.9,18.6,102,94,0.2,0.6,0.8,0.144,14,0.568,0.243,0.203,0.054,0.068,0.432,0.524,0.722,0.4,0.5,0.2,0.344,0.636,1,0.281,0.444,-6.1,-14.7,3,4,12,1,8,NA,17,3,8,33,74,11,32,22,42,10,17,8,35,7,16,4,8,17,87,/wnba/players/b/burkeke01w.html,13.875
Veronica Burton,DAL,2022,G,22,278,0,1.6,6.8,0.243,0.5,3.5,0.158,1.1,3.3,0.333,2.7,2.7,1,1.6,4.9,4.9,3.3,0.5,3.8,4.8,6.6,5.9,0.413,0.284,0.514,0.405,3.6,5.6,14.2,3.3,0.9,32.5,10.3,82,103,-0.3,0.3,0,0.002,16.3,0.486,0.108,0.243,0.135,0,0.514,0.333,0.5,0.222,0.4,NA,0.158,0.333,0.667,0.158,0.333,4.7,7.4,15,3,14,2,7,9,65,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/b/burtove01w.html,12.636363636363637
Liz Cambage,LAS,2022,C,21,496,21,10.4,19.9,0.52,0.4,1.3,0.308,10,18.6,0.535,7.5,9.6,0.779,3.1,14.4,4.5,1.4,3.5,4.6,6.7,28.6,23.3,0.592,0.53,0.066,0.48,7.5,17.4,16.5,1.4,6.8,16.1,25.8,108,101,1.3,0.7,2.1,0.166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/c/cambael01w.html,23.61904761904762
Jordin Canada,LAS,2022,G,17,435,13,6.8,18.5,0.366,0.2,3.2,0.071,6.5,15.3,0.429,4.6,5.7,0.8,0.1,4.5,9.8,2.4,0.3,5.6,3.8,18.4,10.3,0.437,0.373,0.174,0.311,0.3,5.4,31.4,2.4,0.7,21.1,23.8,85,107,-0.7,0.2,-0.5,-0.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/c/canadjo01w.html,25.58823529411765
Bridget Carleton,MIN,2022,F,23,425,2,4.3,10.8,0.4,2.3,6.6,0.345,2,4.2,0.486,1.1,1.3,0.818,1.1,6.8,3.2,1.3,0.6,1.4,4.3,12,9.1,0.527,0.506,0.611,0.122,2.5,7.8,9.6,1.3,1.1,11.2,11.2,107,108,0.5,0.2,0.6,0.061,17.7,0.389,0.189,0.078,0.056,0.067,0.611,0.486,0.471,0.429,0.6,0.5,0.345,0.941,1,0.291,0.438,3.9,10.4,5,4,17,1,6,10,61,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/c/carlebr01w.html,18.47826086956522
DiJonai Carrington,CON,2022,G-F,22,385,2,6.4,16.5,0.387,1.6,4.9,0.324,4.8,11.6,0.414,4.5,6.7,0.68,3.3,8.1,2.9,2.7,0.1,4.1,5.6,18.9,10.7,0.486,0.435,0.298,0.403,8.2,9.7,8.8,2.7,0.2,17.5,20.3,95,100,0,0.6,0.6,0.066,10.1,0.702,0.395,0.242,0.056,0.008,0.298,0.414,0.51,0.367,0,0,0.324,0.528,0.917,0.162,0.167,5.9,-3.2,16,9,14,4,25,6,48,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/c/carridi01w.html,17.5
Chennedy Carter,LAS,2022,G,17,254,2,11,24.2,0.455,0.2,1.4,0.143,10.8,22.8,0.474,3.9,5.7,0.69,0.6,5.3,6.7,1.8,1.6,5.5,5.7,26.2,13.7,0.49,0.459,0.057,0.236,1.4,6.4,24.9,1.8,3,17.1,28.8,89,107,-0.3,0.1,-0.1,-0.02,8.1,0.943,0.309,0.341,0.203,0.089,0.057,0.474,0.711,0.381,0.32,0.364,0.143,0.364,1,0.143,0,-7.1,-2.4,18,8,21,0,14,2,76,6,14,56,123,1,7,55,116,20,29,3,27,34,9,8,28,29,133,/wnba/players/c/cartech01w.html,14.941176470588236
Alysha Clark,WAS,2022,F,17,435,17,7.5,15.4,0.488,2.5,7.8,0.323,5,7.7,0.656,1.3,1.4,0.917,1.8,9.3,4.3,2,0.6,2.6,3.7,18.9,15.9,0.588,0.57,0.504,0.093,4,10.6,14.2,2,1.1,14.1,16.6,109,97,0.8,0.9,1.7,0.155,15.3,0.496,0.132,0.279,0.054,0.031,0.504,0.656,0.941,0.5,0.714,0.75,0.323,0.643,0.952,0.185,0.417,9.2,7.2,13,7,14,1,4,7,85,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/c/clarkal01w.html,25.58823529411765
Natasha Cloud,WAS,2022,G,22,699,22,6,14.9,0.405,2.2,7.2,0.313,3.8,7.8,0.49,3.4,4.5,0.754,0.9,5.9,11.6,1.7,0.4,4.8,2.5,17.7,15.3,0.525,0.48,0.48,0.305,2,6.7,36.5,1.7,0.8,22,19.2,103,100,0.9,1.2,2.1,0.121,16.2,0.52,0.195,0.18,0.075,0.07,0.48,0.49,0.667,0.333,0.533,0.357,0.313,0.294,0.7,0.052,0.4,7.6,8.4,47,7,14,3,28,4,368,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/c/cloudna01w.html,31.772727272727273
Nia Coffey,ATL,2022,F,15,314,15,4.9,15,0.33,1,4,0.24,4,11,0.362,3.7,4.9,0.742,1,12.9,1.9,1.4,0.3,4.9,5.4,14.5,4.3,0.423,0.362,0.266,0.33,2.2,14.9,6.3,1.4,0.6,22.4,19.4,73,97,-1,0.6,-0.3,-0.042,14.7,0.734,0.138,0.16,0.149,0.287,0.266,0.362,0.385,0.2,0.357,0.444,0.24,0.72,1,0.16,0,-9.4,-11.3,9,4,19,9,14,5,28,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/c/coffeni01w.html,20.933333333333334
