player,tm,season,pos,g,mp,gs,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,trb,ast,stl,blk,tov,pf,pts,per,tspercent,efgpercent,x3par,ftr,orbpercent,trbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,ortg,drtg,ows,dws,ws,ws_40,distance,fga_2p,fga_0_3,fga_3_10,fga_10_16,fga_16_3p,fga_3p,fg_2p,fg_0_3,fg_3_10,fg_10_16,fg_16_3p,fg_3p,fg_2p_asst,fg_3p_asst,corner_3s_attempt,corner_3s_percent,oncourt,on_off,badpass,lostball,shoot_fouls_committed,off_fouls_committed,shoot_fouls_drawn,off_fouls_drawn,pga,and1,blkd,fg_tot,fga_tot,x3p_tot,x3pa_tot,x2p_tot,x2pa_tot,ft_tot,fta_tot,orb_tot,trb_tot,ast_tot,stl_tot,blk_tot,tov_tot,pf_tot,pts_tot,link,mpg
Charli Collier,DAL,2021,F-C,28,345,18,6,12.9,0.465,0,0,NA,6,12.9,0.465,2.4,3.5,0.696,4.7,15.3,0.9,0.6,0.8,2,7.7,14.4,10.6,0.499,0.465,0,0.267,10.1,17.1,2.8,0.6,1.3,11.9,14.1,104,106,0.4,0.3,0.6,0.072,7.5,1,0.291,0.384,0.233,0.093,0,0.465,0.44,0.485,0.35,0.75,NA,0.7,NA,NA,NA,-14.9,-19.3,6,3,26,2,10,NA,14,1,14,40,86,0,0,40,86,16,23,31,102,6,4,5,13,51,96,/wnba/players/c/collich01w.html,12.321428571428571
Napheesa Collier,MIN,2021,F,29,1003,29,8.9,20.1,0.441,1.1,4.2,0.253,7.8,15.9,0.49,5,5.8,0.86,2.5,9.7,4.7,1.9,1.9,3.4,4.2,23.7,17.8,0.524,0.467,0.209,0.287,6.1,11.4,15.6,1.9,3.1,13.2,23.3,103,98,1.6,1.9,3.5,0.139,10.5,0.791,0.267,0.317,0.136,0.071,0.209,0.49,0.613,0.46,0.407,0.321,0.253,0.623,0.952,0.181,0.133,7.6,10.3,27,20,38,13,53,NA,214,16,31,175,397,21,83,154,314,98,114,50,192,92,38,37,68,82,469,/wnba/players/c/collina01w.html,34.58620689655172
Te'a Cooper,LAS,2021,G,31,682,13,7.4,19.5,0.379,1.8,5.6,0.324,5.6,13.9,0.401,4.8,6.4,0.75,0.3,4.1,3.3,2.1,0.5,4.3,5.3,21.4,9.1,0.48,0.426,0.289,0.328,0.7,4.7,12.2,2.1,0.8,16.3,24.1,85,102,-1.1,0.9,-0.2,-0.012,13.5,0.711,0.223,0.297,0.082,0.109,0.289,0.401,0.544,0.368,0.333,0.25,0.324,0.205,0.917,0.162,0.333,-7.9,-4.4,26,18,30,4,38,NA,114,6,19,97,256,24,74,73,182,63,84,4,54,44,28,6,57,69,281,/wnba/players/c/coopete01w.html,22
Kahleah Copper,CHI,2021,G-F,32,986,32,8.8,19.2,0.459,1.3,4.3,0.306,7.5,14.9,0.503,4.6,5.6,0.818,1.9,6.8,2.9,1.4,0.4,3.1,4.9,23.5,13.7,0.543,0.493,0.225,0.292,4.4,7.7,9.7,1.4,0.6,12.4,21.9,103,104,1.3,1,2.3,0.093,9.8,0.775,0.393,0.22,0.08,0.082,0.225,0.503,0.581,0.446,0.433,0.355,0.306,0.667,1,0.212,0.5,0.1,-5.8,34,11,29,8,54,NA,135,9,43,173,377,26,85,147,292,90,110,37,133,56,27,8,60,96,462,/wnba/players/c/coppeka01w.html,30.8125
Sophie Cunningham,PHO,2021,G,30,524,4,5.9,13.5,0.437,3.2,7.8,0.41,2.7,5.7,0.474,1.9,2.7,0.704,0.9,6,3.2,1.4,0.7,1.6,5.6,16.9,11.8,0.575,0.556,0.578,0.2,2.1,6.5,9.9,1.4,1.1,9.8,14.4,112,106,1,0.4,1.4,0.103,17,0.422,0.133,0.207,0.03,0.052,0.578,0.474,0.556,0.429,0.5,0.429,0.41,0.778,0.906,0.218,0.412,3.6,0,3,4,17,3,11,NA,72,3,11,59,135,32,78,27,57,19,27,9,60,32,14,7,16,56,169,/wnba/players/c/cunniso01w.html,17.466666666666665
Crystal Dangerfield,MIN,2021,G,31,623,10,7.1,18.3,0.388,2.3,6.4,0.359,4.8,11.9,0.404,2.9,3.4,0.857,0.7,5,7.2,1.7,0.2,3.5,4.7,19.4,11.7,0.491,0.451,0.348,0.188,1.6,5.9,22.7,1.7,0.3,15.1,20.8,97,102,0.3,0.8,1.1,0.069,14.6,0.652,0.143,0.254,0.17,0.085,0.348,0.404,0.375,0.439,0.421,0.316,0.359,0.373,0.821,0.051,0.25,0,-10.4,29,10,26,1,17,NA,203,3,18,87,224,28,78,59,146,36,42,8,61,88,21,2,43,58,238,/wnba/players/d/dangecr01w.html,20.096774193548388
Damiris Dantas,MIN,2021,F,24,572,20,5.9,15.5,0.377,3,9.1,0.333,2.8,6.5,0.438,1.6,2.1,0.75,1.3,8.6,4.9,0.9,0.6,3.9,4.3,16.3,9.1,0.496,0.474,0.583,0.137,3.2,10.1,14.9,0.9,1,19.2,18.2,91,102,-0.3,0.8,0.5,0.036,17.8,0.417,0.114,0.137,0.074,0.091,0.583,0.438,0.6,0.292,0.692,0.25,0.333,0.656,0.971,0.088,0.778,2.4,-5.4,29,3,17,11,8,NA,121,0,8,66,175,34,102,32,73,18,24,15,97,55,10,7,44,48,184,/wnba/players/d/dantada01w.html,23.833333333333332
Diamond DeShields,CHI,2021,G,32,860,22,7.2,18.3,0.393,1.4,4.7,0.3,5.8,13.6,0.425,5.3,6.5,0.82,0.8,6.5,4.4,2.2,0.7,3.5,5.9,21.1,11.7,0.499,0.431,0.256,0.355,1.8,7.5,14.2,2.2,1.1,14.2,21.9,96,101,0.2,1.2,1.4,0.066,12.4,0.744,0.268,0.224,0.093,0.16,0.256,0.425,0.56,0.457,0.276,0.24,0.3,0.636,0.958,0.25,0.3,-0.6,-6.2,33,16,34,5,53,NA,171,9,10,123,313,24,80,99,233,91,111,13,112,75,38,12,60,101,361,/wnba/players/d/deshidi01w.html,26.875
Blake Dietrick,ATL,2021,G,9,141,0,2.9,9.7,0.296,1.8,5.8,0.313,1.1,4,0.273,0,0,NA,1.1,5.1,4,1.8,0.4,1.8,7.2,7.6,3.8,0.389,0.389,0.593,0,2.2,5.5,11.1,1.8,0.6,15.6,10,85,110,-0.1,0,-0.1,-0.026,17.2,0.407,0.148,0.148,0,0.111,0.593,0.273,0.75,0,NA,0,0.313,0.667,1,0.25,0.25,-2.3,5.9,3,1,10,0,0,NA,25,0,2,8,27,5,16,3,11,0,0,3,14,11,5,1,5,20,21,/wnba/players/d/dietrbl01w.html,15.666666666666666
Skylar Diggins-Smith,PHO,2021,G,32,1040,32,8.9,19.8,0.45,2.5,6.8,0.37,6.4,13,0.492,8.2,10,0.818,0.9,5.1,8.5,1.7,1.3,4.1,3.6,28.5,21.9,0.589,0.514,0.344,0.504,2,5.5,28.7,1.7,1.9,14.6,25,114,105,4,0.9,4.9,0.188,12.9,0.656,0.221,0.275,0.084,0.076,0.344,0.492,0.54,0.546,0.273,0.4,0.37,0.307,0.7,0.178,0.417,7.4,20.2,53,17,26,5,85,NA,377,21,22,177,393,50,135,127,258,162,198,17,101,168,34,25,82,71,566,/wnba/players/d/diggisk01w.html,32.5
Stefanie Dolson,CHI,2021,C,24,480,15,7.4,15.3,0.486,2,4.9,0.404,5.4,10.4,0.525,1.9,2,0.947,1.7,8.8,3.1,0.6,2,3.1,6.7,18.7,12.2,0.58,0.551,0.322,0.13,3.9,10,10.2,0.6,3.1,16.3,17.1,103,103,0.5,0.6,1.1,0.091,13.1,0.678,0.267,0.199,0.062,0.151,0.322,0.525,0.615,0.621,0.444,0.273,0.404,0.885,0.947,0.085,0.25,5.1,5.7,10,2,21,13,9,NA,69,1,15,71,146,19,47,52,99,18,19,16,84,30,6,19,30,64,179,/wnba/players/d/dolsost01w.html,20
Sylvia Fowles,MIN,2021,C,31,934,31,11.3,17.7,0.64,0,0,NA,11.3,17.7,0.64,4.3,5.8,0.755,3.5,17,2.4,3,3,3.9,4.3,27,26.8,0.667,0.64,0,0.326,8.6,20,8.7,3,5.1,16.2,21.6,116,90,3.1,2.9,6,0.257,5.1,1,0.498,0.326,0.083,0.092,0,0.64,0.821,0.462,0.481,0.433,NA,0.755,NA,NA,NA,5.8,1.8,22,15,33,19,46,NA,98,8,15,208,325,0,0,208,325,80,106,65,312,44,56,56,72,79,496,/wnba/players/f/fowlesy01w.html,30.129032258064516
Allisha Gray,DAL,2021,G,25,694,16,7.9,18.1,0.438,2.2,6.1,0.366,5.7,11.9,0.475,4.2,4.9,0.862,2.5,9.7,3.1,1.9,1.6,2.5,4,22.3,17.6,0.551,0.5,0.339,0.269,5.3,10.8,10.4,1.9,2.7,11.2,19.5,111,104,1.6,0.7,2.3,0.134,13.9,0.661,0.215,0.182,0.136,0.128,0.339,0.475,0.673,0.409,0.364,0.355,0.366,0.474,0.867,0.171,0.429,1,4,13,12,24,3,32,NA,94,10,13,106,242,30,82,76,160,56,65,33,130,42,25,21,34,53,298,/wnba/players/g/grayal01w.html,27.76
Chelsea Gray,LVA,2021,G,32,926,32,7.9,17.4,0.454,1.4,3.8,0.38,6.5,13.6,0.475,1.7,1.9,0.889,0.8,4.9,10.1,2,0.5,4.7,2.3,19,15.3,0.519,0.495,0.218,0.11,1.9,5.5,31,2,0.8,20.5,20.5,98,101,0.6,1.4,2,0.087,14.5,0.782,0.104,0.212,0.248,0.218,0.218,0.475,0.676,0.377,0.469,0.479,0.38,0.231,0.852,0.042,0.333,9.7,-4.9,61,20,18,3,15,NA,410,2,10,148,326,27,71,121,255,32,36,15,92,189,37,9,88,43,355,/wnba/players/g/graych01w.html,28.9375
Reshanda Gray,NYL,2021,F,15,210,0,8,15.1,0.531,0.5,2.1,0.222,7.6,13,0.582,4.3,6.1,0.692,3.1,12.5,1.2,0.9,0.9,5,11.1,20.8,10,0.583,0.547,0.141,0.406,7.3,14.5,4.4,0.9,1.5,21.8,20.8,94,105,0,0.2,0.2,0.03,7,0.859,0.344,0.453,0.016,0.047,0.141,0.582,0.818,0.448,0,0.333,0.222,0.906,1,0.111,0,-8.8,-0.1,4,5,17,9,14,NA,11,4,9,34,64,2,9,32,55,18,26,13,53,5,4,4,21,47,88,/wnba/players/g/grayre01w.html,14
Brittney Griner,PHO,2021,C,30,983,30,13.2,22.9,0.575,0.2,0.5,0.444,13,22.5,0.578,6.1,7.2,0.846,3.8,15.1,4.3,0.6,3.1,3.5,3.8,32.7,28.4,0.626,0.58,0.021,0.316,8.7,16.4,16.9,0.6,4.7,11.9,26.2,119,100,4.7,1.5,6.3,0.255,7.8,0.979,0.269,0.448,0.128,0.135,0.021,0.578,0.802,0.513,0.473,0.448,0.444,0.676,0.75,0,NA,4.9,5.8,25,13,30,19,64,NA,195,16,14,248,431,4,9,244,422,115,136,71,284,80,12,58,66,72,615,/wnba/players/g/grinebr01w.html,32.766666666666666
Arella Guirantes,LAS,2021,G,25,291,2,4.6,16.9,0.274,1.1,4.8,0.222,3.6,12.1,0.294,3.7,4.6,0.808,1.1,5.9,2.7,1.4,0.7,2.1,4.6,14.1,4.8,0.371,0.305,0.284,0.274,2.4,6.8,8.9,1.4,1.3,10.1,19.1,77,103,-0.7,0.3,-0.4,-0.051,16.6,0.716,0.042,0.242,0.221,0.211,0.284,0.294,0.5,0.217,0.333,0.3,0.222,0.35,1,0.222,0.5,-1.5,5.6,10,1,17,0,10,NA,33,0,7,26,95,6,27,20,68,21,26,6,33,15,8,4,12,26,79,/wnba/players/g/guiraar01w.html,11.64
Dearica Hamby,LVA,2021,F,29,710,0,8.9,16.2,0.545,0.6,2.5,0.25,8.2,13.7,0.599,5.2,7.9,0.655,2.3,13.4,3.4,2.2,0.3,3,4,23.5,19.7,0.596,0.564,0.155,0.485,5.5,15,10.8,2.2,0.5,13.2,20.3,111,96,1.8,1.5,3.3,0.187,7.7,0.845,0.378,0.378,0.056,0.034,0.155,0.599,0.659,0.568,0.538,0.375,0.25,0.729,0.889,0.056,0.5,15.6,9.9,12,13,19,4,52,NA,113,13,26,127,233,9,36,118,197,74,113,33,193,49,31,4,43,57,337,/wnba/players/h/hambyde01w.html,24.482758620689655
Isabelle Harrison,DAL,2021,F,28,665,5,10.1,18.7,0.538,0,0.1,0,10.1,18.6,0.54,3.7,4.7,0.783,3.4,12.9,2.4,2.4,1.5,3.3,5.4,23.8,19.7,0.572,0.538,0.004,0.25,7.4,14.4,8.6,2.4,2.6,13.6,20.6,109,102,1.5,0.9,2.4,0.143,6.1,0.996,0.421,0.379,0.113,0.083,0.004,0.54,0.733,0.484,0.222,0.25,0,0.705,NA,0,NA,6.2,14.5,13,10,30,9,31,NA,69,9,29,129,240,0,1,129,239,47,60,44,165,31,31,19,42,69,305,/wnba/players/h/harriis01w.html,23.75
Tyasha Harris,DAL,2021,G,32,522,3,4.8,14.2,0.336,2,5.9,0.339,2.8,8.3,0.333,2.5,3,0.833,0.9,5.1,8.4,1.3,1,3.2,4,14,10.5,0.451,0.406,0.413,0.21,1.9,5.7,25.3,1.3,1.7,17,16,98,108,0.3,0.2,0.5,0.039,15.9,0.587,0.14,0.154,0.133,0.161,0.413,0.333,0.45,0.318,0.421,0.174,0.339,0.25,0.9,0.203,0.417,-2.5,-2.8,22,5,20,3,16,NA,202,2,7,48,143,20,59,28,84,25,30,9,51,85,13,10,32,40,141,/wnba/players/h/harrity01w.html,16.3125
Bernadett Hatar,IND,2021,C,7,106,2,6.8,14.1,0.483,0,0,NA,6.8,14.1,0.483,2.9,3.4,0.857,3.4,8.8,1,1.5,1.5,5.4,8.8,16.6,7.4,0.53,0.483,0,0.241,7.6,10,3.3,1.5,2.4,25.5,18.2,86,111,-0.1,0,-0.1,-0.046,8.6,1,0.276,0.276,0.276,0.172,0,0.483,0.75,0.375,0.375,0.4,NA,0.929,NA,NA,NA,-29.2,-17.8,4,2,9,2,2,NA,5,0,2,14,29,0,0,14,29,6,7,7,18,2,3,3,11,18,34,/wnba/players/h/hatarbe01w.html,15.142857142857142
Tianna Hawkins,ATL,2021,F,28,433,8,5.9,14.8,0.397,1.9,7.8,0.242,4,7.1,0.567,2.5,2.7,0.913,1.6,10.2,2,1.3,1.6,3.8,7.3,16.1,8.6,0.503,0.46,0.524,0.183,3.3,11.2,6.1,1.3,2.9,19,17.1,89,107,-0.3,0.3,0,-0.002,15.9,0.476,0.238,0.119,0.024,0.095,0.524,0.567,0.667,0.533,0.667,0.333,0.242,0.765,1,0.106,0.286,-8.5,-1.5,11,11,24,6,9,NA,40,1,4,50,126,16,66,34,60,21,23,14,87,17,11,14,32,62,137,/wnba/players/h/hawkiti01w.html,15.464285714285714
Tiffany Hayes,ATL,2021,G,21,595,19,9,20.5,0.438,2.9,7.2,0.405,6.1,13.3,0.455,5.5,6.4,0.853,1.2,5.7,5.4,2.8,0.3,2.7,5.6,26.3,19.6,0.564,0.508,0.35,0.313,2.4,6.3,18.2,2.8,0.6,10.2,22.5,112,107,1.8,0.3,2.1,0.14,12,0.65,0.313,0.233,0.058,0.046,0.35,0.455,0.587,0.375,0.143,0.364,0.405,0.338,0.824,0.167,0.571,-5.1,4.5,12,9,19,5,30,NA,138,7,16,105,240,34,84,71,156,64,75,14,67,63,33,4,31,65,308,/wnba/players/h/hayesti01w.html,28.333333333333332
Ruthy Hebard,CHI,2021,F,30,505,6,7.3,13.7,0.529,0,0.2,0,7.3,13.5,0.537,2.7,3.4,0.794,4.2,13.1,2.3,2,2,1.8,5.9,17.2,16.8,0.566,0.529,0.014,0.246,9.7,15,7.4,2,3.1,10.5,15.1,114,98,1.1,0.9,2.1,0.165,6.1,0.986,0.391,0.37,0.203,0.022,0.014,0.537,0.796,0.373,0.393,0,0,0.726,NA,0,NA,4.4,4.8,3,6,31,7,16,NA,54,4,12,73,138,0,2,73,136,27,34,42,132,23,20,20,18,59,173,/wnba/players/h/hebarru01w.html,16.833333333333332
Natisha Hiedeman,CON,2021,G,32,644,5,6.5,16.4,0.4,4.3,10.7,0.398,2.3,5.6,0.403,2.9,4.2,0.7,0.6,5,5,2.3,0.5,2.5,5.1,20.3,14.2,0.558,0.531,0.656,0.256,1.4,5.9,15.5,2.3,0.9,12.1,17.7,112,96,1.5,1.4,3,0.184,18.8,0.344,0.103,0.144,0.077,0.021,0.656,0.403,0.5,0.286,0.6,0,0.398,0.333,0.686,0.188,0.333,8.5,-9.9,17,7,34,4,21,NA,139,3,9,78,195,51,128,27,67,35,50,7,60,60,27,6,30,61,242,/wnba/players/h/hiedena01w.html,20.125
Myisha Hines-Allen,WAS,2021,F,18,462,17,9.8,23.8,0.414,1.4,4.5,0.317,8.4,19.2,0.437,4.5,6.2,0.732,3.5,13.9,5,2.7,1.2,3.5,5,25.6,18.7,0.484,0.444,0.191,0.26,7.5,15.6,19,2.7,2,11.8,26.5,98,102,0.3,0.6,0.9,0.079,10.4,0.809,0.186,0.451,0.121,0.051,0.191,0.437,0.725,0.392,0.308,0.091,0.317,0.592,1,0.146,0.333,-5.2,-1,14,6,21,5,29,NA,110,6,17,89,215,13,41,76,174,41,56,32,126,45,24,11,32,45,232,/wnba/players/h/hinesmy01w.html,25.666666666666668
Natasha Howard,NYL,2021,F,13,357,13,12.1,24.5,0.494,1.7,5,0.333,10.4,19.5,0.536,3.3,4.3,0.774,3.9,13.1,3.1,2.4,1,6.8,5.3,29.2,17.5,0.554,0.528,0.205,0.176,9.3,15.1,13.4,2.4,1.5,20.5,30.3,91,103,-0.3,0.4,0.2,0.018,9.7,0.795,0.375,0.273,0.063,0.085,0.205,0.536,0.712,0.354,0.455,0.4,0.333,0.72,1,0.111,0.5,-10.1,-1.8,19,6,18,10,17,NA,53,3,8,87,176,12,36,75,140,24,31,28,94,22,17,7,49,38,210,/wnba/players/h/howarna01w.html,27.46153846153846
Sabrina Ionescu,NYL,2021,G,30,899,26,6.2,16.5,0.379,3,9.2,0.325,3.3,7.3,0.447,4,4.4,0.911,1.2,9.4,10.1,1,0.9,5.3,3,19.4,14.9,0.529,0.47,0.557,0.265,2.8,10.9,35.2,1,1.4,22.4,21.6,100,106,0.9,0.6,1.5,0.065,18.2,0.443,0.091,0.178,0.094,0.081,0.557,0.447,0.704,0.434,0.393,0.25,0.325,0.203,0.796,0.09,0.533,-6,9.1,67,15,36,4,28,NA,430,8,21,113,298,54,166,59,132,72,79,21,170,183,18,16,96,54,352,/wnba/players/i/ionessa01w.html,29.966666666666665
Briann January,CON,2021,G,29,877,29,4.4,10.3,0.425,1.7,4.4,0.38,2.7,5.9,0.458,2,2.3,0.868,0.6,2.6,5.5,1.5,0.2,3.2,3.6,12.5,8.6,0.55,0.506,0.425,0.228,1.3,3,15.8,1.5,0.4,22.1,12.4,103,99,0.8,1.5,2.3,0.104,18.5,0.575,0.084,0.072,0.126,0.293,0.425,0.458,0.643,0.25,0.476,0.449,0.38,0.205,0.889,0.127,0.333,16.1,8.5,34,8,16,7,7,NA,212,2,4,71,167,27,71,44,96,33,38,9,42,89,25,4,52,58,202,/wnba/players/j/januabr01w.html,30.24137931034483
Moriah Jefferson,DAL,2021,G,29,500,28,6.8,15.2,0.449,2.4,5.2,0.46,4.5,10.1,0.443,0.3,0.5,0.6,1.2,6,7.5,2.5,0.5,4.1,4.1,16.4,13.1,0.529,0.527,0.34,0.034,2.7,6.7,23.9,2.5,0.9,21.1,16.8,100,105,0.4,0.4,0.8,0.06,15.7,0.66,0.122,0.15,0.211,0.177,0.34,0.443,0.5,0.545,0.452,0.308,0.46,0.326,0.913,0.08,0.5,-0.7,0.2,19,9,16,6,4,NA,180,3,7,66,147,23,50,43,97,3,5,12,58,72,24,5,40,40,158,/wnba/players/j/jeffemo01w.html,17.24137931034483
Brionna Jones,CON,2021,F,32,980,32,10.7,18.8,0.571,0,0.2,0,10.7,18.6,0.576,4.5,5.7,0.796,5.6,12.9,3.1,2.4,0.9,3.9,5.4,25.9,22.6,0.61,0.571,0.009,0.303,13.3,15,10.9,2.4,1.7,15.4,21.5,117,93,3.6,2.6,6.1,0.25,5.2,0.991,0.506,0.306,0.124,0.056,0.009,0.576,0.651,0.529,0.429,0.474,0,0.675,NA,0.333,0,16.1,11.3,23,23,28,17,49,NA,136,14,35,194,340,0,3,194,337,82,103,101,233,56,44,17,70,97,470,/wnba/players/j/jonesbr01w.html,30.625
Jazmine Jones,NYL,2021,G,27,448,0,5.9,16.5,0.356,2,5.2,0.383,3.9,11.3,0.343,3.9,5.1,0.761,1.3,7.3,3.4,1.6,1.1,4.8,7.1,17.6,6.7,0.47,0.416,0.315,0.309,3.2,8.5,11.8,1.6,1.8,20.3,21.4,83,106,-0.8,0.3,-0.5,-0.045,13.1,0.685,0.141,0.356,0.121,0.067,0.315,0.343,0.524,0.245,0.444,0.3,0.383,0.4,0.944,0.17,0.625,-13,-6.4,19,7,27,10,19,NA,76,4,15,53,149,18,47,35,102,35,46,12,66,31,14,10,43,64,159,/wnba/players/j/jonesja02w.html,16.59259259259259
Jonquel Jones,CON,2021,F,27,856,27,12.1,23.6,0.515,2.7,7.3,0.362,9.5,16.2,0.584,6.1,7.6,0.802,4.2,19.1,4.7,2.1,2.1,4.9,5.3,33,28.3,0.614,0.571,0.311,0.324,10.1,22.3,17.6,2.1,3.8,15.5,27.2,115,88,3.7,2.9,6.6,0.307,11.8,0.689,0.308,0.214,0.126,0.04,0.311,0.584,0.73,0.538,0.383,0.333,0.362,0.647,0.976,0.043,0.6,20.4,20.6,18,26,24,25,58,NA,186,16,22,192,373,42,116,150,257,97,121,67,303,75,34,34,78,84,523,/wnba/players/j/jonesjo01w.html,31.703703703703702
Betnijah Laney,NYL,2021,G-F,32,1069,32,9.4,20.9,0.451,1.6,5.1,0.312,7.8,15.8,0.496,4.5,5.7,0.787,1.3,6.1,7.8,1,0.1,5.5,3.3,24.9,14.6,0.532,0.489,0.242,0.271,3,7.1,30.4,1,0.2,19.1,26.4,98,109,0.8,0.2,1,0.036,13.4,0.758,0.182,0.229,0.136,0.211,0.242,0.496,0.683,0.485,0.361,0.432,0.312,0.45,0.735,0.202,0.364,-8.1,4.2,60,24,15,18,49,NA,423,8,17,203,450,34,109,169,341,96,122,27,132,167,21,3,119,70,536,/wnba/players/l/laneybe01w.html,33.40625
Jantel Lavender,IND,2021,F,27,539,14,7.3,18,0.404,0.4,1.9,0.2,6.9,16.1,0.429,1.7,1.9,0.9,4.4,10.1,3.9,0,0.4,3.6,4.6,16.7,9,0.442,0.415,0.106,0.106,9.8,11.5,13.4,0,0.6,15.8,19.4,91,115,-0.2,-0.4,-0.6,-0.045,13,0.894,0.245,0.16,0.09,0.399,0.106,0.429,0.5,0.4,0.412,0.4,0.2,0.847,1,0.1,0,-17.9,-8.9,24,6,25,7,7,NA,87,0,10,76,188,4,20,72,168,18,20,46,105,41,0,4,37,48,174,/wnba/players/l/lavenja01w.html,19.962962962962962
Jewell Loyd,SEA,2021,G,31,962,31,10.3,24.4,0.42,3.5,9.2,0.376,6.8,15.2,0.448,5.5,6.2,0.889,1.3,6.6,6.2,2.4,0.3,3.8,3.4,29.5,19.8,0.544,0.491,0.377,0.255,3,7.5,21.7,2.4,0.5,12.2,27.8,105,102,2.1,1.3,3.4,0.141,15.9,0.623,0.133,0.2,0.111,0.179,0.377,0.448,0.623,0.413,0.373,0.402,0.376,0.469,0.815,0.179,0.452,7.6,8,35,21,28,10,52,NA,274,10,17,193,459,65,173,128,286,104,117,24,125,117,46,6,71,64,555,/wnba/players/l/loydje01w.html,31.032258064516128
Marina Mabrey,DAL,2021,G,32,773,8,10.6,26.2,0.405,4.2,12.3,0.342,6.4,13.8,0.461,3,3.4,0.882,1.5,8.3,6.2,2.1,0.7,4.6,5.3,28.4,17.3,0.514,0.486,0.472,0.131,3.3,9.3,22.6,2.1,1.2,14.2,27.6,100,105,1,0.7,1.7,0.086,17.5,0.528,0.121,0.131,0.1,0.177,0.472,0.461,0.638,0.353,0.436,0.435,0.342,0.368,0.667,0.125,0.174,0.2,2.6,38,13,29,12,20,NA,207,6,25,158,390,63,184,95,206,45,51,23,124,93,32,10,68,79,424,/wnba/players/m/mabrema01w.html,24.15625
Ezi Magbegor,SEA,2021,C,30,456,3,9.1,17.9,0.506,0.6,1,0.556,8.5,16.9,0.503,3.7,4.4,0.846,5.2,13,2.7,2,3.2,2.9,7.3,22.4,19.9,0.564,0.522,0.056,0.244,12,14.7,9,2,5.3,12.8,20.5,110,97,1.1,0.9,2.1,0.18,8.8,0.944,0.438,0.381,0.044,0.081,0.056,0.503,0.643,0.426,0.286,0.231,0.556,0.776,1,0.222,0,0.4,-7.8,10,4,32,5,18,NA,58,5,17,81,160,5,9,76,151,33,39,46,116,24,18,29,26,65,200,/wnba/players/m/magbeez01w.html,15.2
Kayla McBride,MIN,2021,G,32,1010,32,7.2,16.6,0.433,3.1,8.1,0.379,4.1,8.5,0.485,4.6,5,0.91,0.4,5.8,3.6,1.3,0.3,1.7,2.9,22,15.7,0.586,0.526,0.488,0.303,1,6.8,11.5,1.3,0.4,8.3,18.3,115,102,2.8,1.2,4,0.159,17.7,0.512,0.13,0.109,0.088,0.185,0.488,0.485,0.651,0.639,0.276,0.377,0.379,0.793,0.967,0.155,0.32,6.7,6.4,21,7,11,3,29,NA,164,9,9,143,330,61,161,82,169,91,100,8,115,72,26,5,34,57,438,/wnba/players/m/mcbrika01w.html,31.5625
Erica McCall,WAS,2021,F,23,356,6,5.3,10.6,0.5,0,0.1,0,5.3,10.5,0.507,2.9,4.6,0.625,4.7,14.2,1.9,1,1.3,2.9,6.6,13.5,11.4,0.534,0.5,0.014,0.432,10,15.9,6.1,1,2.2,18.5,13.7,102,106,0.3,0.3,0.6,0.064,6,0.986,0.297,0.5,0.189,0,0.014,0.507,0.818,0.378,0.357,NA,0,0.649,NA,0,NA,-3.1,1.9,3,7,22,9,12,NA,32,3,6,37,74,0,1,37,73,20,32,33,99,13,7,9,20,46,94,/wnba/players/m/mccaler01w.html,15.478260869565217
Teaira McCowan,IND,2021,C,32,848,23,8.4,15.7,0.537,0,0,NA,8.4,15.7,0.537,5.2,8.1,0.644,6.6,18.8,2.1,1.1,3.1,3.2,6.5,22,21.2,0.573,0.537,0,0.514,14.7,21.5,7.3,1.1,5.1,14.4,19.4,112,105,2.2,0.7,2.9,0.137,3.6,1,0.642,0.276,0.054,0.027,0,0.537,0.624,0.38,0.429,0.286,NA,0.681,NA,NA,NA,-7.1,16.8,22,6,53,19,50,NA,78,12,29,138,257,0,0,138,257,85,132,109,308,34,18,51,53,107,361,/wnba/players/m/mccowte01w.html,26.5
Aari McDonald,ATL,2021,G,30,493,4,5.8,18,0.322,3.3,10.7,0.308,2.5,7.2,0.343,4.6,5.3,0.882,0.9,5.1,6.1,2.6,0.5,3.6,5.5,19.5,11.9,0.481,0.414,0.598,0.293,1.9,5.5,18.5,2.6,0.9,15.1,20.7,96,108,0.1,0.2,0.3,0.026,18.6,0.402,0.115,0.098,0.109,0.08,0.598,0.343,0.55,0.471,0.105,0.214,0.308,0.125,0.656,0.135,0.286,-6.2,2.1,21,10,24,2,19,NA,139,5,6,56,174,32,104,24,70,45,51,9,49,59,25,5,35,53,189,/wnba/players/m/mcdonaa01w.html,16.433333333333334
