player_season,cluster,uncertainty,player,pos,age,tm,season,g,gs,mp,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,drb,trb,ast,stl,blk,tov,pf,pts,ortg,drtg,per,tspercent,x3par,ftr,orbpercent,drbpercent,trbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,distance,fga_2p,fga_0_3,fga_3_10,fga_10_16,fga_16_3p,fga_3p,fg_2p,fg_0_3,fg_3_10,fg_10_16,fg_16_3p,fg_3p,fg_2p_asst,fg_3p_asst,dunks_attempt,dunks_total,corner_3s_attempt,corner_3s_percent,heaves_attempts,heaves_makes,pg%,sg%,sf%,pf%,c%,oncourt,on_off,badpass,lostball,shoot_fouls_committed,off_fouls_committed,shoot_fouls_drawn,off_fouls_drawn,pga,and1,blkd,fg_tot,fga_tot,x3p_tot,x3pa_tot,x2p_tot,x2pa_tot,efgpercent,ft_tot,fta_tot,orb_tot,trb_tot,ast_tot,stl_tot,blk_tot,tov_tot,pf_tot,pts_tot,link
Robert Covington_2020,Roleplayers,0.002119745051038069,Robert Covington,PF,29,TOT,2020,70,68,2137,6.6,15.7,0.422,3.5,10.4,0.335,3.1,5.3,0.593,2.1,2.7,0.798,1.4,8.7,10,1.9,2.5,2,2.2,4.8,18.9,105,107,13.3,0.559,0.664,0.172,3,20.2,11.4,5.9,2.5,3.7,11.7,17,0.7,3,3.7,0.083,-1.2,1.3,0,1.1,18.7,0.336,0.217,0.087,0.012,0.019,0.664,0.593,0.675,0.429,0.444,0.5,0.335,0.771,0.925,0.017,11,0.131,0.365,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/players/c/covinro01.html
Harrison Barnes_2019,Facilitors/Shooters,0.0021479824285370874,Harrison Barnes,PF,26,TOT,2019,77,77,2533,8.1,19.4,0.42,3.3,8.3,0.395,4.8,11,0.439,4.3,5.2,0.824,1.1,5.7,6.8,2.2,0.9,0.2,1.8,2.3,23.8,108,114,12.8,0.55,0.429,0.271,2.4,12.7,7.5,6.7,0.9,0.4,7.9,20.9,2,1.6,3.6,0.068,-0.2,-1.2,-1.4,0.4,14.9,0.571,0.195,0.212,0.096,0.067,0.429,0.439,0.65,0.358,0.313,0.261,0.395,0.506,0.868,0.031,28,0.297,0.45,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/players/b/barneha02.html
Eric Paschall_2020,Primary Scorers/Initiators,0.002148616428360395,Eric Paschall,PF,23,GSW,2020,60,26,1654,9.2,18.5,0.497,1.1,3.7,0.287,8.1,14.8,0.55,4.7,6.1,0.774,2.4,5.6,8,3.7,0.9,0.4,2.7,3.6,24.2,110,117,14.5,0.571,0.202,0.331,5.2,13.1,9,12.7,0.9,0.7,11.4,21.4,1.6,0.5,2.1,0.062,-0.7,-2,-2.7,-0.3,11.2,0.798,0.33,0.22,0.1,0.148,0.202,0.55,0.725,0.411,0.422,0.453,0.287,0.569,0.973,0.111,66,0.256,0.303,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/players/p/pascher01.html
Gerald Green_2019,Facilitors/Shooters,0.002162031186802582,Gerald Green,SG,33,HOU,2019,73,0,1473,7.7,19.2,0.4,5.2,14.7,0.354,2.5,4.6,0.547,1.9,2.3,0.838,1,5.1,6.1,1.3,1.1,0.9,1.8,4.2,22.5,107,113,11.4,0.555,0.763,0.118,2.2,11.7,6.8,4.1,1.1,1.6,8.3,19.5,0.9,1,1.9,0.061,-0.2,-1.5,-1.7,0.1,20.9,0.237,0.097,0.064,0.04,0.036,0.763,0.547,0.75,0.486,0.261,0.429,0.354,0.68,0.91,0.021,10,0.313,0.413,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/players/g/greenge01.html
Caris LeVert_2019,Facilitors/Shooters,0.0021641347640422026,Caris LeVert,SF,24,BRK,2019,40,25,1063,9.3,21.6,0.429,2.1,6.9,0.312,7.1,14.7,0.483,3.8,5.5,0.691,1.6,5.2,6.8,7,1.9,0.6,3.1,3.4,24.5,105,110,14.9,0.509,0.319,0.255,3.5,11.4,7.5,23.2,1.9,1,11.4,24,0.5,1.2,1.7,0.077,-0.3,0.5,0.2,0.6,11.7,0.681,0.321,0.242,0.089,0.029,0.319,0.483,0.581,0.41,0.395,0.286,0.312,0.314,0.458,0.035,15,0.091,0.357,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/players/l/leverca01.html
Jeff Teague_2018,Facilitors/Shooters,0.0021660863349116655,Jeff Teague,PG,29,MIN,2018,70,70,2311,7.7,17.2,0.446,1.8,4.9,0.368,5.8,12.2,0.477,4.4,5.2,0.845,0.5,4,4.5,10.6,2.2,0.5,3.8,3.7,21.5,111,112,16.4,0.553,0.287,0.301,1.2,9.3,5.2,30.6,2.2,0.9,16.4,20.6,3.4,1.4,4.9,0.101,1.1,-0.7,0.4,1.4,12.3,0.713,0.209,0.272,0.157,0.073,0.287,0.477,0.651,0.394,0.44,0.379,0.368,0.104,0.56,0.013,9,0.096,0.409,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/players/t/teaguje01.html
Damyean Dotson_2019,Facilitors/Shooters,0.002166590406429636,Damyean Dotson,SG,24,NYK,2019,73,40,2004,7,16.8,0.415,3,8.2,0.368,3.9,8.6,0.461,1.8,2.4,0.745,0.8,5.5,6.3,3.2,1.4,0.2,1.7,3.2,18.7,105,116,10.8,0.526,0.49,0.14,1.7,12.2,6.8,10.4,1.4,0.4,8.7,17.3,0.7,0.9,1.5,0.037,-1.7,-0.9,-2.6,-0.3,18.2,0.51,0.165,0.062,0.08,0.203,0.49,0.461,0.591,0.209,0.393,0.458,0.368,0.567,0.881,0.01,4,0.152,0.5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/players/d/dotsoda01.html
Josh Okogie_2020,Roleplayers,0.002171606647802249,Josh Okogie,SG,21,MIN,2020,62,28,1547,5.1,11.9,0.427,1.2,4.6,0.266,3.9,7.3,0.529,4.6,5.7,0.796,2.6,5.4,8,3,2,0.8,2.6,4.2,16,108,113,11.5,0.553,0.387,0.48,5.7,12.8,9.1,8.9,2,1.4,15.3,15.1,0.9,1.2,2.2,0.068,-2.4,0,-2.4,-0.2,11.7,0.613,0.405,0.176,0.03,0.003,0.387,0.529,0.64,0.329,0.25,0,0.266,0.55,0.927,0.085,30,0.299,0.348,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/players/o/okogijo01.html
Mike Conley_2020,Facilitors/Shooters,0.0021772289914048226,Mike Conley,PG,32,UTA,2020,47,41,1363,8.3,20.2,0.409,3.4,9.1,0.375,4.9,11.1,0.437,4.1,5,0.827,1.2,4.2,5.4,7.4,1.3,0.2,3.3,3.7,24.1,109,112,14.1,0.537,0.451,0.245,2.8,9.2,6.1,23.1,1.3,0.3,12.8,23.1,1.4,1.1,2.5,0.089,0.7,-0.4,0.3,0.8,16.3,0.549,0.134,0.203,0.138,0.074,0.451,0.437,0.566,0.391,0.359,0.476,0.375,0.257,0.625,0,0,0.199,0.451,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/players/c/conlemi01.html
Quinn Cook_2019,Facilitors/Shooters,0.002185489285388864,Quinn Cook,PG,25,GSW,2019,74,10,1059,9.2,19.7,0.465,3.6,9,0.405,5.5,10.7,0.515,0.9,1.2,0.769,1,6.1,7.1,5.2,0.9,0.1,2.2,4.1,22.9,110,113,13.1,0.565,0.456,0.059,2.3,13,7.9,15.2,0.9,0.2,10,20.2,1,0.8,1.8,0.082,-0.5,-1.6,-2.1,0,17.5,0.544,0.157,0.089,0.118,0.18,0.456,0.515,0.609,0.436,0.442,0.519,0.405,0.407,0.815,0.002,0,0.205,0.439,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/players/c/cookqu01.html
