wnba_player,wnba_link,wnba_id,season,wnba_season,league,nba_player1,nba_season,distance,league2,pred_class,nba_player2,distance2,nba_player3,distance3,nba_player4,distance4,nba_player5,distance5,nba_link1,nba_id1,nba_link2,nba_id2,nba_link3,nba_id3,nba_link4,nba_id4,nba_link5,nba_id5
Tina Charles,/wnba/players/c/charlti01w.html,charlti01w,2021,2021,WNBA,Bobby Portis,2022,0.05667242666941233,NBA,6,Reggie Perry,0.08465441099125033,Scottie Barnes,0.11317109257908638,Jeff Green,0.13385258349725268,Jeremy Lamb,0.13750205046344932,/players/p/portibo01.html,portibo01,/players/p/perryre01.html,perryre01,/players/b/barnesc01.html,barnesc01,/players/g/greenje02.html,greenje02,/players/l/lambje01.html,lambje01
Natasha Cloud,/wnba/players/c/cloudna01w.html,cloudna01w,2021,2021,WNBA,Rajon Rondo,2022,0.010831441553627998,NBA,3,Raul Neto,0.01133273061279999,D.J. Augustin,0.013060610442250957,Tre Jones,0.013962340522919925,Garrison Mathews,0.01664666784312688,/players/r/rondora01.html,rondora01,/players/n/netora01.html,netora01,/players/a/augusdj01.html,augusdj01,/players/j/jonestr01.html,jonestr01,/players/m/mathega01.html,mathega01
Nia Coffey,/wnba/players/c/coffeni01w.html,coffeni01w,2021,2021,WNBA,Maxi Kleber,2022,0.01845059355524018,NBA,4,Mo Bamba,0.03757451801080116,Xavier Tillman Sr.,0.0471257823387382,Wendell Carter Jr.,0.06873108675631816,Chuma Okeke,0.0762010893498611,/players/k/klebima01.html,klebima01,/players/b/bambamo01.html,bambamo01,/players/t/tillmxa01.html,tillmxa01,/players/c/cartewe01.html,cartewe01,/players/o/okekech01.html,okekech01
Charli Collier,/wnba/players/c/collich01w.html,collich01w,2021,2021,WNBA,Ivica Zubac,2022,0.013217310351911628,NBA,1,Day'Ron Sharpe,0.017755388435465376,Bismack Biyombo,0.020864384506608595,Jarrett Allen,0.03138593263667335,Montrezl Harrell,0.03192231084609604,/players/z/zubaciv01.html,zubaciv01,/players/s/sharpda01.html,sharpda01,/players/b/biyombi01.html,biyombi01,/players/a/allenja01.html,allenja01,/players/h/harremo01.html,harremo01
Napheesa Collier,/wnba/players/c/collina01w.html,collina01w,2021,2021,WNBA,Christian Wood,2022,0.08793167624682872,NBA,6,Kyle Kuzma,0.2631180913915223,Miles Bridges,0.31133590188248345,Jonas Valančiūnas,0.31309893808301975,Jalen Smith,0.3545119913975394,/players/w/woodch01.html,woodch01,/players/k/kuzmaky01.html,kuzmaky01,/players/b/bridgmi02.html,bridgmi02,/players/v/valanjo01.html,valanjo01,/players/s/smithja04.html,smithja04
Te'a Cooper,/wnba/players/c/coopete01w.html,coopete01w,2021,2021,WNBA,Tre Mann,2022,0.24565628850729448,NBA,3,OG Anunoby,0.2866053415329482,Tim Hardaway Jr.,0.31384297015258333,Jaylen Nowell,0.31657087059016703,Kira Lewis Jr.,0.3241365231817799,/players/m/manntr01.html,manntr01,/players/a/anunoog01.html,anunoog01,/players/h/hardati02.html,hardati02,/players/n/nowelja01.html,nowelja01,/players/l/lewiski01.html,lewiski01
Kahleah Copper,/wnba/players/c/coppeka01w.html,coppeka01w,2021,2021,WNBA,Oshae Brissett,2022,0.022902617544607155,NBA,6,Danuel House Jr.,0.04333024658692069,Rudy Gay,0.08294473972471862,Torrey Craig,0.10551607928641124,Aaron Wiggins,0.11225319689392714,/players/b/brissos01.html,brissos01,/players/h/houseda01.html,houseda01,/players/g/gayru01.html,gayru01,/players/c/craigto01.html,craigto01,/players/w/wiggiaa01.html,wiggiaa01
Sophie Cunningham,/wnba/players/c/cunniso01w.html,cunniso01w,2021,2021,WNBA,Patrick Williams,2022,0.05027176120843752,NBA,2,Dorian Finney-Smith,0.05063475128476249,Lauri Markkanen,0.0668418729773562,PJ Dozier,0.07012581790571197,Jeremiah Robinson-Earl,0.08472943342500923,/players/w/willipa01.html,willipa01,/players/f/finnedo01.html,finnedo01,/players/m/markkla01.html,markkla01,/players/d/doziepj01.html,doziepj01,/players/r/robinje02.html,robinje02
Crystal Dangerfield,/wnba/players/d/dangecr01w.html,dangecr01w,2021,2021,WNBA,Eric Bledsoe,2022,0.035548164507348046,NBA,3,Monte Morris,0.03636790331594597,Keon Johnson,0.07411912249203939,Derrick White,0.08866079565116501,Brad Wanamaker,0.10109297644254073,/players/b/bledser01.html,bledser01,/players/m/morrimo01.html,morrimo01,/players/j/johnske07.html,johnske07,/players/w/whitede01.html,whitede01,/players/w/wanambr01.html,wanambr01
Damiris Dantas,/wnba/players/d/dantada01w.html,dantada01w,2021,2021,WNBA,Mychal Mulder,2022,0.038590976630384896,NBA,2,Frank Jackson,0.044166504276381635,Ignas Brazdeikis,0.04454651440845734,Cameron Johnson,0.04565729389797011,Duane Washington Jr.,0.045853755470002235,/players/m/muldemy01.html,muldemy01,/players/j/jacksfr01.html,jacksfr01,/players/b/brazdig01.html,brazdig01,/players/j/johnsca02.html,johnsca02,/players/w/washidu02.html,washidu02
