wnba_player,wnba_link,wnba_id,season,wnba_season,league,nba_player1,nba_season,distance,league2,pred_class,nba_player2,distance2,nba_player3,distance3,nba_player4,distance4,nba_player5,distance5,nba_link1,nba_id1,nba_link2,nba_id2,nba_link3,nba_id3,nba_link4,nba_id4,nba_link5,nba_id5
Aerial Powers,/wnba/players/p/powerae01w.html,powerae01w,2021,2021,WNBA,Brook Lopez,2022,0.15401480188037858,NBA,5,Kevin Love,0.15823600644279218,Jaren Jackson Jr.,0.1593340630866763,Nikola Vučević,0.15971304621703006,Jerami Grant,0.1614855807018029,/players/l/lopezbr01.html,lopezbr01,/players/l/loveke01.html,loveke01,/players/j/jacksja02.html,jacksja02,/players/v/vucevni01.html,vucevni01,/players/g/grantje01.html,grantje01
Epiphanny Prince,/wnba/players/p/princep01w.html,princep01w,2021,2021,WNBA,Rajon Rondo,2022,0.01475180801610653,NBA,3,Joe Ingles,0.01969544196661647,Garrison Mathews,0.02243754542971533,Marcus Smart,0.02262024431415656,D.J. Augustin,0.02329001570632329,/players/r/rondora01.html,rondora01,/players/i/inglejo01.html,inglejo01,/players/m/mathega01.html,mathega01,/players/s/smartma01.html,smartma01,/players/a/augusdj01.html,augusdj01
Allie Quigley,/wnba/players/q/quiglal01w.html,quiglal01w,2021,2021,WNBA,Payton Pritchard,2022,0.06803134599644979,NBA,7,Kira Lewis Jr.,0.22001505389448023,Jaylen Nowell,0.23086780643102892,Davion Mitchell,0.25024123809106297,Théo Maledon,0.25440607450068276,/players/p/pritcpa01.html,pritcpa01,/players/l/lewiski01.html,lewiski01,/players/n/nowelja01.html,nowelja01,/players/m/mitchda01.html,mitchda01,/players/m/maledth01.html,maledth01
DiDi Richards,/wnba/players/r/richadi01w.html,richadi01w,2021,2021,WNBA,Nassir Little,2022,0.0022452852025395,NBA,6,Greg Brown III,0.01393848149325601,Grant Williams,0.02589909670995975,Darius Bazley,0.02857310163081133,Thomas Bryant,0.03146151285233269,/players/l/littlna01.html,littlna01,/players/b/browngr01.html,browngr01,/players/w/willigr01.html,willigr01,/players/b/bazleda01.html,bazleda01,/players/b/bryanth01.html,bryanth01
Danielle Robinson,/wnba/players/r/robinda01w.html,robinda01w,2021,2021,WNBA,Facundo Campazzo,2022,0.02056986440444736,NBA,3,Brandon Goodwin,0.04349125170646946,Alex Caruso,0.0733235796068824,Dennis Smith Jr.,0.10791885157156908,Derrick White,0.13371850271033514,/players/c/campafa01.html,campafa01,/players/g/goodwbr01.html,goodwbr01,/players/c/carusal01.html,carusal01,/players/s/smithde03.html,smithde03,/players/w/whitede01.html,whitede01
Mercedes Russell,/wnba/players/r/russeme01w.html,russeme01w,2021,2021,WNBA,Jarrett Allen,2022,0.02103034541990733,NBA,1,Ivica Zubac,0.02345339864797229,Tristan Thompson,0.02768523480064402,Day'Ron Sharpe,0.02803279153191616,Bismack Biyombo,0.03114106609436633,/players/a/allenja01.html,allenja01,/players/z/zubaciv01.html,zubaciv01,/players/t/thomptr01.html,thomptr01,/players/s/sharpda01.html,sharpda01,/players/b/biyombi01.html,biyombi01
Satou Sabally,/wnba/players/s/sabalsa01w.html,sabalsa01w,2021,2021,WNBA,Alperen Şengün,2022,0.01128085684221056,NBA,4,Mike Muscala,0.02146468938896905,Domantas Sabonis,0.02306009920438269,Gary Payton II,0.02882283338718937,Matisse Thybulle,0.02887605719519026,/players/s/sengual01.html,sengual01,/players/m/muscami01.html,muscami01,/players/s/sabondo01.html,sabondo01,/players/p/paytoga02.html,paytoga02,/players/t/thybuma01.html,thybuma01
Katie Lou Samuelson,/wnba/players/s/samueka02w.html,samueka02w,2021,2021,WNBA,Pat Connaughton,2022,0.00428367003274726,NBA,2,Sterling Brown,0.00580337512961383,Rodney McGruder,0.00761262701066686,Grayson Allen,0.0082272992053158,Dean Wade,0.00957327662130581,/players/c/connapa01.html,connapa01,/players/b/brownst02.html,brownst02,/players/m/mcgruro01.html,mcgruro01,/players/a/allengr01.html,allengr01,/players/w/wadede01.html,wadede01
Jessica Shepard,/wnba/players/s/shepaje01w.html,shepaje01w,2021,2021,WNBA,Draymond Green,2022,8.451218246241755e-7,NBA,4,Myles Turner,2.7511178312448508e-6,Andre Iguodala,4.778350138776811e-5,Al Horford,0.00113681030269708,Thaddeus Young,0.00128261250076326,/players/g/greendr01.html,greendr01,/players/t/turnemy01.html,turnemy01,/players/i/iguodan01.html,iguodan01,/players/h/horfoal01.html,horfoal01,/players/y/youngth01.html,youngth01
Kylee Shook,/wnba/players/s/shookky01w.html,shookky01w,2021,2021,WNBA,Herbert Jones,2022,0.02173168520514201,NBA,6,Obi Toppin,0.1359702730111716,Chimezie Metu,0.13796657643056962,Isaiah Roby,0.14591930419954502,Larry Nance Jr.,0.15588225061066252,/players/j/joneshe01.html,joneshe01,/players/t/toppiob01.html,toppiob01,/players/m/metuch01.html,metuch01,/players/r/robyis01.html,robyis01,/players/n/nancela02.html,nancela02
