player,tm,season,pos,g,mp,gs,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,trb,ast,stl,blk,tov,pf,pts,per,tspercent,efgpercent,x3par,ftr,orbpercent,trbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,ortg,drtg,ows,dws,ws,ws_40,distance,fga_2p,fga_0_3,fga_3_10,fga_10_16,fga_16_3p,fga_3p,fg_2p,fg_0_3,fg_3_10,fg_10_16,fg_16_3p,fg_3p,fg_2p_asst,fg_3p_asst,corner_3s_attempt,corner_3s_percent,oncourt,on_off,badpass,lostball,shoot_fouls_committed,off_fouls_committed,shoot_fouls_drawn,off_fouls_drawn,pga,and1,blkd,link
Katie Benzan,WAS,2022,G,3,27,0,9.6,17.4,0.556,9.6,13.5,0.714,0,3.9,0,5.8,7.7,0.75,1.9,3.9,1.9,0,1.9,3.9,13.5,34.7,21.9,0.836,0.833,0.778,0.444,4.3,4.4,6.8,0,3.4,15.7,21.8,130,103,0.1,0,0.2,0.256,23.7,0.222,0,0.222,0,0,0.778,0,NA,0,NA,NA,0.714,NA,0.8,0.286,1,-5.8,-11.3,0,1,6,0,0,1,2,0,0,/wnba/players/b/benzaka01w.html
Monique Billings,ATL,2022,F,19,341,7,6.6,14.9,0.441,0,0.1,0,6.6,14.8,0.446,4.4,5.6,0.789,5.1,18,2.9,2.8,1.2,3.8,7.2,17.6,15.8,0.505,0.441,0.01,0.373,12,20.9,10.2,2.8,2.3,18,18.7,99,93,0.2,0.9,1.2,0.135,7.2,0.99,0.392,0.294,0.186,0.118,0.01,0.446,0.6,0.4,0.368,0.167,0,0.6,NA,0,NA,1.1,5.3,11,4,29,4,20,3,46,4,9,/wnba/players/b/billimo01w.html
Sue Bird,SEA,2022,G,18,469,18,5.5,14.9,0.372,4.1,10.4,0.396,1.4,4.4,0.317,1.1,1.1,1,0.1,3.6,11.5,2.4,0.3,4.4,1.3,16.3,14.3,0.53,0.511,0.701,0.073,0.2,4,37,2.4,0.6,22.5,17.8,100,100,0.4,0.8,1.1,0.095,21.5,0.299,0.066,0.015,0.073,0.146,0.701,0.317,0.333,0.5,0.3,0.3,0.396,0.615,0.921,0.125,0.583,7.8,4.4,35,4,1,0,2,7,242,0,1,/wnba/players/b/birdsu01w.html
DeWanna Bonner,CON,2022,F-G,19,585,19,7.7,18.6,0.413,2.5,7.7,0.33,5.2,10.9,0.472,4.3,5.7,0.754,1.1,6.8,4.7,2,0.7,2.6,2.9,22.2,15.6,0.526,0.481,0.413,0.305,2.6,8.2,14.9,2,1.3,11,20.5,108,100,1.1,0.9,2.1,0.141,16,0.587,0.174,0.108,0.174,0.131,0.413,0.472,0.73,0.304,0.405,0.357,0.33,0.644,0.862,0.341,0.433,4.5,-9.8,17,6,14,4,29,5,120,7,7,/wnba/players/b/bonnede01w.html
Lexie Brown,LAS,2022,G,21,578,13,5.2,11.5,0.451,3.4,7.3,0.459,1.8,4.1,0.438,0.1,0.3,0.333,0.5,4.9,4.2,1.9,0.3,2.1,2.7,13.8,11.5,0.596,0.598,0.639,0.023,1.2,6,12.9,1.9,0.5,15.2,12.2,107,109,0.7,0.2,0.9,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/b/brownle02w.html
Kennedy Burke,WAS,2022,G-F,16,222,4,7.7,17.4,0.446,2.6,7.5,0.344,5.2,9.9,0.524,2.3,4,0.588,1.9,8.2,1.6,3.8,0.9,1.9,4,20.4,15.9,0.534,0.52,0.432,0.23,4.2,9.3,5.5,3.8,1.7,8.9,18.6,102,94,0.2,0.6,0.8,0.144,14,0.568,0.243,0.203,0.054,0.068,0.432,0.524,0.722,0.4,0.5,0.2,0.344,0.636,1,0.281,0.444,-6.1,-14.7,3,4,12,1,8,NA,17,3,8,/wnba/players/b/burkeke01w.html
Rae Burrell,LAS,2022,G-F,3,44,1,1.1,10.2,0.111,1.1,6.8,0.167,0,3.4,0,2.3,2.3,1,1.1,3.4,1.1,2.3,0,1.1,4.5,5.7,-0.3,0.253,0.167,0.667,0.222,2.7,4.1,3.1,2.3,0,9.2,11.1,62,109,-0.1,0,-0.1,-0.096,18.9,0.333,0.111,0.111,0,0.111,0.667,0,0,0,NA,0,0.167,NA,1,0.167,0,-3.5,2.1,1,0,3,0,0,NA,3,0,0,/wnba/players/b/burrera01w.html
Veronica Burton,DAL,2022,G,22,278,0,1.6,6.8,0.243,0.5,3.5,0.158,1.1,3.3,0.333,2.7,2.7,1,1.6,4.9,4.9,3.3,0.5,3.8,4.8,6.6,5.9,0.413,0.284,0.514,0.405,3.6,5.6,14.2,3.3,0.9,32.5,10.3,82,103,-0.3,0.3,0,0.002,16.3,0.486,0.108,0.243,0.135,0,0.514,0.333,0.5,0.222,0.4,NA,0.158,0.333,0.667,0.158,0.333,4.7,7.4,15,3,14,2,7,9,65,1,4,/wnba/players/b/burtove01w.html
Maya Caldwell,ATL,2022,G,3,62,3,8.1,16.1,0.5,4,6.4,0.625,4,9.7,0.417,0.8,1.6,0.5,0.8,2.4,5.6,1.6,0,4.8,2.4,21,13.6,0.623,0.625,0.4,0.1,1.9,2.8,20.6,1.6,0,22.3,19.1,102,104,0.1,0.1,0.1,0.085,14.6,0.6,0.3,0.05,0.1,0.15,0.4,0.417,0.667,1,0,0,0.625,0.4,1,0.25,0.5,-3.2,-1.2,6,0,2,0,1,1,16,0,0,/wnba/players/c/caldwma01w.html
Liz Cambage,LAS,2022,C,21,496,21,10.4,19.9,0.52,0.4,1.3,0.308,10,18.6,0.535,7.5,9.6,0.779,3.1,14.4,4.5,1.4,3.5,4.6,6.7,28.6,23.3,0.592,0.53,0.066,0.48,7.5,17.4,16.5,1.4,6.8,16.1,25.8,108,101,1.3,0.7,2.1,0.166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/c/cambael01w.html
