player,tm,season,pos,g,mp,gs,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,trb,ast,stl,blk,tov,pf,pts,per,tspercent,efgpercent,x3par,ftr,orbpercent,trbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,ortg,drtg,ows,dws,ws,ws_40,distance,fga_2p,fga_0_3,fga_3_10,fga_10_16,fga_16_3p,fga_3p,fg_2p,fg_0_3,fg_3_10,fg_10_16,fg_16_3p,fg_3p,fg_2p_asst,fg_3p_asst,corner_3s_attempt,corner_3s_percent,oncourt,on_off,badpass,lostball,shoot_fouls_committed,off_fouls_committed,shoot_fouls_drawn,off_fouls_drawn,pga,and1,blkd,link
Myisha Hines-Allen,WAS,2019,F,27,211,0,6.2,17,0.362,1.5,4,0.375,4.7,13.1,0.358,1.7,3,0.583,6.2,14.3,5.9,2.2,2.7,5.2,7.9,15.6,12.6,0.424,0.406,0.232,0.174,14.7,16.7,16.3,2.2,4.3,22,20.6,91,97,-0.1,0.4,0.3,0.062,10.3,0.768,0.246,0.391,0.101,0.029,0.232,0.358,0.471,0.333,0.143,0.5,0.375,0.474,0.833,0.125,0.5,-0.4,-18.3,9,3,19,2,5,NA,59,0,6,/wnba/players/h/hinesmy01w.html
Bria Holmes,CON,2019,G,34,529,0,7.4,18.6,0.399,1.9,6.1,0.317,5.5,12.5,0.438,3.7,5.6,0.672,1,4.7,3,1.5,0.7,2.9,3.5,20.5,11.3,0.487,0.451,0.326,0.301,2.1,5.3,9.7,1.5,1.2,12.1,20.4,96,103,0.3,0.5,0.8,0.059,12.3,0.674,0.269,0.28,0.026,0.098,0.326,0.438,0.538,0.389,0.2,0.368,0.317,0.632,0.9,0.175,0.364,-5.1,-16.6,13,10,16,5,29,NA,72,2,17,/wnba/players/h/holmebr01w.html
Anriel Howard,SEA,2019,F,3,20,0,5.3,13.2,0.4,2.6,5.3,0.5,2.6,7.9,0.333,0,0,NA,5.3,7.9,0,2.6,0,5.3,10.6,13.2,4,0.5,0.5,0.4,0,11.7,9.2,0,2.6,0,28.6,16,80,103,0,0,0,-0.028,9.9,0.6,0.6,0,0,0,0.4,0.333,0.333,NA,NA,NA,0.5,1,1,0,NA,-15.7,-15.2,0,1,0,1,0,NA,0,0,1,/wnba/players/h/howaran01w.html
Natasha Howard,SEA,2019,F,34,1066,34,11.2,25.6,0.439,1.6,5.2,0.308,9.7,20.5,0.472,6.3,7.8,0.81,4.6,13.8,3.6,3.7,2.9,4.9,5,30.4,24.2,0.523,0.47,0.201,0.306,10.1,16.1,14,3.7,4.8,14.4,29.4,101,93,2,2.6,4.6,0.173,10.4,0.799,0.265,0.323,0.132,0.079,0.201,0.472,0.664,0.401,0.324,0.366,0.308,0.579,0.906,0.096,0.5,6.9,36,40,26,43,15,74,NA,171,15,31,/wnba/players/h/howarna01w.html
Chloe Jackson,CHI,2019,G,8,32,0,3.1,13.8,0.222,0,0,NA,3.1,13.8,0.222,1.5,9.2,0.167,4.6,9.2,6.1,7.7,0,9.2,1.5,7.7,2.4,0.215,0.222,0,0.667,11.1,10.5,17.4,7.7,0,34,24,50,92,-0.3,0.1,-0.2,-0.245,14,1,0.222,0,0.111,0.667,0,0.222,0.5,NA,0,0.167,NA,1,NA,NA,NA,-22,-23.7,4,2,1,0,2,NA,9,0,4,/wnba/players/j/jacksch01w.html
Briann January,PHO,2019,G,32,852,26,4.4,11.3,0.39,1.9,5.1,0.378,2.5,6.2,0.4,2.2,2.7,0.837,0.4,2.6,6.4,1.6,0.2,3.3,4.1,12.9,8.8,0.52,0.475,0.451,0.236,0.8,2.8,20.3,1.6,0.3,21.2,14.2,95,107,0.3,0.3,0.5,0.025,17.9,0.549,0.115,0.071,0.126,0.236,0.451,0.4,0.571,0.231,0.391,0.372,0.378,0.225,0.903,0.171,0.357,-1.3,1.4,35,8,24,4,12,NA,231,1,12,/wnba/players/j/januabr01w.html
Marine Johannes,NYL,2019,G,19,345,0,7,16,0.436,3.6,9.6,0.379,3.4,6.4,0.523,2.2,2.8,0.789,1.3,5,6.7,1.2,0.4,3.2,4.4,19.8,14.6,0.575,0.55,0.6,0.173,2.9,5.6,23,1.2,0.7,15.7,17.8,109,111,0.8,-0.1,0.7,0.077,18.3,0.4,0.118,0.109,0.082,0.091,0.6,0.523,0.769,0.417,0.333,0.5,0.379,0.522,0.8,0.197,0.231,-5.8,6.9,15,3,16,0,7,NA,101,2,1,/wnba/players/j/johanma01w.html
Glory Johnson,DAL,2019,F,28,676,19,6.2,17.1,0.364,2.8,8.2,0.34,3.4,8.9,0.387,1.1,1.9,0.583,2.2,11.5,3.1,3.1,1.4,2.2,3.6,16.4,13.9,0.456,0.446,0.481,0.112,4.5,12.6,10.9,3.1,2.3,11.1,17.3,95,100,0.2,1,1.2,0.069,17.2,0.519,0.107,0.14,0.136,0.136,0.481,0.387,0.609,0.3,0.345,0.345,0.34,0.581,0.943,0.029,0.667,-10.8,-3.9,12,7,23,7,8,NA,93,2,11,/wnba/players/j/johnsgl01w.html
Shenise Johnson,IND,2019,G,17,219,0,7.1,21.4,0.333,1.9,7.9,0.242,5.2,13.6,0.386,3.6,3.8,0.938,2.6,8.3,4.3,2.9,0.5,2.9,4,19.8,12.8,0.428,0.378,0.367,0.178,6,9.2,14.1,2.9,0.7,11,22.5,92,103,0,0.2,0.2,0.031,15.3,0.633,0.2,0.133,0.122,0.178,0.367,0.386,0.389,0.333,0.455,0.375,0.242,0.455,0.875,0.212,0.143,4.9,9.8,7,4,9,1,6,NA,38,0,2,/wnba/players/j/johnssh02w.html
Alexis Jones,LAS,2019,G,20,243,1,5.9,14.7,0.4,2.3,6.9,0.333,3.6,7.8,0.459,2.5,3.1,0.8,0.4,4.6,7.5,1.3,0.8,5.7,6.1,16.6,9,0.516,0.479,0.471,0.214,0.9,5.2,23.1,1.3,1.4,26.1,19,90,102,-0.1,0.2,0.1,0.021,16.9,0.529,0.171,0.1,0.129,0.129,0.471,0.459,0.667,0.429,0.556,0.111,0.333,0.176,0.818,0.152,0.6,-1.9,-6.1,18,4,9,3,7,NA,83,1,5,/wnba/players/j/jonesal01w.html
Brionna Jones,CON,2019,F,27,227,0,7.8,16.8,0.467,0,0.2,0,7.8,16.6,0.473,5.4,8.1,0.667,8.3,13.2,2,2,1.6,4.3,8.1,21.1,16.4,0.517,0.467,0.013,0.48,17.7,14.9,6.6,2,2.7,17.3,21,103,100,0.4,0.3,0.7,0.124,4.7,0.987,0.44,0.453,0.04,0.053,0.013,0.473,0.455,0.5,0.333,0.5,0,0.686,NA,0,NA,-12.1,-20.6,4,6,12,5,16,NA,26,2,13,/wnba/players/j/jonesbr01w.html
Jonquel Jones,CON,2019,F,34,980,34,9,20,0.448,2.2,7.2,0.309,6.7,12.8,0.526,5.6,6.9,0.818,5.9,17.1,2.7,2.2,3.5,3.4,5,25.8,24.3,0.56,0.504,0.36,0.342,12.5,19.3,9.2,2.2,6.1,12.9,22.6,112,93,3.3,2.4,5.6,0.23,12.9,0.64,0.275,0.197,0.13,0.039,0.36,0.526,0.642,0.513,0.38,0.267,0.309,0.638,0.977,0.014,0,11.7,23.5,17,20,43,17,49,NA,121,8,31,/wnba/players/j/jonesjo01w.html
Paris Kea,IND,2019,G,11,60,0,9.6,23.5,0.407,4.3,7.8,0.556,5.2,15.7,0.333,1.7,3.5,0.5,0.9,4.3,5.2,0.9,1.7,7.8,3.5,25.2,10.2,0.504,0.5,0.333,0.148,2,4.8,18.7,0.9,2.7,23.8,28.4,83,108,-0.1,0,-0.1,-0.082,15.3,0.667,0.148,0.111,0.148,0.259,0.333,0.333,0.5,0.333,0.5,0.143,0.556,0.167,0.6,0,NA,-20.2,-17.6,7,2,4,0,2,NA,13,0,1,/wnba/players/k/keapa01w.html
Betnijah Laney,IND,2019,G-F,34,877,27,4.6,12.7,0.362,1.2,3.9,0.303,3.4,8.7,0.388,1.1,1.8,0.581,1.9,8.5,3.5,2.9,0.2,2.9,3.3,11.4,8.7,0.424,0.408,0.31,0.146,4.3,9.4,10.7,2.9,0.4,17.8,14.2,85,103,-0.8,0.9,0.1,0.004,15.5,0.69,0.16,0.108,0.136,0.286,0.31,0.388,0.471,0.522,0.241,0.361,0.303,0.561,0.95,0.561,0.297,-4.5,-3.1,22,12,15,6,7,NA,137,3,5,/wnba/players/l/laneybe01w.html
Crystal Langhorne,SEA,2019,F-C,34,577,4,6.4,15.6,0.409,1.6,5.2,0.316,4.8,10.4,0.456,3,4,0.75,2.5,9.7,3,0.9,0.8,3.9,3.2,17.5,10.9,0.502,0.462,0.333,0.257,5.5,11.3,10,0.9,1.3,18.4,18.5,93,103,0,0.6,0.6,0.039,12.6,0.667,0.287,0.246,0.035,0.099,0.333,0.456,0.592,0.286,0.5,0.471,0.316,0.769,1,0.07,0.25,-10.5,-17,15,13,17,4,18,NA,80,6,15,/wnba/players/l/langhcr01w.html
Jantel Lavender,CHI,2019,F,23,619,22,8.2,16.6,0.49,0.5,2.1,0.222,7.7,14.5,0.53,1.5,1.7,0.905,3.6,12.5,2.1,0.6,1,2.5,2.7,18.3,14.1,0.527,0.505,0.129,0.1,8.8,14.3,6.8,0.6,1.5,12.7,17.7,102,103,0.8,0.6,1.3,0.085,11.5,0.871,0.348,0.157,0.067,0.3,0.129,0.53,0.685,0.424,0.429,0.429,0.222,0.835,1,0.037,0,0.1,-1.8,14,9,19,5,9,NA,62,3,11,/wnba/players/l/lavenja01w.html
Camille Little,PHO,2019,F,29,425,0,5,11.4,0.435,0.9,2.6,0.333,4.1,8.8,0.465,3.1,3.8,0.806,2.4,8.6,2.9,1.4,1,3.1,6.3,13.9,9.6,0.53,0.473,0.228,0.337,5.3,9.4,9.3,1.4,1.5,19.1,14.6,97,103,0.2,0.4,0.6,0.054,11.7,0.772,0.174,0.38,0.12,0.098,0.228,0.465,0.688,0.457,0.273,0.333,0.333,0.818,1,0.095,0.5,6.4,11.9,13,4,22,5,10,NA,55,3,5,/wnba/players/l/littlca01w.html
Jewell Loyd,SEA,2019,G,27,686,21,9,23,0.391,2.6,7.8,0.337,6.4,15.2,0.419,4.9,5.3,0.928,0.8,5.7,4.2,2.7,0.2,4,2.5,25.5,15.6,0.504,0.448,0.338,0.231,1.9,6.6,15,2.7,0.4,13.6,25.4,97,101,0.5,0.8,1.3,0.078,16.4,0.662,0.114,0.154,0.13,0.264,0.338,0.419,0.559,0.283,0.436,0.43,0.337,0.53,0.912,0.208,0.381,3.1,7.6,28,21,16,2,22,NA,117,4,7,/wnba/players/l/loydje01w.html
Sancho Lyttle,PHO,2019,F,20,250,2,5.5,13.1,0.419,0.2,0.8,0.25,5.3,12.2,0.431,1.1,1.7,0.625,3,12.2,1.3,2.5,1.1,2.5,5.7,12.2,9.3,0.443,0.427,0.065,0.129,6.7,13.4,4.2,2.5,1.6,15.5,14.7,85,98,-0.2,0.4,0.2,0.03,14.5,0.935,0.129,0.194,0.097,0.516,0.065,0.431,0.75,0.5,0.167,0.375,0.25,0.84,1,0.25,0,-0.7,1.5,7,1,16,2,2,NA,13,0,1,/wnba/players/l/lyttlsa01w.html
Marina Mabrey,LAS,2019,G,31,355,0,6.5,18.8,0.344,3,11.1,0.273,3.4,7.8,0.444,2,2.3,0.875,0.9,5.5,4.3,2.7,1,3.4,3.3,17.9,10.9,0.453,0.424,0.588,0.122,1.9,6.1,13.4,2.7,1.7,14.8,20.3,88,99,-0.3,0.6,0.3,0.035,18.2,0.412,0.168,0.092,0.069,0.084,0.588,0.444,0.682,0.167,0.556,0.182,0.273,0.458,0.81,0.156,0.417,-1.7,-6.6,15,4,13,1,6,NA,68,1,11,/wnba/players/m/mabrema01w.html
Victoria Macaulay,CHI,2019,C,5,22,0,4.5,11.1,0.4,0,0,NA,4.5,11.1,0.4,4.5,4.5,1,2.2,8.9,0,4.5,2.2,0,6.7,13.4,14.5,0.51,0.4,0,0.4,5.4,10.2,0,4.5,3.3,0,11.6,117,95,0,0,0.1,0.169,7.1,1,0,0.8,0.2,0,0,0.4,NA,0.5,0,NA,NA,0.5,NA,NA,NA,17.2,16.4,0,0,3,0,0,NA,0,0,1,/wnba/players/m/macauvi01w.html
Stephanie Mavunga,IND,2019,F,24,204,0,6.1,12,0.511,0,0.3,0,6.1,11.8,0.522,3.1,4.3,0.706,5.4,14.3,1,1.5,1.8,2.6,10,15.3,12.9,0.551,0.511,0.021,0.362,12.3,15.8,3.3,1.5,2.8,15.5,14.3,108,102,0.3,0.2,0.6,0.111,6.6,0.979,0.511,0.191,0.149,0.128,0.021,0.522,0.708,0.333,0.286,0.333,0,0.708,NA,0,NA,2.3,6.6,2,2,16,3,6,NA,11,1,3,/wnba/players/m/mavunst01w.html
Kayla McBride,LVA,2019,G,34,990,34,7.6,17.9,0.425,3.1,7.2,0.428,4.5,10.6,0.423,4.3,4.8,0.906,1.1,7,4.4,2,0.1,2.9,2.3,22.6,16.7,0.566,0.511,0.405,0.268,2.5,7.8,15,2,0.2,12.8,19.9,108,99,2.2,1.5,3.7,0.149,17.3,0.595,0.087,0.162,0.092,0.24,0.405,0.423,0.774,0.483,0.394,0.279,0.428,0.633,0.855,0.124,0.556,7.1,1.2,31,16,13,6,33,NA,180,11,13,/wnba/players/m/mcbrika01w.html
Erica McCall,IND,2019,F,15,104,0,1.5,11,0.136,0,0,NA,1.5,11,0.136,4,4,1,5.5,13.5,3,0.5,3,1.5,6.5,7,6.7,0.274,0.136,0,0.364,12.6,15,8.4,0.5,4.7,10.5,12.4,83,104,-0.1,0.1,0,-0.008,10.3,1,0.227,0.227,0.227,0.318,0,0.136,0.2,0,0.4,0,NA,1,NA,NA,NA,-13.7,-11.2,2,1,4,0,2,NA,15,0,5,/wnba/players/m/mccaler01w.html
Brooke McCarty-Williams,DAL,2019,G,34,447,3,3.1,10.9,0.289,2.2,6,0.36,1,4.8,0.2,1.3,1.5,0.917,1.2,5.4,7.7,1.9,0.1,3.5,5.1,9.8,7.5,0.425,0.389,0.556,0.133,2.5,6,24.3,1.9,0.2,23.3,12.8,90,107,-0.1,0.1,0,-0.001,16.7,0.444,0.133,0.222,0.044,0.044,0.556,0.2,0.333,0.2,0,0,0.36,0.375,1,0.12,0.333,-9,-0.3,21,3,18,2,3,NA,155,2,3,/wnba/players/m/mccarbr01w.html
Angel McCoughtry,ATL,2019,F-G,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,/wnba/players/m/mccouan01w.html
Teaira McCowan,IND,2019,C,34,752,16,8.3,16,0.517,0,0,NA,8.3,16,0.517,7.1,10.4,0.687,7.5,21.2,0.6,1.4,3.1,3.1,7.6,23.7,22.5,0.576,0.517,0,0.652,17.1,23.4,1.9,1.4,4.8,12.9,20.4,114,97,2.6,1.3,3.9,0.208,2.9,1,0.661,0.3,0.035,0.004,0,0.517,0.599,0.362,0.375,0,NA,0.605,NA,NA,NA,0,7.2,3,11,51,18,69,NA,17,14,18,/wnba/players/m/mccowte01w.html
Emma Meesseman,WAS,2019,F,23,543,6,11.7,21.2,0.552,1.8,4.3,0.422,9.9,16.9,0.585,3.6,4,0.905,2.6,9.3,7,1.9,1.4,2.1,3.9,28.9,27.3,0.628,0.595,0.204,0.19,6.2,10.9,22.7,1.9,2.3,8.4,22,129,101,3.3,0.7,4,0.292,11.9,0.796,0.167,0.326,0.172,0.122,0.204,0.585,0.622,0.569,0.553,0.593,0.422,0.748,0.947,0.022,0,16.2,1.9,9,6,21,3,13,NA,168,2,9,/wnba/players/m/meessem01w.html
Kim Mestdagh,WAS,2019,G,15,71,0,5.1,13.2,0.389,4.4,11,0.4,0.7,2.2,0.333,1.5,1.5,1,0.7,2.9,4.4,1.5,0,4.4,3.7,16.1,8.8,0.583,0.556,0.833,0.111,1.7,3.4,11.8,1.5,0,24.1,16,97,106,0,0,0.1,0.039,22.2,0.167,0.111,0,0,0.056,0.833,0.333,0.5,NA,NA,0,0.4,1,1,0.333,0.4,-1.2,-17.2,3,1,1,1,0,NA,15,0,0,/wnba/players/m/mestdki01w.html
Kelsey Mitchell,IND,2019,G,34,852,20,10.2,26.5,0.387,4.8,12.9,0.374,5.4,13.5,0.398,3.1,3.7,0.836,0.2,3.4,5.5,0.9,0.2,3.5,3.5,28.4,15.1,0.506,0.478,0.488,0.141,0.6,3.8,20.2,0.9,0.4,11,27.3,100,109,1.2,-0.1,1.1,0.052,17.8,0.512,0.146,0.102,0.076,0.188,0.488,0.398,0.571,0.273,0.364,0.346,0.374,0.318,0.709,0.057,0.5,-2.6,2.2,33,11,23,6,23,NA,201,6,22,/wnba/players/m/mitchke01w.html
Leilani Mitchell,PHO,2019,G,32,971,27,7.3,16.5,0.441,4,9.3,0.43,3.3,7.2,0.455,3.7,4.5,0.829,0.9,5.2,7,1.6,0.5,3.1,4.2,22.3,17.6,0.603,0.563,0.566,0.27,2,5.7,24.4,1.6,0.8,14.6,19.5,112,105,2.8,0.6,3.5,0.142,18.8,0.434,0.122,0.095,0.053,0.164,0.566,0.455,0.595,0.241,0.438,0.48,0.43,0.3,0.703,0.128,0.409,-2.6,-2.4,34,8,26,7,19,NA,278,3,17,/wnba/players/m/mitchle01w.html
Tiffany Mitchell,IND,2019,G,33,831,14,6.8,18,0.381,1.3,4.3,0.29,5.6,13.6,0.41,5.2,5.8,0.892,1.4,6,4.5,1.2,0.2,3.5,5.2,20.2,11.2,0.491,0.416,0.241,0.325,3.2,6.6,14.5,1.2,0.3,14.4,20.8,98,108,0.6,0.1,0.8,0.037,12,0.759,0.315,0.136,0.164,0.143,0.241,0.41,0.556,0.282,0.319,0.317,0.29,0.438,0.85,0.304,0.381,-5.6,-5.9,26,13,35,4,41,NA,164,5,15,/wnba/players/m/mitchti01w.html
Renee Montgomery,ATL,2019,G,34,949,34,5.8,15.7,0.37,3.7,11.4,0.324,2.1,4.3,0.494,2.3,2.8,0.824,0.5,4,4.9,1.7,0.3,3.5,2.8,17.6,11,0.52,0.488,0.727,0.176,1,4.1,18,1.7,0.5,17,17.5,96,106,0.4,0.5,0.9,0.037,20.5,0.273,0.08,0.066,0.052,0.076,0.727,0.494,0.739,0.526,0.467,0.227,0.324,0.231,0.691,0.124,0.192,-9.4,0,38,18,10,5,10,NA,197,1,10,/wnba/players/m/montgre01w.html
Kaleena Mosqueda-Lewis,SEA,2019,F,31,435,4,7.9,19.8,0.399,3.4,10,0.341,4.5,9.8,0.457,1.7,1.7,1,1.1,4.4,1.9,1,0.6,4.4,4.9,20.9,8.3,0.508,0.485,0.503,0.086,2.4,5.1,6.7,1,1,17.5,21.6,88,106,-0.3,0.2,-0.1,-0.007,19.2,0.497,0.055,0.098,0.098,0.245,0.503,0.457,0.667,0.375,0.5,0.425,0.341,0.676,0.929,0.171,0.357,-14.1,-19.8,20,5,15,8,3,NA,42,1,10,/wnba/players/m/mosquka01w.html
Jaime Nared,LVA,2019,G-F,1,1,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,49.5,0,-19.9,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,106,0,0,0,0.017,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-6.8,0,0,1,0,0,NA,0,0,0,/wnba/players/n/naredja01w.html
Astou Ndour,CHI,2019,C-F,21,368,11,7.7,15.7,0.492,1.9,4.4,0.424,5.9,11.3,0.518,1.7,2.4,0.722,4,11.7,1.9,1.3,1.9,1.9,4.8,19.1,16.5,0.568,0.551,0.28,0.153,9.7,13.4,6.1,1.3,2.8,10,16.6,112,101,0.9,0.4,1.3,0.141,11.3,0.72,0.381,0.153,0.102,0.085,0.28,0.518,0.622,0.444,0.25,0.5,0.424,0.795,1,0.03,0,2,1.2,5,4,19,2,9,NA,35,2,9,/wnba/players/n/ndouras01w.html
Kia Nurse,NYL,2019,G,34,1001,34,7.1,18.2,0.393,3.3,9.3,0.353,3.9,8.9,0.435,5.8,6.7,0.872,1,4.3,3.9,1.3,0.2,2.8,3,23.4,14.7,0.554,0.483,0.51,0.368,2.1,4.8,13.5,1.3,0.3,11.8,20.8,108,111,2.3,-0.3,1.9,0.078,17,0.49,0.166,0.094,0.111,0.119,0.51,0.435,0.617,0.294,0.4,0.326,0.353,0.675,0.846,0.174,0.344,-14.7,-14.3,28,10,12,10,54,NA,172,7,26,/wnba/players/n/nurseki01w.html
Arike Ogunbowale,DAL,2019,G,33,1059,28,10.9,28.1,0.388,2.9,8.3,0.352,8,19.9,0.404,7.4,9.1,0.815,1,4.1,5.4,1.8,0.1,3.5,4.3,32.2,18.3,0.501,0.44,0.294,0.323,2.1,4.5,22.5,1.8,0.1,9.8,30.4,104,109,2.6,0.1,2.7,0.101,14.6,0.706,0.12,0.227,0.183,0.176,0.294,0.404,0.591,0.4,0.337,0.351,0.352,0.223,0.737,0.068,0.273,-10.6,-8.2,30,16,21,17,76,NA,244,12,23,/wnba/players/o/ogunbar01w.html
Chiney Ogwumike,LAS,2019,F-C,32,697,14,9.1,18.5,0.494,0.1,0.3,0.25,9.1,18.2,0.498,4,5,0.809,5.9,13.5,1.8,2.4,1.7,3.1,8,22.4,18.4,0.541,0.496,0.016,0.269,13.3,15,6.2,2.4,2.8,12.9,20.8,107,96,1.6,1.4,3,0.171,6.8,0.984,0.458,0.285,0.071,0.17,0.016,0.498,0.698,0.389,0.278,0.233,0.25,0.669,1,0,NA,-0.1,-6.5,13,10,40,11,33,NA,63,10,32,/wnba/players/o/ogwumch01w.html
Nneka Ogwumike,LAS,2019,F,32,892,32,11.8,23.2,0.51,1.3,3.9,0.338,10.5,19.3,0.544,4.4,5.3,0.828,4.2,16.1,3.3,3.4,0.9,3.3,5.3,29.4,25.7,0.575,0.538,0.167,0.229,9.3,18,12.4,3.4,1.4,11.5,25.2,111,91,3.1,2.4,5.5,0.248,10.2,0.833,0.347,0.224,0.128,0.133,0.167,0.544,0.702,0.484,0.442,0.333,0.338,0.641,1,0.132,0.333,7.1,11.5,26,14,35,13,42,NA,147,5,23,/wnba/players/o/ogwumnn01w.html
Courtney Paris,SEA,2019,C,30,190,0,1.7,4.2,0.4,0,0,NA,1.7,4.2,0.4,0.8,1.9,0.429,3.6,14.4,3.6,2.2,0.8,2.5,5,4.2,8.4,0.415,0.4,0,0.467,8,16.8,10.3,2.2,1.4,33.2,6.5,90,97,0,0.3,0.3,0.065,4.7,1,0.467,0.467,0,0.067,0,0.4,0.714,0.143,NA,0,NA,0.667,NA,NA,NA,-22.2,-24.9,4,1,6,2,4,NA,34,1,4,/wnba/players/p/parisco01w.html
Candace Parker,LAS,2019,F-C,22,571,22,7.9,18.8,0.422,1.4,5.4,0.267,6.5,13.5,0.483,4.7,6,0.791,2.1,12.5,6.8,2.1,1.5,4.8,3.5,22,18,0.514,0.46,0.284,0.318,4.8,14,22.2,2.1,2.5,18.3,23,98,95,0.5,1.2,1.8,0.124,11.5,0.716,0.294,0.246,0.118,0.057,0.284,0.483,0.694,0.365,0.28,0.333,0.267,0.575,0.625,0.067,0,5.9,4.8,36,12,21,3,34,NA,183,8,13,/wnba/players/p/parkeca01w.html
Cheyenne Parker,CHI,2019,F,34,670,0,7.8,17,0.459,0.4,1.3,0.278,7.5,15.7,0.474,5.9,7,0.842,4.5,14.4,2.2,1.8,3.1,3.3,5.9,21.9,18.7,0.544,0.47,0.077,0.408,11,16.4,7.2,1.8,4.6,14.1,20.8,106,97,1.4,1.2,2.6,0.157,5.8,0.923,0.579,0.219,0.077,0.047,0.077,0.474,0.593,0.275,0.333,0.182,0.278,0.725,1,0,NA,-2.8,-7.7,12,10,44,15,39,NA,70,9,25,/wnba/players/p/parkech01w.html
JiSu Park,LVA,2019,C,25,163,0,2.4,11.2,0.216,0,0.3,0,2.4,10.9,0.222,1.2,2.7,0.444,3,8.2,3,1.5,1.2,2.1,7,6.1,1.4,0.244,0.216,0.027,0.243,6.9,9,8.8,1.5,2,14.6,12.6,65,99,-0.5,0.2,-0.2,-0.052,12.8,0.973,0.162,0.135,0.189,0.459,0.027,0.222,0.5,0.4,0.286,0.059,0,0.875,NA,0,NA,3.9,-3.3,3,2,11,2,5,NA,22,1,5,/wnba/players/p/parkji01w.html
Shey Peddy,WAS,2019,G,15,71,0,5.9,9.5,0.615,2.9,5.9,0.5,2.9,3.7,0.8,4.4,4.4,1,0.7,6.6,5.9,2.9,0,2.2,5.9,19.1,20.2,0.831,0.769,0.615,0.462,1.7,7.7,16,2.9,0,16.1,12,149,100,0.4,0.1,0.5,0.266,17.1,0.385,0.231,0.154,0,0,0.615,0.8,0.667,1,NA,NA,0.5,0.75,0.75,0.125,0,11.6,-3.7,1,1,3,0,1,NA,20,0,1,/wnba/players/p/peddysh01w.html
Haley Peters,ATL,2019,F,4,26,0,0,13.9,0,0,0,NA,0,13.9,0,4,4,1,2,4,2,2,2,7.9,6,4,-10.8,0.127,0,0,0.286,4,4.1,6,2,3.1,33.7,20.2,27,104,-0.3,0,-0.2,-0.384,12.6,1,0.143,0.143,0.429,0.286,0,0,0,0,0,0,NA,NA,NA,NA,NA,-33.3,-24.4,2,1,0,1,1,NA,3,0,1,/wnba/players/p/peterha01w.html
Kelsey Plum,LVA,2019,G,34,868,30,6.1,16.7,0.365,2.6,7.1,0.36,3.5,9.6,0.369,1.9,2.2,0.872,0.9,5.5,5.8,1.5,0.2,3,4.3,16.7,10,0.472,0.442,0.427,0.133,1.9,6.1,18.9,1.5,0.4,14.6,18,94,101,0.1,1.1,1.2,0.056,16.7,0.573,0.113,0.137,0.143,0.15,0.427,0.369,0.576,0.4,0.31,0.25,0.36,0.355,0.756,0.112,0.357,7.5,1.9,24,15,24,5,11,NA,214,2,18,/wnba/players/p/plumke01w.html
Aerial Powers,WAS,2019,F-G,30,593,7,9.5,21.9,0.434,3.7,10.2,0.362,5.8,11.7,0.496,7.5,8.6,0.867,3,8.5,4,2.2,0.5,3.9,4.2,30.1,21.8,0.587,0.518,0.466,0.394,7.1,10,12,2.2,0.8,13.1,25.9,113,102,2.4,0.7,3,0.204,16.2,0.534,0.141,0.197,0.068,0.116,0.466,0.496,0.743,0.531,0.118,0.31,0.362,0.379,0.905,0.207,0.458,15.4,0.6,15,15,23,7,48,NA,99,12,12,/wnba/players/p/powerae01w.html
Epiphanny Prince,LVA,2019,G,3,28,0,8.8,17.7,0.5,5.3,12.4,0.429,3.5,5.3,0.667,0,0,NA,1.8,3.5,5.3,1.8,1.8,0,8.8,23,20,0.65,0.65,0.7,0,4,3.9,18.9,1.8,2.9,0,15.3,139,100,0.1,0,0.2,0.258,22.9,0.3,0,0.1,0,0.2,0.7,0.667,NA,0,NA,1,0.429,0.5,1,0,NA,10.5,3.8,0,0,4,0,0,NA,6,0,0,/wnba/players/p/princep01w.html
LaToya Sanders,WAS,2019,F-C,34,804,34,5.6,11.1,0.506,0,0,NA,5.6,11.1,0.506,2.1,2.4,0.892,2.9,12.1,4.3,1.9,3,1.9,4.6,13.4,16.3,0.55,0.506,0,0.215,6.8,14.1,11.6,1.9,4.8,13.7,12.4,116,97,1.9,1.5,3.4,0.167,11.9,1,0.14,0.209,0.203,0.384,0,0.506,0.792,0.444,0.429,0.455,NA,0.805,NA,NA,NA,20.6,13.1,6,7,31,9,12,NA,162,1,8,/wnba/players/p/pringla01w.html
