player,team,pos,g,mp,g_2,gs,mp_2,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,trb,ast,stl,blk,tov,pf,pts,link,season
Tanisha Wright,MIN,G,33,586,33,4,586,51,133,0.383,19,48,0.396,32,85,0.376,20,27,0.741,11,53,65,16,4,42,63,141,/wnba/players/w/wrighta01w.html,2018
Tamera Young,LVA,F,33,881,33,25,881,129,316,0.408,4,13,0.308,125,303,0.413,65,92,0.707,36,168,91,32,6,55,68,327,/wnba/players/y/youngta01w.html,2018
Amanda Zahui B.,NYL,C,29,460,29,0,460,90,180,0.5,21,61,0.344,69,119,0.58,23,38,0.605,37,87,21,11,12,45,80,224,/wnba/players/z/zahuiam01w.html,2018
Cecilia Zandalasini,MIN,F,29,478,29,6,478,61,149,0.409,23,60,0.383,38,89,0.427,21,25,0.84,6,54,32,8,1,31,51,166,/wnba/players/z/zandace01w.html,2018
Shavonte Zellous,NYL,G,22,531,22,22,531,63,149,0.423,8,30,0.267,55,119,0.462,46,61,0.754,6,69,65,13,5,27,57,180,/wnba/players/z/zellosh01w.html,2018
Alex Bentley,TOT,G,35,745,35,0,745,128,331,0.387,39,127,0.307,89,204,0.436,34,47,0.723,10,51,115,40,3,57,76,329,/wnba/players/b/bentlal01w.html,2018
Layshia Clarendon,TOT,G,33,549,33,4,549,57,142,0.401,2,20,0.1,55,122,0.451,43,53,0.811,17,61,72,15,0,38,48,159,/wnba/players/c/clarela01w.html,2018
Tayler Hill,TOT,G,20,235,20,1,235,24,84,0.286,13,45,0.289,11,39,0.282,13,14,0.929,3,15,20,3,2,17,8,74,/wnba/players/h/hillta01w.html,2018
Maggie Lucas,TOT,G,8,56,8,0,56,1,16,0.063,1,13,0.077,0,3,0,0,0,NA,1,3,0,3,0,6,0,3,/wnba/players/l/lucasma01w.html,2018
Teana Muldrow,TOT,F,4,9,4,0,9,0,1,0,0,1,0,0,0,NA,0,0,NA,0,1,0,0,0,0,1,0,/wnba/players/m/muldrte01w.html,2018
Cappie Pondexter,TOT,G,30,545,30,14,545,85,223,0.381,11,30,0.367,74,193,0.383,39,45,0.867,7,55,54,15,0,27,45,220,/wnba/players/p/pondeca01w.html,2018
Aerial Powers,TOT,F-G,24,345,24,0,345,48,122,0.393,12,44,0.273,36,78,0.462,40,46,0.87,16,66,21,13,6,31,30,148,/wnba/players/p/powerae01w.html,2018
Mercedes Russell,TOT,C,24,133,24,0,133,16,34,0.471,0,0,NA,16,34,0.471,8,14,0.571,8,33,4,2,3,7,16,40,/wnba/players/r/russeme01w.html,2018
Alex Bentley,CON,G,19,413,19,0,413,72,182,0.396,21,69,0.304,51,113,0.451,25,30,0.833,10,27,61,25,2,31,44,190,/wnba/players/b/bentlal01w.html,2018
Layshia Clarendon,ATL,G,18,311,18,4,311,26,79,0.329,2,14,0.143,24,65,0.369,24,30,0.8,10,37,31,7,0,24,31,78,/wnba/players/c/clarela01w.html,2018
Tayler Hill,WAS,G,13,117,13,0,117,11,39,0.282,6,21,0.286,5,18,0.278,11,12,0.917,1,8,13,2,1,11,6,39,/wnba/players/h/hillta01w.html,2018
Maggie Lucas,ATL,G,7,36,7,0,36,1,11,0.091,1,10,0.1,0,1,0,0,0,NA,1,3,0,1,0,5,0,3,/wnba/players/l/lucasma01w.html,2018
Teana Muldrow,SEA,F,3,6,3,0,6,0,1,0,0,1,0,0,0,NA,0,0,NA,0,1,0,0,0,0,0,0,/wnba/players/m/muldrte01w.html,2018
Cappie Pondexter,LAS,G,13,134,13,0,134,15,43,0.349,0,2,0,15,41,0.366,17,19,0.895,2,14,10,3,0,4,15,47,/wnba/players/p/pondeca01w.html,2018
Aerial Powers,DAL,F-G,15,231,15,0,231,30,82,0.366,5,28,0.179,25,54,0.463,28,34,0.824,11,37,13,7,2,24,21,93,/wnba/players/p/powerae01w.html,2018
Mercedes Russell,NYL,C,2,32,2,0,32,1,3,0.333,0,0,NA,1,3,0.333,3,4,0.75,0,3,2,2,1,1,2,5,/wnba/players/r/russeme01w.html,2018
Alex Bentley,ATL,G,16,332,16,0,332,56,149,0.376,18,58,0.31,38,91,0.418,9,17,0.529,0,24,54,15,1,26,32,139,/wnba/players/b/bentlal01w.html,2018
Layshia Clarendon,CON,G,15,238,15,0,238,31,63,0.492,0,6,0,31,57,0.544,19,23,0.826,7,24,41,8,0,14,17,81,/wnba/players/c/clarela01w.html,2018
Tayler Hill,DAL,G,7,118,7,1,118,13,45,0.289,7,24,0.292,6,21,0.286,2,2,1,2,7,7,1,1,6,2,35,/wnba/players/h/hillta01w.html,2018
Maggie Lucas,DAL,G,1,20,1,0,20,0,5,0,0,3,0,0,2,0,0,0,NA,0,0,0,2,0,1,0,0,/wnba/players/l/lucasma01w.html,2018
Teana Muldrow,DAL,F,1,3,1,0,3,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,/wnba/players/m/muldrte01w.html,2018
Cappie Pondexter,IND,G,17,411,17,14,411,70,180,0.389,11,28,0.393,59,152,0.388,22,26,0.846,5,41,44,12,0,23,30,173,/wnba/players/p/pondeca01w.html,2018
Aerial Powers,WAS,F-G,9,114,9,0,114,18,40,0.45,7,16,0.438,11,24,0.458,12,12,1,5,29,8,6,4,7,9,55,/wnba/players/p/powerae01w.html,2018
Mercedes Russell,SEA,C,22,101,22,0,101,15,31,0.484,0,0,NA,15,31,0.484,5,10,0.5,8,30,2,0,2,6,14,35,/wnba/players/r/russeme01w.html,2018
Natalie Achonwa,IND,F,30,636,30,18,636,99,203,0.488,3,12,0.25,96,191,0.503,60,66,0.909,48,156,48,18,20,29,77,261,/wnba/players/a/achonna01w.html,2019
Kayla Alexander,CHI,C,3,20,3,0,20,3,4,0.75,0,0,NA,3,4,0.75,3,4,0.75,2,7,1,0,0,1,3,9,/wnba/players/a/alexaka01w.html,2019
Rebecca Allen,NYL,G,24,412,24,2,412,65,156,0.417,29,68,0.426,36,88,0.409,13,16,0.813,12,61,17,12,18,17,51,172,/wnba/players/a/allenre01w.html,2019
Jillian Alleyne,MIN,C-F,5,14,5,0,14,2,6,0.333,0,0,NA,2,6,0.333,0,0,NA,2,5,1,0,1,0,0,4,/wnba/players/a/alleyji01w.html,2019
Ariel Atkins,WAS,G,33,804,33,33,804,123,296,0.416,51,143,0.357,72,153,0.471,43,53,0.811,24,93,65,48,18,34,73,340,/wnba/players/a/atkinar01w.html,2019
Seimone Augustus,MIN,G-F,12,156,12,7,156,20,64,0.313,2,12,0.167,18,52,0.346,3,4,0.75,2,7,15,5,1,12,5,45,/wnba/players/a/augusse01w.html,2019
Rachel Banham,CON,G,29,353,29,0,353,37,115,0.322,22,72,0.306,15,43,0.349,9,13,0.692,1,30,26,8,2,26,34,105,/wnba/players/b/banhara01w.html,2019
Alana Beard,LAS,G-F,16,235,16,3,235,22,49,0.449,1,5,0.2,21,44,0.477,7,9,0.778,2,24,23,12,3,9,21,52,/wnba/players/b/beardal01w.html,2019
Kenisha Bell,MIN,G,3,11,3,0,11,0,1,0,0,1,0,0,0,NA,0,0,NA,0,1,1,0,0,1,1,0,/wnba/players/b/bellke01w.html,2019
Alex Bentley,ATL,G,29,634,29,4,634,99,323,0.307,32,136,0.235,67,187,0.358,30,35,0.857,10,54,86,21,9,44,56,260,/wnba/players/b/bentlal01w.html,2019
Tiffany Bias,NYL,G,12,105,12,0,105,7,28,0.25,3,19,0.158,4,9,0.444,6,7,0.857,0,6,11,3,0,8,7,23,/wnba/players/b/biasti01w.html,2019
Monique Billings,ATL,F,29,553,29,2,553,56,144,0.389,1,1,1,55,143,0.385,47,60,0.783,61,201,16,17,12,46,66,160,/wnba/players/b/billimo01w.html,2019
DeWanna Bonner,PHO,F-G,34,1120,34,34,1120,190,504,0.377,52,191,0.272,138,313,0.441,153,167,0.916,34,260,92,44,21,53,55,585,/wnba/players/b/bonnede01w.html,2019
Brittany Boyd,NYL,G,33,649,33,17,649,71,180,0.394,7,23,0.304,64,157,0.408,26,34,0.765,27,121,151,47,4,81,68,175,/wnba/players/b/boydbr01w.html,2019
Imani McGee-Stafford,DAL,C,29,346,29,6,346,51,109,0.468,1,4,0.25,50,105,0.476,9,14,0.643,44,111,18,17,18,34,58,112,/wnba/players/b/boyetim01w.html,2019
Jessica Breland,ATL,F,33,767,33,33,767,104,275,0.378,9,38,0.237,95,237,0.401,29,33,0.879,42,240,55,42,35,38,65,246,/wnba/players/b/brelaje01w.html,2019
Kalani Brown,LAS,C,28,377,28,0,377,54,113,0.478,0,1,0,54,112,0.482,36,46,0.783,34,98,17,9,22,29,47,144,/wnba/players/b/brownka01w.html,2019
Lexie Brown,MIN,G,33,605,33,0,605,84,209,0.402,52,135,0.385,32,74,0.432,30,38,0.789,7,45,47,31,1,41,42,250,/wnba/players/b/brownle02w.html,2019
Kennedy Burke,IND,G-F,31,423,31,7,423,45,117,0.385,14,40,0.35,31,77,0.403,31,44,0.705,18,45,22,18,10,21,30,135,/wnba/players/b/burkeke01w.html,2019
Liz Cambage,LVA,C,32,807,32,30,807,196,389,0.504,2,12,0.167,194,377,0.515,116,155,0.748,63,261,68,19,51,72,88,510,/wnba/players/c/cambael01w.html,2019
Jordin Canada,SEA,G,30,865,30,29,865,112,289,0.388,8,43,0.186,104,246,0.423,63,82,0.768,13,71,155,68,7,79,48,295,/wnba/players/c/canadjo01w.html,2019
Essence Carson,PHO,G,23,425,23,13,425,45,128,0.352,14,41,0.341,31,87,0.356,29,37,0.784,11,51,35,12,8,17,23,133,/wnba/players/c/carsoes01w.html,2019
Arica Carter,PHO,G,6,24,6,0,24,1,5,0.2,0,4,0,1,1,1,0,0,NA,0,0,1,1,0,2,5,2,/wnba/players/c/cartear01w.html,2019
Maite Cazorla,ATL,G,31,477,31,1,477,29,93,0.312,13,55,0.236,16,38,0.421,21,24,0.875,2,21,49,18,1,29,22,92,/wnba/players/c/cazorma01w.html,2019
Tina Charles,NYL,C,33,1028,33,33,1028,220,566,0.389,11,59,0.186,209,507,0.412,108,133,0.812,65,249,78,23,29,85,92,559,/wnba/players/c/charlti01w.html,2019
Karima Christmas-Kelly,MIN,F-G,6,72,6,0,72,5,18,0.278,3,11,0.273,2,7,0.286,3,5,0.6,1,5,6,5,1,4,8,16,/wnba/players/c/chriska02w.html,2019
Layshia Clarendon,CON,G,9,138,9,0,138,18,43,0.419,2,2,1,16,41,0.39,18,21,0.857,7,22,19,3,0,8,7,56,/wnba/players/c/clarela01w.html,2019
Alysha Clark,SEA,F,31,881,31,30,881,114,237,0.481,51,106,0.481,63,131,0.481,18,22,0.818,37,145,79,33,17,48,60,297,/wnba/players/c/clarkal01w.html,2019
Natasha Cloud,WAS,G,34,1093,34,34,1093,110,279,0.394,45,138,0.326,65,141,0.461,41,60,0.683,6,85,189,35,7,65,69,306,/wnba/players/c/cloudna01w.html,2019
Nia Coffey,ATL,F,28,389,28,6,389,47,139,0.338,22,58,0.379,25,81,0.309,23,42,0.548,23,78,12,14,13,21,52,139,/wnba/players/c/coffeni01w.html,2019
Napheesa Collier,MIN,F,34,1131,34,34,1131,167,341,0.49,30,83,0.361,137,258,0.531,80,101,0.792,60,223,87,65,32,65,99,444,/wnba/players/c/collina01w.html,2019
Sydney Colson,LVA,G,33,379,33,0,379,37,84,0.44,9,20,0.45,28,64,0.438,27,33,0.818,2,23,59,31,4,28,40,110,/wnba/players/c/colsosy01w.html,2019
Kahleah Copper,CHI,G-F,34,502,34,0,502,79,204,0.387,15,49,0.306,64,155,0.413,54,70,0.771,12,64,30,14,3,43,51,227,/wnba/players/c/coppeka01w.html,2019
Sophie Cunningham,PHO,G,32,389,32,5,389,28,79,0.354,14,46,0.304,14,33,0.424,30,34,0.882,6,45,25,11,4,20,53,100,/wnba/players/c/cunniso01w.html,2019
Damiris Dantas,MIN,F,26,667,26,26,667,89,206,0.432,42,107,0.393,47,99,0.475,19,26,0.731,28,116,84,19,15,45,74,239,/wnba/players/d/dantada01w.html,2019
Kaela Davis,DAL,F,33,634,33,16,634,76,231,0.329,16,51,0.314,60,180,0.333,29,33,0.879,16,73,69,18,6,73,79,197,/wnba/players/d/daviska01w.html,2019
Elena Delle Donne,WAS,F-G,31,901,31,31,901,220,427,0.515,52,121,0.43,168,306,0.549,114,117,0.974,48,255,68,19,39,30,32,606,/wnba/players/d/delleel01w.html,2019
Diamond DeShields,CHI,G,34,1027,34,34,1027,192,481,0.399,50,158,0.316,142,323,0.44,117,140,0.836,29,187,82,43,14,74,92,551,/wnba/players/d/deshidi01w.html,2019
Blake Dietrick,SEA,G,17,106,17,1,106,1,10,0.1,0,6,0,1,4,0.25,4,6,0.667,1,10,16,3,2,10,14,6,/wnba/players/d/dietrbl01w.html,2019
Stefanie Dolson,CHI,C,34,850,34,34,850,121,233,0.519,30,83,0.361,91,150,0.607,44,49,0.898,41,189,75,21,34,66,125,316,/wnba/players/d/dolsost01w.html,2019
Candice Dupree,IND,F,34,1043,34,34,1043,174,369,0.472,0,3,0,174,366,0.475,47,56,0.839,24,169,86,15,19,52,34,395,/wnba/players/d/dupreca01w.html,2019
AD Durr,NYL,G,18,480,18,15,480,71,152,0.467,15,51,0.294,56,101,0.554,18,22,0.818,5,29,31,10,7,21,34,175,/wnba/players/d/durras01w.html,2019
Temi Fagbenle,MIN,C,18,271,18,0,271,42,81,0.519,1,6,0.167,41,75,0.547,13,18,0.722,22,52,15,6,6,32,41,98,/wnba/players/f/fagbete01w.html,2019
Jamierra Faulkner,CHI,G,13,72,13,0,72,6,18,0.333,1,9,0.111,5,9,0.556,4,8,0.5,2,4,11,2,0,5,8,17,/wnba/players/f/faulkja01w.html,2019
Sylvia Fowles,MIN,C,34,1003,34,34,1003,197,335,0.588,0,0,NA,197,335,0.588,70,99,0.707,92,302,51,32,47,68,88,464,/wnba/players/f/fowlesy01w.html,2019
Allisha Gray,DAL,G,34,1035,34,29,1035,117,256,0.457,33,86,0.384,84,170,0.494,95,112,0.848,45,141,78,42,14,49,87,362,/wnba/players/g/grayal01w.html,2019
Chelsea Gray,LAS,G,34,1108,34,34,1108,188,452,0.416,50,131,0.382,138,321,0.43,66,72,0.917,14,128,202,33,3,108,49,492,/wnba/players/g/graych01w.html,2019
Reshanda Gray,NYL,F,34,519,34,10,519,71,150,0.473,1,2,0.5,70,148,0.473,35,62,0.565,62,176,18,16,7,42,113,178,/wnba/players/g/grayre01w.html,2019
Brittney Griner,PHO,C,31,1018,31,31,1018,270,479,0.564,1,3,0.333,269,476,0.565,101,125,0.808,51,222,75,22,62,76,85,642,/wnba/players/g/grinebr01w.html,2019
Marie Gulich,ATL,C,31,349,31,1,349,39,108,0.361,8,25,0.32,31,83,0.373,16,22,0.727,35,85,19,5,24,32,62,102,/wnba/players/g/gulima01w.html,2019
Megan Gustafson,DAL,C,25,238,25,0,238,27,55,0.491,1,9,0.111,26,46,0.565,18,20,0.9,20,63,7,4,6,10,26,73,/wnba/players/g/gustame01w.html,2019
Dearica Hamby,LVA,F,34,842,34,9,842,141,289,0.488,17,53,0.321,124,236,0.525,74,103,0.718,76,257,65,33,12,61,71,373,/wnba/players/h/hambyde01w.html,2019
Isabelle Harrison,DAL,F,31,794,31,29,794,110,241,0.456,0,6,0,110,235,0.468,48,67,0.716,72,181,42,35,25,48,80,268,/wnba/players/h/harriis01w.html,2019
Bria Hartley,NYL,G,24,545,24,18,545,79,210,0.376,24,73,0.329,55,137,0.401,53,66,0.803,18,77,76,18,1,50,55,235,/wnba/players/h/hartlbr01w.html,2019
Tianna Hawkins,WAS,F,31,477,31,1,477,113,220,0.514,33,91,0.363,80,129,0.62,37,40,0.925,47,129,23,14,4,35,77,296,/wnba/players/h/hawkiti01w.html,2019
Tiffany Hayes,ATL,G,29,817,29,29,817,147,374,0.393,36,117,0.308,111,257,0.432,97,127,0.764,21,87,82,29,8,70,71,427,/wnba/players/h/hayesti01w.html,2019
Natisha Hiedeman,CON,G,20,205,20,0,205,24,58,0.414,13,28,0.464,11,30,0.367,12,24,0.5,7,30,38,8,2,13,25,73,/wnba/players/h/hiedena01w.html,2019
Tayler Hill,DAL,G,4,49,4,2,49,4,13,0.308,1,6,0.167,3,7,0.429,4,5,0.8,2,5,3,1,0,0,4,13,/wnba/players/h/hillta01w.html,2019
Myisha Hines-Allen,WAS,F,27,211,27,0,211,25,69,0.362,6,16,0.375,19,53,0.358,7,12,0.583,25,58,24,9,11,21,32,63,/wnba/players/h/hinesmy01w.html,2019
Bria Holmes,CON,G,34,529,34,0,529,77,193,0.399,20,63,0.317,57,130,0.438,39,58,0.672,10,49,31,16,7,30,36,213,/wnba/players/h/holmebr01w.html,2019
Anriel Howard,SEA,F,3,20,3,0,20,2,5,0.4,1,2,0.5,1,3,0.333,0,0,NA,2,3,0,1,0,2,4,5,/wnba/players/h/howaran01w.html,2019
Natasha Howard,SEA,F,34,1066,34,34,1066,227,517,0.439,32,104,0.308,195,413,0.472,128,158,0.81,92,279,72,74,59,99,100,614,/wnba/players/h/howarna01w.html,2019
Chloe Jackson,CHI,G,8,32,8,0,32,2,9,0.222,0,0,NA,2,9,0.222,1,6,0.167,3,6,4,5,0,6,1,5,/wnba/players/j/jacksch01w.html,2019
Briann January,PHO,G,32,852,32,26,852,71,182,0.39,31,82,0.378,40,100,0.4,36,43,0.837,6,42,103,26,3,54,67,209,/wnba/players/j/januabr01w.html,2019
Marine Johannes,NYL,G,19,345,19,0,345,48,110,0.436,25,66,0.379,23,44,0.523,15,19,0.789,9,34,46,8,3,22,30,136,/wnba/players/j/johanma01w.html,2019
Glory Johnson,DAL,F,28,676,28,19,676,78,214,0.364,35,103,0.34,43,111,0.387,14,24,0.583,27,144,39,39,18,28,45,205,/wnba/players/j/johnsgl01w.html,2019
Shenise Johnson,IND,G,17,219,17,0,219,30,90,0.333,8,33,0.242,22,57,0.386,15,16,0.938,11,35,18,12,2,12,17,83,/wnba/players/j/johnssh02w.html,2019
Alexis Jones,LAS,G,20,243,20,1,243,28,70,0.4,11,33,0.333,17,37,0.459,12,15,0.8,2,22,36,6,4,27,29,79,/wnba/players/j/jonesal01w.html,2019
Brionna Jones,CON,F,27,227,27,0,227,35,75,0.467,0,1,0,35,74,0.473,24,36,0.667,37,59,9,9,7,19,36,94,/wnba/players/j/jonesbr01w.html,2019
Jonquel Jones,CON,F,34,980,34,34,980,173,386,0.448,43,139,0.309,130,247,0.526,108,132,0.818,113,330,52,43,68,66,96,497,/wnba/players/j/jonesjo01w.html,2019
Paris Kea,IND,G,11,60,11,0,60,11,27,0.407,5,9,0.556,6,18,0.333,2,4,0.5,1,5,6,1,2,9,4,29,/wnba/players/k/keapa01w.html,2019
Betnijah Laney,IND,G-F,34,877,34,27,877,77,213,0.362,20,66,0.303,57,147,0.388,18,31,0.581,32,143,59,48,4,49,55,192,/wnba/players/l/laneybe01w.html,2019
Crystal Langhorne,SEA,F-C,34,577,34,4,577,70,171,0.409,18,57,0.316,52,114,0.456,33,44,0.75,27,106,33,10,9,43,35,191,/wnba/players/l/langhcr01w.html,2019
Jantel Lavender,CHI,F,23,619,23,22,619,103,210,0.49,6,27,0.222,97,183,0.53,19,21,0.905,46,158,26,7,13,32,34,231,/wnba/players/l/lavenja01w.html,2019
Camille Little,PHO,F,29,425,29,0,425,40,92,0.435,7,21,0.333,33,71,0.465,25,31,0.806,19,69,23,11,8,25,51,112,/wnba/players/l/littlca01w.html,2019
Jewell Loyd,SEA,G,27,686,27,21,686,117,299,0.391,34,101,0.337,83,198,0.419,64,69,0.928,11,74,54,35,3,52,33,332,/wnba/players/l/loydje01w.html,2019
Sancho Lyttle,PHO,F,20,250,20,2,250,26,62,0.419,1,4,0.25,25,58,0.431,5,8,0.625,14,58,6,12,5,12,27,58,/wnba/players/l/lyttlsa01w.html,2019
Marina Mabrey,LAS,G,31,355,31,0,355,45,131,0.344,21,77,0.273,24,54,0.444,14,16,0.875,6,38,30,19,7,24,23,125,/wnba/players/m/mabrema01w.html,2019
Victoria Macaulay,CHI,C,5,22,5,0,22,2,5,0.4,0,0,NA,2,5,0.4,2,2,1,1,4,0,2,1,0,3,6,/wnba/players/m/macauvi01w.html,2019
Stephanie Mavunga,IND,F,24,204,24,0,204,24,47,0.511,0,1,0,24,46,0.522,12,17,0.706,21,56,4,6,7,10,39,60,/wnba/players/m/mavunst01w.html,2019
Kayla McBride,LVA,G,34,990,34,34,990,152,358,0.425,62,145,0.428,90,213,0.423,87,96,0.906,22,141,88,41,3,59,46,453,/wnba/players/m/mcbrika01w.html,2019
Erica McCall,IND,F,15,104,15,0,104,3,22,0.136,0,0,NA,3,22,0.136,8,8,1,11,27,6,1,6,3,13,14,/wnba/players/m/mccaler01w.html,2019
Brooke McCarty-Williams,DAL,G,34,447,34,3,447,26,90,0.289,18,50,0.36,8,40,0.2,11,12,0.917,10,45,64,16,1,29,42,81,/wnba/players/m/mccarbr01w.html,2019
Angel McCoughtry,ATL,F-G,1,0,1,1,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,/wnba/players/m/mccouan01w.html,2019
Teaira McCowan,IND,C,34,752,34,16,752,119,230,0.517,0,0,NA,119,230,0.517,103,150,0.687,108,305,8,20,44,44,110,341,/wnba/players/m/mccowte01w.html,2019
Emma Meesseman,WAS,F,23,543,23,6,543,122,221,0.552,19,45,0.422,103,176,0.585,38,42,0.905,27,97,73,20,15,22,41,301,/wnba/players/m/meessem01w.html,2019
Kim Mestdagh,WAS,G,15,71,15,0,71,7,18,0.389,6,15,0.4,1,3,0.333,2,2,1,1,4,6,2,0,6,5,22,/wnba/players/m/mestdki01w.html,2019
Kelsey Mitchell,IND,G,34,852,34,20,852,167,432,0.387,79,211,0.374,88,221,0.398,51,61,0.836,4,56,90,15,4,57,57,464,/wnba/players/m/mitchke01w.html,2019
Leilani Mitchell,PHO,G,32,971,32,27,971,134,304,0.441,74,172,0.43,60,132,0.455,68,82,0.829,16,96,128,30,10,58,78,410,/wnba/players/m/mitchle01w.html,2019
Tiffany Mitchell,IND,G,33,831,33,14,831,109,286,0.381,20,69,0.29,89,217,0.41,83,93,0.892,22,95,71,19,3,55,83,321,/wnba/players/m/mitchti01w.html,2019
Renee Montgomery,ATL,G,34,949,34,34,949,107,289,0.37,68,210,0.324,39,79,0.494,42,51,0.824,9,74,90,31,6,64,51,324,/wnba/players/m/montgre01w.html,2019
Kaleena Mosqueda-Lewis,SEA,F,31,435,31,4,435,65,163,0.399,28,82,0.341,37,81,0.457,14,14,1,9,36,16,8,5,36,40,172,/wnba/players/m/mosquka01w.html,2019
Jaime Nared,LVA,G-F,1,1,1,0,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,/wnba/players/n/naredja01w.html,2019
Astou Ndour,CHI,C-F,21,368,21,11,368,58,118,0.492,14,33,0.424,44,85,0.518,13,18,0.722,30,88,14,10,14,14,36,143,/wnba/players/n/ndouras01w.html,2019
Kia Nurse,NYL,G,34,1001,34,34,1001,142,361,0.393,65,184,0.353,77,177,0.435,116,133,0.872,19,85,78,25,4,56,60,465,/wnba/players/n/nurseki01w.html,2019
Arike Ogunbowale,DAL,G,33,1059,33,28,1059,214,551,0.388,57,162,0.352,157,389,0.404,145,178,0.815,20,80,106,35,1,68,85,630,/wnba/players/o/ogunbar01w.html,2019
Chiney Ogwumike,LAS,F-C,32,697,32,14,697,125,253,0.494,1,4,0.25,124,249,0.498,55,68,0.809,81,184,25,33,23,42,110,306,/wnba/players/o/ogwumch01w.html,2019
Nneka Ogwumike,LAS,F,32,892,32,32,892,207,406,0.51,23,68,0.338,184,338,0.544,77,93,0.828,73,282,58,60,15,58,92,514,/wnba/players/o/ogwumnn01w.html,2019
Courtney Paris,SEA,C,30,190,30,0,190,6,15,0.4,0,0,NA,6,15,0.4,3,7,0.429,13,52,13,8,3,9,18,15,/wnba/players/p/parisco01w.html,2019
Candace Parker,LAS,F-C,22,571,22,22,571,89,211,0.422,16,60,0.267,73,151,0.483,53,67,0.791,24,140,76,23,17,54,39,247,/wnba/players/p/parkeca01w.html,2019
Cheyenne Parker,CHI,F,34,670,34,0,670,107,233,0.459,5,18,0.278,102,215,0.474,80,95,0.842,62,197,30,25,42,45,81,299,/wnba/players/p/parkech01w.html,2019
JiSu Park,LVA,C,25,163,25,0,163,8,37,0.216,0,1,0,8,36,0.222,4,9,0.444,10,27,10,5,4,7,23,20,/wnba/players/p/parkji01w.html,2019
Shey Peddy,WAS,G,15,71,15,0,71,8,13,0.615,4,8,0.5,4,5,0.8,6,6,1,1,9,8,4,0,3,8,26,/wnba/players/p/peddysh01w.html,2019
Haley Peters,ATL,F,4,26,4,0,26,0,7,0,0,0,NA,0,7,0,2,2,1,1,2,1,1,1,4,3,2,/wnba/players/p/peterha01w.html,2019
Kelsey Plum,LVA,G,34,868,34,30,868,107,293,0.365,45,125,0.36,62,168,0.369,34,39,0.872,15,97,102,27,4,53,76,293,/wnba/players/p/plumke01w.html,2019
Aerial Powers,WAS,F-G,30,593,30,7,593,108,249,0.434,42,116,0.362,66,133,0.496,85,98,0.867,34,97,45,25,6,44,48,343,/wnba/players/p/powerae01w.html,2019
Epiphanny Prince,LVA,G,3,28,3,0,28,5,10,0.5,3,7,0.429,2,3,0.667,0,0,NA,1,2,3,1,1,0,5,13,/wnba/players/p/princep01w.html,2019
LaToya Sanders,WAS,F-C,34,804,34,34,804,87,172,0.506,0,0,NA,87,172,0.506,33,37,0.892,44,186,66,30,47,30,71,207,/wnba/players/p/pringla01w.html,2019
Allie Quigley,CHI,G,34,972,34,34,972,171,347,0.493,80,181,0.442,91,166,0.548,47,54,0.87,13,101,85,27,7,46,61,469,/wnba/players/q/quiglal01w.html,2019
Nayo Raincock-Ekunwe,NYL,F,28,367,28,1,367,43,79,0.544,1,3,0.333,42,76,0.553,16,25,0.64,39,77,12,8,4,22,43,103,/wnba/players/r/raincna01w.html,2019
Danielle Robinson,MIN,G,34,919,34,25,919,138,316,0.437,9,41,0.22,129,275,0.469,58,66,0.879,22,118,125,42,7,70,61,343,/wnba/players/r/robinda01w.html,2019
Sugar Rodgers,LVA,G,33,382,33,0,382,40,111,0.36,30,84,0.357,10,27,0.37,3,5,0.6,4,48,39,13,12,27,37,113,/wnba/players/r/rodgesu01w.html,2019
Tierra Ruffin-Pratt,LAS,G,34,856,34,33,856,72,196,0.367,25,73,0.342,47,123,0.382,35,41,0.854,20,83,57,26,20,29,91,204,/wnba/players/r/ruffiti01w.html,2019
Mercedes Russell,SEA,C,34,870,34,30,870,106,204,0.52,0,0,NA,106,204,0.52,42,65,0.646,81,207,35,37,17,33,85,254,/wnba/players/r/russeme01w.html,2019
Katie Lou Samuelson,CHI,F,20,153,20,0,153,12,38,0.316,8,29,0.276,4,9,0.444,16,20,0.8,4,17,7,6,2,5,15,48,/wnba/players/s/samueka02w.html,2019
Jessica Shepard,MIN,F,6,112,6,0,112,11,29,0.379,1,7,0.143,10,22,0.455,6,8,0.75,9,34,21,2,1,15,9,29,/wnba/players/s/shepaje01w.html,2019
Odyssey Sims,MIN,G,34,1083,34,34,1083,189,455,0.415,25,93,0.269,164,362,0.453,89,112,0.795,24,114,185,46,4,112,68,492,/wnba/players/s/simsod01w.html,2019
Alanna Smith,PHO,F,18,134,18,0,134,8,41,0.195,2,18,0.111,6,23,0.261,1,2,0.5,11,35,4,5,5,8,18,19,/wnba/players/s/smithal01w.html,2019
Azura Stevens,DAL,F-C,9,144,9,1,144,19,53,0.358,1,9,0.111,18,44,0.409,4,5,0.8,15,32,5,5,10,9,12,43,/wnba/players/s/steveaz01w.html,2019
