player,team,pos,g,mp,g_2,gs,mp_2,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,trb,ast,stl,blk,tov,pf,pts,link,season
Kaela Davis,DAL,F,27,453,27,6,453,50,144,0.347,10,41,0.244,40,103,0.388,25,39,0.641,13,55,37,9,1,35,57,135,/wnba/players/d/daviska01w.html,2018
Elena Delle Donne,WAS,F-G,29,933,29,29,933,220,451,0.488,49,121,0.405,171,330,0.518,110,124,0.887,43,210,67,26,40,27,49,599,/wnba/players/d/delleel01w.html,2018
Diamond DeShields,CHI,G,34,967,34,33,967,166,391,0.425,40,122,0.328,126,269,0.468,117,140,0.836,37,167,74,37,10,70,74,489,/wnba/players/d/deshidi01w.html,2018
Blake Dietrick,ATL,G,26,186,26,0,186,12,35,0.343,9,23,0.391,3,12,0.25,4,6,0.667,2,14,11,7,0,12,21,37,/wnba/players/d/dietrbl01w.html,2018
Skylar Diggins-Smith,DAL,G,32,1092,32,32,1092,186,461,0.403,51,172,0.297,135,289,0.467,151,180,0.839,21,107,199,46,17,81,73,574,/wnba/players/d/diggisk01w.html,2018
Stefanie Dolson,CHI,C,27,745,27,25,745,107,229,0.467,18,52,0.346,89,177,0.503,30,32,0.938,20,124,81,15,24,48,81,262,/wnba/players/d/dolsost01w.html,2018
Candice Dupree,IND,F,32,1006,32,32,1006,198,406,0.488,0,1,0,198,405,0.489,59,72,0.819,37,206,54,30,11,51,55,455,/wnba/players/d/dupreca01w.html,2018
Adaora Elonu,ATL,F,1,1,1,0,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,/wnba/players/e/elonuad01w.html,2018
Temi Fagbenle,MIN,C,30,283,30,2,283,39,77,0.506,0,0,NA,39,77,0.506,16,23,0.696,28,60,17,8,9,22,35,94,/wnba/players/f/fagbete01w.html,2018
Jamierra Faulkner,CHI,G,17,360,17,0,360,46,134,0.343,19,63,0.302,27,71,0.38,18,24,0.75,5,24,67,8,2,35,27,129,/wnba/players/f/faulkja01w.html,2018
Sylvia Fowles,MIN,C,34,1087,34,34,1087,237,383,0.619,0,0,NA,237,383,0.619,128,169,0.757,122,404,74,49,42,103,103,602,/wnba/players/f/fowlesy01w.html,2018
Cayla George,DAL,C,23,245,23,1,245,34,78,0.436,12,39,0.308,22,39,0.564,3,6,0.5,15,64,16,2,5,14,31,83,/wnba/players/f/francca01w.html,2018
Allisha Gray,DAL,G,34,907,34,34,907,100,248,0.403,30,111,0.27,70,137,0.511,82,95,0.863,40,115,82,44,8,47,76,312,/wnba/players/g/grayal01w.html,2018
Chelsea Gray,LAS,G,34,1111,34,34,1111,193,399,0.484,38,97,0.392,155,302,0.513,81,97,0.835,17,116,175,48,6,80,65,505,/wnba/players/g/graych01w.html,2018
Brittney Griner,PHO,C,34,1108,34,34,1108,266,489,0.544,1,4,0.25,265,485,0.546,164,205,0.8,63,262,70,17,87,80,110,697,/wnba/players/g/grinebr01w.html,2018
Marie Gulich,PHO,C,23,115,23,0,115,14,29,0.483,0,0,NA,14,29,0.483,6,8,0.75,9,22,2,1,6,13,18,34,/wnba/players/g/gulima01w.html,2018
Jazmon Gwathmey,IND,G,10,116,10,3,116,9,39,0.231,1,11,0.091,8,28,0.286,5,10,0.5,2,17,9,3,2,7,14,24,/wnba/players/g/gwathja01w.html,2018
Dearica Hamby,LVA,F,33,474,33,0,474,92,175,0.526,13,45,0.289,79,130,0.608,46,62,0.742,37,119,41,24,9,37,67,243,/wnba/players/h/hambyde01w.html,2018
Linnae Harper,CHI,G,24,146,24,0,146,19,47,0.404,4,13,0.308,15,34,0.441,6,10,0.6,4,18,24,5,1,10,15,48,/wnba/players/h/harpeli01w.html,2018
Amber Harris,CHI,F,1,2,1,0,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,/wnba/players/h/harriam01w.html,2018
Bria Hartley,NYL,G,34,806,34,20,806,103,265,0.389,36,117,0.308,67,148,0.453,46,65,0.708,25,100,121,29,2,68,75,288,/wnba/players/h/hartlbr01w.html,2018
Tianna Hawkins,WAS,F,32,532,32,4,532,81,183,0.443,25,70,0.357,56,113,0.496,14,17,0.824,36,113,24,17,12,36,79,201,/wnba/players/h/hawkiti01w.html,2018
Tiffany Hayes,ATL,G,31,897,31,29,897,177,401,0.441,42,131,0.321,135,270,0.5,138,169,0.817,28,112,83,36,7,50,65,534,/wnba/players/h/hayesti01w.html,2018
Myisha Hines-Allen,WAS,F,24,252,24,1,252,36,80,0.45,1,3,0.333,35,77,0.455,17,26,0.654,29,69,10,9,4,9,37,90,/wnba/players/h/hinesmy01w.html,2018
Sequoia Holmes,LVA,G,3,20,3,0,20,2,3,0.667,0,0,NA,2,3,0.667,0,1,0,1,2,2,1,2,2,1,4,/wnba/players/h/holmese01w.html,2018
Chelsea Hopkins,CHI,G,4,58,4,4,58,3,6,0.5,0,0,NA,3,6,0.5,1,1,1,0,13,8,2,0,7,2,7,/wnba/players/h/hopkich01w.html,2018
Natasha Howard,SEA,F,34,869,34,33,869,175,320,0.547,17,52,0.327,158,268,0.59,83,104,0.798,80,219,33,44,67,64,126,450,/wnba/players/h/howarna01w.html,2018
Briann January,PHO,G,33,895,33,33,895,77,182,0.423,47,100,0.47,30,82,0.366,29,36,0.806,14,68,109,19,4,46,76,230,/wnba/players/j/januabr01w.html,2018
Moriah Jefferson,LVA,G,16,251,16,0,251,33,87,0.379,3,15,0.2,30,72,0.417,17,21,0.81,5,21,34,10,0,16,21,86,/wnba/players/j/jeffemo01w.html,2018
Glory Johnson,DAL,F,29,652,29,17,652,85,204,0.417,17,54,0.315,68,150,0.453,46,59,0.78,47,173,39,29,14,39,61,233,/wnba/players/j/johnsgl01w.html,2018
Alexis Jones,MIN,G,26,229,26,0,229,32,91,0.352,16,50,0.32,16,41,0.39,6,8,0.75,5,23,18,3,2,17,26,86,/wnba/players/j/jonesal01w.html,2018
Brionna Jones,CON,F,27,242,27,0,242,30,64,0.469,0,0,NA,30,64,0.469,24,33,0.727,24,53,6,6,6,16,37,84,/wnba/players/j/jonesbr01w.html,2018
Jonquel Jones,CON,F,34,697,34,16,697,149,271,0.55,50,107,0.467,99,164,0.604,53,79,0.671,71,188,57,15,42,55,99,401,/wnba/players/j/jonesjo01w.html,2018
Lynetta Kizer,MIN,F,14,78,14,0,78,8,33,0.242,0,3,0,8,30,0.267,6,10,0.6,6,21,8,2,0,5,15,22,/wnba/players/k/kizerly01w.html,2018
Betnijah Laney,CON,G-F,29,271,29,0,271,33,70,0.471,1,9,0.111,32,61,0.525,10,11,0.909,20,50,21,11,0,16,20,77,/wnba/players/l/laneybe01w.html,2018
Crystal Langhorne,SEA,F-C,26,362,26,1,362,52,104,0.5,0,4,0,52,100,0.52,16,18,0.889,17,77,9,8,4,24,22,120,/wnba/players/l/langhcr01w.html,2018
Erlana Larkins,MIN,F,13,168,13,0,168,12,27,0.444,0,0,NA,12,27,0.444,3,3,1,13,35,17,9,2,9,21,27,/wnba/players/l/larkier01w.html,2018
Jantel Lavender,LAS,F,30,511,30,7,511,68,159,0.428,3,16,0.188,65,143,0.455,18,20,0.9,34,111,22,13,7,30,41,157,/wnba/players/l/lavenja01w.html,2018
Breanna Lewis,DAL,C,6,26,6,0,26,3,10,0.3,0,0,NA,3,10,0.3,1,1,1,3,7,0,0,1,3,6,7,/wnba/players/l/lewisbr01w.html,2018
