player,tm,pos,g,mp,g_2,mp_2,fgpercent,distance,fga_2p,fga_0_3,fga_3_10,fga_10_16,fga_16_3p,fga_3p,fg_2p,fg_0_3,fg_3_10,fg_10_16,fg_16_3p,fg_3p,fg_2p_asst,fg_3p_asst,corner_3s_attempt,corner_3s_percent,link,season
A'ja Wilson,LVA,F,33,1010,33,1010,0.462,9.8,1,0.136,0.357,0.387,0.121,0,0.462,0.639,0.46,0.39,0.5,NA,0.771,NA,NA,NA,/wnba/players/w/wilsoa01w.html,2018
Tamera Young,LVA,F,33,881,33,881,0.408,11.8,0.959,0.165,0.203,0.313,0.278,0.041,0.413,0.577,0.375,0.394,0.364,0.308,0.576,1,0,NA,/wnba/players/y/youngta01w.html,2018
Sue Bird,SEA,G,31,824,31,824,0.466,19.9,0.457,0.049,0.057,0.126,0.227,0.543,0.487,1,0.571,0.581,0.304,0.448,0.418,0.75,0.097,0.615,/wnba/players/b/birdsu01w.html,2018
Jordin Canada,SEA,G,33,543,33,543,0.357,15.2,0.698,0.225,0.154,0.121,0.198,0.302,0.433,0.634,0.464,0.227,0.306,0.182,0.236,0.5,0.073,0.25,/wnba/players/c/canadjo01w.html,2018
Alysha Clark,SEA,F,31,813,31,813,0.48,13.9,0.572,0.26,0.179,0.064,0.069,0.428,0.545,0.733,0.484,0.364,0.167,0.392,0.63,1,0.405,0.4,/wnba/players/c/clarkal01w.html,2018
Natasha Howard,SEA,F,34,869,34,869,0.547,8.8,0.838,0.381,0.3,0.1,0.056,0.163,0.59,0.713,0.542,0.5,0.167,0.327,0.703,0.941,0,NA,/wnba/players/h/howarna01w.html,2018
Crystal Langhorne,SEA,F-C,26,362,26,362,0.5,9.5,0.962,0.317,0.288,0.058,0.298,0.038,0.52,0.758,0.533,0.5,0.258,0,0.538,NA,0,NA,/wnba/players/l/langhcr01w.html,2018
Jewell Loyd,SEA,G,34,1010,34,1010,0.423,16.3,0.579,0.16,0.123,0.105,0.191,0.421,0.462,0.71,0.453,0.333,0.329,0.37,0.339,0.806,0.21,0.447,/wnba/players/l/loydje01w.html,2018
Kaleena Mosqueda-Lewis,SEA,F,33,442,33,442,0.412,19.6,0.453,0.054,0.061,0.074,0.264,0.547,0.403,1,0.556,0.455,0.231,0.42,0.778,0.941,0.358,0.448,/wnba/players/m/mosquka01w.html,2018
Courtney Paris,SEA,C,34,360,34,360,0.533,3.7,0.983,0.65,0.283,0.017,0.033,0.017,0.542,0.641,0.353,1,0,0,0.781,NA,0,NA,/wnba/players/p/parisco01w.html,2018
Noelle Quinn,SEA,G,20,181,20,181,0.302,19.6,0.605,0,0.047,0.163,0.395,0.395,0.346,NA,0,0.286,0.412,0.235,0.444,1,0.118,0,/wnba/players/q/quinnno01w.html,2018
Breanna Stewart,SEA,F,34,1074,34,1074,0.529,12.9,0.712,0.216,0.253,0.141,0.102,0.288,0.576,0.764,0.581,0.472,0.308,0.415,0.699,0.984,0.095,0.357,/wnba/players/s/stewabr01w.html,2018
Sami Whitcomb,SEA,G,31,265,31,265,0.349,21.8,0.198,0.047,0.07,0.023,0.058,0.802,0.294,0.5,0.167,1,0,0.362,0,0.84,0.203,0.286,/wnba/players/w/whitcsa01w.html,2018
Liz Cambage,DAL,C,32,945,32,945,0.589,7.1,0.922,0.451,0.305,0.104,0.061,0.078,0.611,0.779,0.472,0.49,0.276,0.324,0.628,1,0,NA,/wnba/players/c/cambael01w.html,2018
Saniya Chong,DAL,G,5,43,5,43,0.167,13.4,0.833,0.333,0,0,0.5,0.167,0.2,0.5,NA,NA,0,0,1,NA,0,NA,/wnba/players/c/chongsa01w.html,2018
Karima Christmas-Kelly,DAL,F-G,6,167,6,167,0.448,10.9,0.69,0.345,0.207,0.103,0.034,0.31,0.45,0.6,0.333,0,1,0.444,0.556,0.5,0.111,0,/wnba/players/c/chriska02w.html,2018
Kaela Davis,DAL,F,27,453,27,453,0.347,14.3,0.715,0.25,0.132,0.104,0.229,0.285,0.388,0.5,0.316,0.267,0.364,0.244,0.475,0.9,0.146,0,/wnba/players/d/daviska01w.html,2018
Skylar Diggins-Smith,DAL,G,32,1092,32,1092,0.403,13.8,0.627,0.26,0.18,0.108,0.078,0.373,0.467,0.658,0.325,0.34,0.333,0.297,0.23,0.549,0.081,0.571,/wnba/players/d/diggisk01w.html,2018
Cayla George,DAL,C,23,245,23,245,0.436,17.3,0.5,0.167,0.051,0.154,0.128,0.5,0.564,0.692,0.25,0.583,0.5,0.308,0.818,1,0.154,0.5,/wnba/players/f/francca01w.html,2018
Allisha Gray,DAL,G,34,907,34,907,0.403,14.4,0.552,0.282,0.157,0.048,0.065,0.448,0.511,0.657,0.333,0.25,0.5,0.27,0.457,0.933,0.234,0.077,/wnba/players/g/grayal01w.html,2018
Glory Johnson,DAL,F,29,652,29,652,0.417,12.5,0.735,0.294,0.162,0.113,0.167,0.265,0.453,0.517,0.424,0.391,0.412,0.315,0.662,0.882,0.056,0.333,/wnba/players/j/johnsgl01w.html,2018
Breanna Lewis,DAL,C,6,26,6,26,0.3,2.7,1,0.7,0.3,0,0,0,0.3,0.429,0,NA,NA,NA,0.333,NA,NA,NA,/wnba/players/l/lewisbr01w.html,2018
Theresa Plaisance,DAL,F,7,81,7,81,0.389,17.3,0.472,0.139,0.111,0.139,0.083,0.528,0.294,0.2,0.25,0.4,0.333,0.474,0.6,1,0.053,0,/wnba/players/p/plaisth01w.html,2018
Leticia Romero,DAL,G,21,146,21,146,0.313,15,0.688,0,0.375,0.25,0.063,0.313,0.364,NA,0.5,0.25,0,0.2,0,1,0.2,1,/wnba/players/r/romerle01w.html,2018
Azura Stevens,DAL,F-C,34,700,34,700,0.43,12.9,0.659,0.287,0.178,0.124,0.07,0.341,0.488,0.649,0.457,0.313,0.222,0.318,0.518,1,0.136,0.333,/wnba/players/s/steveaz01w.html,2018
Kayla Thornton,DAL,F,34,971,34,971,0.447,15.1,0.525,0.263,0.11,0.067,0.086,0.475,0.53,0.687,0.357,0.471,0.318,0.355,0.62,0.907,0.256,0.452,/wnba/players/t/thornka01w.html,2018
Ariel Atkins,WAS,G,29,652,29,652,0.432,17.1,0.547,0.115,0.122,0.129,0.18,0.453,0.493,0.688,0.5,0.5,0.36,0.357,0.52,0.889,0.167,0.381,/wnba/players/a/atkinar01w.html,2018
Natasha Cloud,WAS,G,27,715,27,715,0.436,15.5,0.593,0.211,0.142,0.093,0.147,0.407,0.471,0.605,0.379,0.368,0.433,0.386,0.211,0.875,0.12,0.4,/wnba/players/c/cloudna01w.html,2018
Monique Currie,WAS,F,32,508,32,508,0.395,15.3,0.663,0.186,0.122,0.151,0.203,0.337,0.447,0.5,0.333,0.577,0.371,0.293,0.588,0.882,0.121,0.857,/wnba/players/c/currimo01w.html,2018
Elena Delle Donne,WAS,F-G,29,933,29,933,0.488,14,0.732,0.142,0.206,0.273,0.111,0.268,0.518,0.703,0.538,0.472,0.36,0.405,0.462,0.898,0.025,1,/wnba/players/d/delleel01w.html,2018
Tianna Hawkins,WAS,F,32,532,32,532,0.443,13.1,0.617,0.29,0.197,0.06,0.071,0.383,0.496,0.642,0.333,0.455,0.385,0.357,0.625,1,0.071,0.6,/wnba/players/h/hawkiti01w.html,2018
Myisha Hines-Allen,WAS,F,24,252,24,252,0.45,8.7,0.963,0.3,0.275,0.238,0.15,0.038,0.455,0.583,0.455,0.263,0.5,0.333,0.286,1,0.333,1,/wnba/players/h/hinesmy01w.html,2018
LaToya Sanders,WAS,F-C,28,686,28,686,0.607,10.5,0.995,0.262,0.141,0.356,0.236,0.005,0.611,0.68,0.704,0.574,0.533,0,0.853,NA,0,NA,/wnba/players/p/pringla01w.html,2018
Tierra Ruffin-Pratt,WAS,G,33,598,33,598,0.341,14.9,0.689,0.165,0.122,0.262,0.14,0.311,0.354,0.481,0.1,0.302,0.522,0.314,0.425,1,0.078,0.25,/wnba/players/r/ruffiti01w.html,2018
Krystal Thomas,WAS,C,24,237,24,237,0.429,5.3,1,0.548,0.238,0.143,0.071,0,0.429,0.609,0.1,0,1,NA,0.5,NA,NA,NA,/wnba/players/t/thomakr01w.html,2018
Kristi Toliver,WAS,G,33,1087,33,1087,0.433,19.7,0.419,0.081,0.084,0.116,0.137,0.581,0.535,0.714,0.552,0.575,0.383,0.36,0.221,0.639,0.07,0.643,/wnba/players/t/tolivkr01w.html,2018
Shatori Walker-Kimbrough,WAS,G,19,168,19,168,0.429,16.5,0.589,0.179,0.089,0.036,0.286,0.411,0.515,0.7,0.8,0.5,0.313,0.304,0.353,1,0.261,0.333,/wnba/players/w/walkesh01w.html,2018
Alex Bentley,TOT,G,35,745,35,745,0.387,18.3,0.616,0.091,0.042,0.193,0.29,0.384,0.436,0.7,0.357,0.406,0.385,0.307,0.225,0.564,0.134,0.471,/wnba/players/b/bentlal01w.html,2018
Layshia Clarendon,TOT,G,33,549,33,549,0.401,11.5,0.859,0.239,0.239,0.211,0.169,0.141,0.451,0.559,0.5,0.4,0.292,0.1,0.4,1,0.3,0.167,/wnba/players/c/clarela01w.html,2018
Tayler Hill,TOT,G,20,235,20,235,0.286,18.1,0.464,0.083,0.167,0.071,0.143,0.536,0.282,0.286,0.143,0.5,0.333,0.289,0.364,0.846,0.2,0.333,/wnba/players/h/hillta01w.html,2018
Maggie Lucas,TOT,G,8,56,8,56,0.063,21.6,0.188,0,0.063,0.063,0.063,0.813,0,NA,0,0,0,0.077,NA,1,0.308,0.25,/wnba/players/l/lucasma01w.html,2018
Teana Muldrow,TOT,F,4,9,4,9,0,27.4,0,0,0,0,0,1,NA,NA,NA,NA,NA,0,NA,NA,0,NA,/wnba/players/m/muldrte01w.html,2018
Cappie Pondexter,TOT,G,30,545,30,545,0.381,14.4,0.865,0.175,0.085,0.197,0.408,0.135,0.383,0.564,0.316,0.386,0.319,0.367,0.311,0.818,0.2,0.5,/wnba/players/p/pondeca01w.html,2018
Aerial Powers,TOT,F-G,24,345,24,345,0.393,15.8,0.639,0.123,0.189,0.115,0.213,0.361,0.462,0.8,0.565,0.143,0.346,0.273,0.25,0.833,0.136,0.333,/wnba/players/p/powerae01w.html,2018
Mercedes Russell,TOT,C,24,133,24,133,0.471,8.2,1,0.382,0.324,0.029,0.265,0,0.471,0.846,0.273,0,0.222,NA,0.688,NA,NA,NA,/wnba/players/r/russeme01w.html,2018
Layshia Clarendon,ATL,G,18,311,18,311,0.329,13,0.823,0.177,0.19,0.228,0.228,0.177,0.369,0.357,0.533,0.278,0.333,0.143,0.292,1,0.429,0.167,/wnba/players/c/clarela01w.html,2018
Maggie Lucas,ATL,G,7,36,7,36,0.091,22.7,0.091,0,0,0.091,0,0.909,0,NA,NA,0,NA,0.1,NA,1,0.3,0.333,/wnba/players/l/lucasma01w.html,2018
Alex Bentley,CON,G,19,413,19,413,0.396,18.1,0.621,0.11,0.027,0.17,0.313,0.379,0.451,0.75,0.4,0.387,0.386,0.304,0.294,0.619,0.13,0.556,/wnba/players/b/bentlal01w.html,2018
Cappie Pondexter,LAS,G,13,134,13,134,0.349,12.6,0.953,0.279,0.093,0.256,0.326,0.047,0.366,0.583,0.25,0.364,0.214,0,0.6,NA,0,NA,/wnba/players/p/pondeca01w.html,2018
Mercedes Russell,NYL,C,2,32,2,32,0.333,13.3,1,0.333,0,0,0.667,0,0.333,1,NA,NA,0,NA,1,NA,NA,NA,/wnba/players/r/russeme01w.html,2018
Teana Muldrow,SEA,F,3,6,3,6,0,27.4,0,0,0,0,0,1,NA,NA,NA,NA,NA,0,NA,NA,0,NA,/wnba/players/m/muldrte01w.html,2018
Aerial Powers,DAL,F-G,15,231,15,231,0.366,15.1,0.659,0.146,0.195,0.134,0.183,0.341,0.463,0.75,0.563,0.182,0.333,0.179,0.36,0.8,0.179,0.2,/wnba/players/p/powerae01w.html,2018
Tayler Hill,WAS,G,13,117,13,117,0.282,18.9,0.462,0.077,0.128,0.128,0.128,0.538,0.278,0.667,0,0.4,0.2,0.286,0.2,0.833,0.048,1,/wnba/players/h/hillta01w.html,2018
Alex Bentley,ATL,G,16,332,16,332,0.376,18.6,0.611,0.067,0.06,0.221,0.262,0.389,0.418,0.6,0.333,0.424,0.385,0.31,0.132,0.5,0.138,0.375,/wnba/players/b/bentlal01w.html,2018
Layshia Clarendon,CON,G,15,238,15,238,0.492,9.6,0.905,0.317,0.302,0.19,0.095,0.095,0.544,0.7,0.474,0.583,0.167,0,0.484,NA,0,NA,/wnba/players/c/clarela01w.html,2018
Cappie Pondexter,IND,G,17,411,17,411,0.389,14.9,0.844,0.15,0.083,0.183,0.428,0.156,0.388,0.556,0.333,0.394,0.338,0.393,0.237,0.818,0.214,0.5,/wnba/players/p/pondeca01w.html,2018
Mercedes Russell,SEA,C,22,101,22,101,0.484,7.7,1,0.387,0.355,0.032,0.226,0,0.484,0.833,0.273,0,0.286,NA,0.667,NA,NA,NA,/wnba/players/r/russeme01w.html,2018
Tayler Hill,DAL,G,7,118,7,118,0.289,17.5,0.467,0.089,0.2,0.022,0.156,0.533,0.286,0,0.222,1,0.429,0.292,0.5,0.857,0.333,0.25,/wnba/players/h/hillta01w.html,2018
Maggie Lucas,DAL,G,1,20,1,20,0,19,0.4,0,0.2,0,0.2,0.6,0,NA,0,NA,0,0,NA,NA,0.333,0,/wnba/players/l/lucasma01w.html,2018
Teana Muldrow,DAL,F,1,3,1,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/m/muldrte01w.html,2018
Aerial Powers,WAS,F-G,9,114,9,114,0.45,17.1,0.6,0.075,0.175,0.075,0.275,0.4,0.458,1,0.571,0,0.364,0.438,0,0.857,0.063,1,/wnba/players/p/powerae01w.html,2018
Alex Bentley,ATL,G,29,634,29,634,0.307,18.4,0.579,0.068,0.062,0.167,0.282,0.421,0.358,0.5,0.25,0.407,0.319,0.235,0.284,0.656,0.066,0.111,/wnba/players/b/bentlal01w.html,2019
Monique Billings,ATL,F,29,553,29,553,0.389,8.3,0.993,0.306,0.285,0.229,0.174,0.007,0.385,0.455,0.39,0.333,0.32,1,0.764,1,0,NA,/wnba/players/b/billimo01w.html,2019
Jessica Breland,ATL,F,33,767,33,767,0.378,15.6,0.862,0.113,0.105,0.156,0.487,0.138,0.401,0.484,0.345,0.349,0.41,0.237,0.821,1,0,NA,/wnba/players/b/brelaje01w.html,2019
Maite Cazorla,ATL,G,31,477,31,477,0.312,17.1,0.409,0.129,0.183,0.043,0.054,0.591,0.421,0.5,0.412,0.5,0.2,0.236,0.375,0.923,0.364,0.4,/wnba/players/c/cazorma01w.html,2019
Nia Coffey,ATL,F,28,389,28,389,0.338,15,0.583,0.23,0.101,0.137,0.115,0.417,0.309,0.438,0.214,0.263,0.188,0.379,0.52,1,0.241,0.429,/wnba/players/c/coffeni01w.html,2019
Marie Gulich,ATL,C,31,349,31,349,0.361,13.3,0.769,0.222,0.148,0.148,0.25,0.231,0.373,0.542,0.438,0.438,0.148,0.32,0.71,1,0.08,0.5,/wnba/players/g/gulima01w.html,2019
Tiffany Hayes,ATL,G,29,817,29,817,0.393,12.3,0.687,0.27,0.23,0.091,0.096,0.313,0.432,0.564,0.314,0.529,0.25,0.308,0.378,0.861,0.256,0.333,/wnba/players/h/hayesti01w.html,2019
Angel McCoughtry,ATL,F-G,1,0,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/m/mccouan01w.html,2019
Renee Montgomery,ATL,G,34,949,34,949,0.37,20.5,0.273,0.08,0.066,0.052,0.076,0.727,0.494,0.739,0.526,0.467,0.227,0.324,0.231,0.691,0.124,0.192,/wnba/players/m/montgre01w.html,2019
Haley Peters,ATL,F,4,26,4,26,0,12.6,1,0.143,0.143,0.429,0.286,0,0,0,0,0,0,NA,NA,NA,NA,NA,/wnba/players/p/peterha01w.html,2019
Brittney Sykes,ATL,G,34,880,34,880,0.365,12.5,0.692,0.293,0.199,0.083,0.117,0.308,0.412,0.505,0.429,0.31,0.22,0.259,0.39,0.857,0.269,0.276,/wnba/players/s/sykesbr01w.html,2019
Elizabeth Williams,ATL,C-F,32,909,32,909,0.455,4,1,0.549,0.353,0.072,0.026,0,0.455,0.535,0.398,0.176,0.333,NA,0.766,NA,NA,NA,/wnba/players/w/williel01w.html,2019
Kayla Alexander,CHI,C,3,20,3,20,0.75,9.9,1,0.25,0.25,0.25,0.25,0,0.75,1,0,1,1,NA,1,NA,NA,NA,/wnba/players/a/alexaka01w.html,2019
Kahleah Copper,CHI,G-F,34,502,34,502,0.387,11.1,0.76,0.373,0.132,0.157,0.098,0.24,0.413,0.487,0.333,0.375,0.3,0.306,0.453,0.933,0.327,0.313,/wnba/players/c/coppeka01w.html,2019
Diamond DeShields,CHI,G,34,1027,34,1027,0.399,14.1,0.672,0.274,0.114,0.087,0.195,0.328,0.44,0.621,0.327,0.357,0.287,0.316,0.549,0.94,0.215,0.324,/wnba/players/d/deshidi01w.html,2019
Stefanie Dolson,CHI,C,34,850,34,850,0.519,13.6,0.644,0.258,0.176,0.069,0.142,0.356,0.607,0.7,0.463,0.688,0.576,0.361,0.868,1,0.048,0,/wnba/players/d/dolsost01w.html,2019
Jamierra Faulkner,CHI,G,13,72,13,72,0.333,16.8,0.5,0.111,0.167,0.222,0,0.5,0.556,0.5,0.667,0.5,NA,0.111,0.4,1,0.111,1,/wnba/players/f/faulkja01w.html,2019
Chloe Jackson,CHI,G,8,32,8,32,0.222,14,1,0.222,0,0.111,0.667,0,0.222,0.5,NA,0,0.167,NA,1,NA,NA,NA,/wnba/players/j/jacksch01w.html,2019
Jantel Lavender,CHI,F,23,619,23,619,0.49,11.5,0.871,0.348,0.157,0.067,0.3,0.129,0.53,0.685,0.424,0.429,0.429,0.222,0.835,1,0.037,0,/wnba/players/l/lavenja01w.html,2019
Victoria Macaulay,CHI,C,5,22,5,22,0.4,7.1,1,0,0.8,0.2,0,0,0.4,NA,0.5,0,NA,NA,0.5,NA,NA,NA,/wnba/players/m/macauvi01w.html,2019
Astou Ndour,CHI,C-F,21,368,21,368,0.492,11.3,0.72,0.381,0.153,0.102,0.085,0.28,0.518,0.622,0.444,0.25,0.5,0.424,0.795,1,0.03,0,/wnba/players/n/ndouras01w.html,2019
Cheyenne Parker,CHI,F,34,670,34,670,0.459,5.8,0.923,0.579,0.219,0.077,0.047,0.077,0.474,0.593,0.275,0.333,0.182,0.278,0.725,1,0,NA,/wnba/players/p/parkech01w.html,2019
Allie Quigley,CHI,G,34,972,34,972,0.493,18.5,0.478,0.069,0.107,0.121,0.182,0.522,0.548,0.708,0.622,0.452,0.508,0.442,0.637,0.888,0.177,0.438,/wnba/players/q/quiglal01w.html,2019
Katie Lou Samuelson,CHI,F,20,153,20,153,0.316,21.5,0.237,0.105,0.026,0,0.105,0.763,0.444,0.75,0,NA,0.25,0.276,1,1,0.103,0.333,/wnba/players/s/samueka02w.html,2019
Courtney Vandersloot,CHI,G,33,991,33,991,0.452,13,0.642,0.361,0.104,0.077,0.1,0.358,0.542,0.63,0.419,0.391,0.467,0.29,0.337,0.71,0.112,0.417,/wnba/players/v/vandeco01w.html,2019
Gabby Williams,CHI,F,33,527,33,527,0.414,11.4,0.773,0.376,0.133,0.088,0.177,0.227,0.486,0.603,0.458,0.5,0.25,0.171,0.397,1,0.195,0.25,/wnba/players/w/williga01w.html,2019
Rachel Banham,CON,G,29,353,29,353,0.322,20.1,0.374,0.009,0.148,0.096,0.122,0.626,0.349,1,0.412,0.182,0.357,0.306,0.267,0.864,0.194,0.286,/wnba/players/b/banhara01w.html,2019
Layshia Clarendon,CON,G,9,138,9,138,0.419,8.1,0.953,0.233,0.465,0.163,0.093,0.047,0.39,0.7,0.25,0.429,0.25,1,0.375,1,0,NA,/wnba/players/c/clarela01w.html,2019
Natisha Hiedeman,CON,G,20,205,20,205,0.414,14.9,0.517,0.241,0.19,0.017,0.069,0.483,0.367,0.643,0.182,0,0,0.464,0,0.769,0.286,0.5,/wnba/players/h/hiedena01w.html,2019
Bria Holmes,CON,G,34,529,34,529,0.399,12.3,0.674,0.269,0.28,0.026,0.098,0.326,0.438,0.538,0.389,0.2,0.368,0.317,0.632,0.9,0.175,0.364,/wnba/players/h/holmebr01w.html,2019
Brionna Jones,CON,F,27,227,27,227,0.467,4.7,0.987,0.44,0.453,0.04,0.053,0.013,0.473,0.455,0.5,0.333,0.5,0,0.686,NA,0,NA,/wnba/players/j/jonesbr01w.html,2019
Jonquel Jones,CON,F,34,980,34,980,0.448,12.9,0.64,0.275,0.197,0.13,0.039,0.36,0.526,0.642,0.513,0.38,0.267,0.309,0.638,0.977,0.014,0,/wnba/players/j/jonesjo01w.html,2019
Shekinna Stricklen,CON,F,34,804,34,804,0.408,21.5,0.22,0.063,0.067,0.031,0.059,0.78,0.5,0.875,0.471,0.375,0.2,0.382,0.714,0.947,0.136,0.481,/wnba/players/s/stricsh01w.html,2019
Alyssa Thomas,CON,F,34,1026,34,1026,0.505,5,0.997,0.381,0.505,0.105,0.006,0.003,0.506,0.685,0.399,0.371,0.5,0,0.649,NA,0,NA,/wnba/players/t/thomaal01w.html,2019
Jasmine Thomas,CON,G,34,1009,34,1009,0.392,14.5,0.654,0.192,0.172,0.132,0.158,0.346,0.405,0.618,0.377,0.255,0.304,0.366,0.245,0.844,0.228,0.464,/wnba/players/t/thomaja01w.html,2019
Morgan Tuck,CON,F,33,352,33,352,0.388,13.2,0.638,0.216,0.293,0.052,0.078,0.362,0.405,0.6,0.265,0.5,0.333,0.357,0.7,1,0.048,0.5,/wnba/players/t/tuckmo01w.html,2019
Courtney Williams,CON,G,34,988,34,988,0.435,13.6,0.919,0.098,0.184,0.295,0.342,0.081,0.433,0.643,0.456,0.433,0.361,0.457,0.485,0.875,0.086,0.333,/wnba/players/w/willico01w.html,2019
Natalie Achonwa,IND,F,30,636,30,636,0.488,10,0.941,0.355,0.172,0.113,0.3,0.059,0.503,0.694,0.343,0.261,0.459,0.25,0.823,1,0,NA,/wnba/players/a/achonna01w.html,2019
Kennedy Burke,IND,G-F,31,423,31,423,0.385,12.2,0.658,0.333,0.154,0.085,0.085,0.342,0.403,0.513,0.278,0.4,0.2,0.35,0.581,1,0.4,0.5,/wnba/players/b/burkeke01w.html,2019
Candice Dupree,IND,F,34,1043,34,1043,0.472,13.3,0.992,0.119,0.154,0.312,0.407,0.008,0.475,0.682,0.561,0.435,0.413,0,0.793,NA,0,NA,/wnba/players/d/dupreca01w.html,2019
Shenise Johnson,IND,G,17,219,17,219,0.333,15.3,0.633,0.2,0.133,0.122,0.178,0.367,0.386,0.389,0.333,0.455,0.375,0.242,0.455,0.875,0.212,0.143,/wnba/players/j/johnssh02w.html,2019
Paris Kea,IND,G,11,60,11,60,0.407,15.3,0.667,0.148,0.111,0.148,0.259,0.333,0.333,0.5,0.333,0.5,0.143,0.556,0.167,0.6,0,NA,/wnba/players/k/keapa01w.html,2019
Betnijah Laney,IND,G-F,34,877,34,877,0.362,15.5,0.69,0.16,0.108,0.136,0.286,0.31,0.388,0.471,0.522,0.241,0.361,0.303,0.561,0.95,0.561,0.297,/wnba/players/l/laneybe01w.html,2019
Stephanie Mavunga,IND,F,24,204,24,204,0.511,6.6,0.979,0.511,0.191,0.149,0.128,0.021,0.522,0.708,0.333,0.286,0.333,0,0.708,NA,0,NA,/wnba/players/m/mavunst01w.html,2019
Erica McCall,IND,F,15,104,15,104,0.136,10.3,1,0.227,0.227,0.227,0.318,0,0.136,0.2,0,0.4,0,NA,1,NA,NA,NA,/wnba/players/m/mccaler01w.html,2019
Teaira McCowan,IND,C,34,752,34,752,0.517,2.9,1,0.661,0.3,0.035,0.004,0,0.517,0.599,0.362,0.375,0,NA,0.605,NA,NA,NA,/wnba/players/m/mccowte01w.html,2019
Kelsey Mitchell,IND,G,34,852,34,852,0.387,17.8,0.512,0.146,0.102,0.076,0.188,0.488,0.398,0.571,0.273,0.364,0.346,0.374,0.318,0.709,0.057,0.5,/wnba/players/m/mitchke01w.html,2019
Tiffany Mitchell,IND,G,33,831,33,831,0.381,12,0.759,0.315,0.136,0.164,0.143,0.241,0.41,0.556,0.282,0.319,0.317,0.29,0.438,0.85,0.304,0.381,/wnba/players/m/mitchti01w.html,2019
Erica Wheeler,IND,G,34,850,34,850,0.426,17.2,0.581,0.161,0.104,0.081,0.232,0.419,0.457,0.542,0.29,0.667,0.406,0.384,0.177,0.396,0.08,0.2,/wnba/players/w/wheeler01w.html,2019
Alana Beard,LAS,G-F,16,235,16,235,0.449,13.7,0.898,0.163,0.184,0.163,0.388,0.102,0.477,0.5,0.556,0.375,0.474,0.2,0.619,1,0,NA,/wnba/players/b/beardal01w.html,2019
Kalani Brown,LAS,C,28,377,28,377,0.478,5,0.991,0.504,0.363,0.027,0.097,0.009,0.482,0.632,0.317,0.333,0.364,0,0.741,NA,0,NA,/wnba/players/b/brownka01w.html,2019
Chelsea Gray,LAS,G,34,1108,34,1108,0.416,15.2,0.71,0.124,0.19,0.181,0.215,0.29,0.43,0.661,0.43,0.402,0.32,0.382,0.203,0.7,0.076,0.6,/wnba/players/g/graych01w.html,2019
Alexis Jones,LAS,G,20,243,20,243,0.4,16.9,0.529,0.171,0.1,0.129,0.129,0.471,0.459,0.667,0.429,0.556,0.111,0.333,0.176,0.818,0.152,0.6,/wnba/players/j/jonesal01w.html,2019
Marina Mabrey,LAS,G,31,355,31,355,0.344,18.2,0.412,0.168,0.092,0.069,0.084,0.588,0.444,0.682,0.167,0.556,0.182,0.273,0.458,0.81,0.156,0.417,/wnba/players/m/mabrema01w.html,2019
Chiney Ogwumike,LAS,F-C,32,697,32,697,0.494,6.8,0.984,0.458,0.285,0.071,0.17,0.016,0.498,0.698,0.389,0.278,0.233,0.25,0.669,1,0,NA,/wnba/players/o/ogwumch01w.html,2019
Nneka Ogwumike,LAS,F,32,892,32,892,0.51,10.2,0.833,0.347,0.224,0.128,0.133,0.167,0.544,0.702,0.484,0.442,0.333,0.338,0.641,1,0.132,0.333,/wnba/players/o/ogwumnn01w.html,2019
Candace Parker,LAS,F-C,22,571,22,571,0.422,11.5,0.716,0.294,0.246,0.118,0.057,0.284,0.483,0.694,0.365,0.28,0.333,0.267,0.575,0.625,0.067,0,/wnba/players/p/parkeca01w.html,2019
Tierra Ruffin-Pratt,LAS,G,34,856,34,856,0.367,15.2,0.628,0.148,0.148,0.219,0.112,0.372,0.382,0.586,0.414,0.256,0.318,0.342,0.596,0.92,0.205,0.2,/wnba/players/r/ruffiti01w.html,2019
Maria Vadeeva,LAS,C,15,180,15,180,0.49,9.6,0.846,0.269,0.385,0.106,0.087,0.154,0.523,0.607,0.475,0.545,0.444,0.313,0.717,0.8,0.125,0.5,/wnba/players/v/vadeema01w.html,2019
Ashley Walker,LAS,F-C,3,22,3,22,0.091,13.7,0.545,0.091,0.455,0,0,0.455,0.167,1,0,NA,NA,0,0,NA,0.4,0,/wnba/players/w/walkeas01w.html,2019
Sydney Wiese,LAS,G,32,659,32,659,0.385,18.2,0.35,0.21,0.077,0,0.063,0.65,0.42,0.467,0.455,NA,0.222,0.366,0.667,0.882,0.215,0.3,/wnba/players/w/wiesesy01w.html,2019
Riquna Williams,LAS,G,23,593,23,593,0.384,18.8,0.43,0.116,0.07,0.099,0.145,0.57,0.375,0.536,0.294,0.333,0.314,0.391,0.538,0.852,0.123,0.412,/wnba/players/w/williri02w.html,2019
Jillian Alleyne,MIN,C-F,5,14,5,14,0.333,7.3,1,0.167,0.667,0.167,0,0,0.333,0,0.25,1,NA,NA,0.5,NA,NA,NA,/wnba/players/a/alleyji01w.html,2019
