player,tm,pos,g,mp,g_2,mp_2,fgpercent,distance,fga_2p,fga_0_3,fga_3_10,fga_10_16,fga_16_3p,fga_3p,fg_2p,fg_0_3,fg_3_10,fg_10_16,fg_16_3p,fg_3p,fg_2p_asst,fg_3p_asst,corner_3s_attempt,corner_3s_percent,link,season
Lexie Brown,CON,G,22,124,22,124,0.273,20.2,0.341,0.068,0.114,0,0.159,0.659,0.2,0.333,0.2,NA,0.143,0.31,0,0.889,0.138,0.5,/wnba/players/b/brownle02w.html,2018
Brionna Jones,CON,F,27,242,27,242,0.469,5.4,1,0.563,0.219,0.156,0.063,0,0.469,0.583,0.357,0.1,0.75,NA,0.6,NA,NA,NA,/wnba/players/j/jonesbr01w.html,2018
Jonquel Jones,CON,F,34,697,34,697,0.55,12.7,0.605,0.351,0.148,0.081,0.026,0.395,0.604,0.737,0.525,0.318,0.143,0.467,0.667,0.98,0.028,0.333,/wnba/players/j/jonesjo01w.html,2018
Betnijah Laney,CON,G-F,29,271,29,271,0.471,9.8,0.871,0.257,0.329,0.143,0.143,0.129,0.525,0.556,0.696,0.2,0.4,0.111,0.375,1,0.222,0,/wnba/players/l/laneybe01w.html,2018
Chiney Ogwumike,CON,F-C,31,790,31,790,0.603,4.7,0.993,0.558,0.298,0.082,0.055,0.007,0.603,0.742,0.517,0.083,0.438,0.5,0.674,1,0,NA,/wnba/players/o/ogwumch01w.html,2018
Shekinna Stricklen,CON,F,34,639,34,639,0.43,21.7,0.246,0.028,0.05,0.061,0.106,0.754,0.432,0.8,0.444,0.364,0.368,0.43,0.526,0.948,0.148,0.55,/wnba/players/s/stricsh01w.html,2018
Alyssa Thomas,CON,F,24,734,24,734,0.464,5,0.995,0.488,0.384,0.095,0.028,0.005,0.467,0.583,0.333,0.45,0.333,0,0.622,NA,0,NA,/wnba/players/t/thomaal01w.html,2018
Jasmine Thomas,CON,G,34,956,34,956,0.398,15,0.632,0.221,0.132,0.127,0.152,0.368,0.449,0.629,0.415,0.353,0.295,0.311,0.149,0.652,0.115,0.353,/wnba/players/t/thomaja01w.html,2018
Morgan Tuck,CON,F,34,462,34,462,0.473,13,0.627,0.308,0.178,0.107,0.036,0.373,0.547,0.75,0.367,0.333,0.333,0.349,0.655,1,0.016,1,/wnba/players/t/tuckmo01w.html,2018
Courtney Williams,CON,G,30,812,30,812,0.456,14.6,0.859,0.133,0.115,0.227,0.384,0.141,0.469,0.76,0.279,0.435,0.444,0.377,0.404,0.85,0.113,0.667,/wnba/players/w/willico01w.html,2018
Natalie Achonwa,IND,F,34,883,34,883,0.527,7.7,1,0.438,0.173,0.192,0.196,0,0.527,0.632,0.422,0.46,0.451,NA,0.803,NA,NA,NA,/wnba/players/a/achonna01w.html,2018
Kayla Alexander,IND,C,30,257,30,257,0.541,7.8,1,0.328,0.328,0.18,0.164,0,0.541,0.6,0.5,0.545,0.5,NA,0.818,NA,NA,NA,/wnba/players/a/alexaka01w.html,2018
Hind Ben Abdelkader,IND,G,14,142,14,142,0.186,21.2,0.326,0.023,0.07,0.116,0.116,0.674,0.143,0,0.333,0.2,0,0.207,0.5,0.833,0.172,0.2,/wnba/players/b/benahi01w.html,2018
Candice Dupree,IND,F,32,1006,32,1006,0.488,12.2,0.998,0.118,0.234,0.296,0.35,0.002,0.489,0.625,0.537,0.4,0.486,0,0.631,NA,0,NA,/wnba/players/d/dupreca01w.html,2018
Jazmon Gwathmey,IND,G,10,116,10,116,0.231,13.5,0.718,0.205,0.154,0.179,0.179,0.282,0.286,0.625,0.167,0.143,0.143,0.091,0.5,1,0.545,0.167,/wnba/players/g/gwathja01w.html,2018
Stephanie Mavunga,IND,F,25,194,25,194,0.477,7,0.977,0.432,0.273,0.182,0.091,0.023,0.488,0.526,0.5,0.5,0.25,0,0.81,NA,0,NA,/wnba/players/m/mavunst01w.html,2018
Erica McCall,IND,F,34,418,34,418,0.385,9.7,0.927,0.404,0.128,0.156,0.239,0.073,0.406,0.614,0.214,0.176,0.308,0.125,0.683,1,0.25,0.5,/wnba/players/m/mccaler01w.html,2018
Kelsey Mitchell,IND,G,34,829,34,829,0.346,18.9,0.49,0.132,0.095,0.098,0.166,0.51,0.358,0.444,0.282,0.4,0.309,0.335,0.208,0.486,0.014,0.333,/wnba/players/m/mitchke01w.html,2018
Tiffany Mitchell,IND,G,34,871,34,871,0.371,11.8,0.794,0.326,0.124,0.172,0.172,0.206,0.398,0.505,0.306,0.34,0.32,0.267,0.272,0.875,0.317,0.211,/wnba/players/m/mitchti01w.html,2018
Asia Taylor,IND,F,14,116,14,116,0.31,10.5,0.828,0.31,0.207,0.207,0.103,0.172,0.333,0.444,0.5,0.167,0,0.2,0.25,1,0.4,0,/wnba/players/t/tayloas01w.html,2018
Victoria Vivians,IND,G,34,920,34,920,0.404,21,0.373,0.062,0.05,0.069,0.192,0.627,0.412,0.563,0.231,0.5,0.38,0.399,0.6,0.954,0.123,0.5,/wnba/players/v/viviavi01w.html,2018
Erica Wheeler,IND,G,34,737,34,737,0.351,15.6,0.73,0.227,0.11,0.113,0.28,0.27,0.379,0.547,0.161,0.313,0.354,0.276,0.115,0.762,0.184,0.286,/wnba/players/w/wheeler01w.html,2018
Alana Beard,LAS,G-F,30,766,30,766,0.392,11.5,0.962,0.238,0.2,0.154,0.369,0.038,0.392,0.484,0.423,0.25,0.375,0.4,0.735,1,0.4,0.5,/wnba/players/b/beardal01w.html,2018
Essence Carson,LAS,G,34,786,34,786,0.435,18.8,0.534,0.056,0.108,0.121,0.25,0.466,0.5,0.538,0.36,0.5,0.552,0.361,0.71,0.923,0.093,0.3,/wnba/players/c/carsoes01w.html,2018
Chelsea Gray,LAS,G,34,1111,34,1111,0.484,14.3,0.757,0.173,0.155,0.175,0.253,0.243,0.513,0.71,0.468,0.6,0.347,0.392,0.265,0.895,0.031,0.667,/wnba/players/g/graych01w.html,2018
Jantel Lavender,LAS,F,30,511,30,511,0.428,14.3,0.899,0.195,0.138,0.101,0.465,0.101,0.455,0.71,0.227,0.563,0.392,0.188,0.846,1,0,NA,/wnba/players/l/lavenja01w.html,2018
Nneka Ogwumike,LAS,F,27,831,27,831,0.525,8.1,0.919,0.45,0.227,0.09,0.152,0.081,0.541,0.731,0.397,0.241,0.367,0.346,0.688,1,0.038,1,/wnba/players/o/ogwumnn01w.html,2018
Candace Parker,LAS,F-C,31,949,31,949,0.471,12.5,0.717,0.267,0.221,0.124,0.105,0.283,0.522,0.777,0.452,0.25,0.341,0.345,0.427,0.683,0.042,0,/wnba/players/p/parkeca01w.html,2018
